method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.838,0.243,0.154,0.422,0.932,0.000
original-group-0,0.767,0.817,0.310,0.224,0.486,0.894,0.666
original-group-1,0.890,0.814,0.109,0.015,0.062,0.991,0.334
original-delta,-0.122,0.003,0.201,0.209,0.424,-0.097,0.424
original-fair_resample-all,0.787,0.790,0.243,0.153,0.375,0.919,0.000
original-fair_resample-group-0,0.750,0.790,0.310,0.179,0.386,0.913,0.666
original-fair_resample-group-1,0.860,0.763,0.109,0.099,0.313,0.927,0.334
original-fair_resample-delta,-0.110,0.027,0.201,0.080,0.073,-0.014,0.073
adv-clean-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-clean-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-clean-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-clean-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-clean-fair_resample-all,0.782,0.790,0.243,0.155,0.370,0.913,0.000
adv-clean-fair_resample-group-0,0.744,0.788,0.310,0.179,0.376,0.910,0.666
adv-clean-fair_resample-group-1,0.856,0.764,0.109,0.109,0.341,0.919,0.334
adv-clean-fair_resample-delta,-0.112,0.025,0.201,0.069,0.035,-0.009,0.035
adv-all-all,0.722,0.613,0.243,0.129,0.192,0.892,0.000
adv-all-group-0,0.717,0.785,0.310,0.056,0.134,0.979,0.666
adv-all-group-1,0.732,0.661,0.109,0.273,0.524,0.757,0.334
adv-all-delta,-0.015,0.123,0.201,-0.217,-0.390,0.222,0.390
adv-all-fair_resample-all,0.772,0.733,0.243,0.148,0.336,0.912,0.000
adv-all-fair_resample-group-0,0.746,0.779,0.310,0.163,0.353,0.922,0.666
adv-all-fair_resample-group-1,0.824,0.621,0.109,0.120,0.242,0.895,0.334
adv-all-fair_resample-delta,-0.078,0.158,0.201,0.043,0.111,0.027,0.111
adv-konstantinov-all,0.722,0.613,0.243,0.129,0.192,0.892,0.400
adv-konstantinov-group-0,0.717,0.785,0.310,0.056,0.134,0.979,0.666
adv-konstantinov-group-1,0.732,0.661,0.109,0.273,0.524,0.757,0.334
adv-konstantinov-delta,-0.015,0.123,0.201,-0.217,-0.390,0.222,0.390
adv-konstantinov-fair_resample-all,0.773,0.735,0.243,0.123,0.286,0.929,0.000
adv-konstantinov-fair_resample-group-0,0.740,0.778,0.310,0.134,0.298,0.939,0.666
adv-konstantinov-fair_resample-group-1,0.839,0.643,0.109,0.100,0.217,0.914,0.334
adv-konstantinov-fair_resample-delta,-0.098,0.135,0.201,0.035,0.081,0.025,0.081
adv-selected-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-selected-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-selected-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-selected-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-selected-fair_resample-all,0.780,0.782,0.243,0.157,0.369,0.912,0.000
adv-selected-fair_resample-group-0,0.742,0.778,0.310,0.184,0.379,0.904,0.666
adv-selected-fair_resample-group-1,0.857,0.767,0.109,0.103,0.313,0.923,0.334
adv-selected-fair_resample-delta,-0.115,0.011,0.201,0.081,0.066,-0.019,0.066
adv-voting-all,0.798,0.822,0.243,0.123,0.336,0.946,0.000
adv-voting-group-0,0.756,0.805,0.310,0.160,0.364,0.932,0.666
adv-voting-group-1,0.881,0.811,0.109,0.049,0.177,0.967,0.334
adv-voting-delta,-0.125,-0.006,0.201,0.111,0.186,-0.035,0.186
adv-voting-fair_resample-all,0.752,0.701,0.243,0.149,0.296,0.898,0.067
adv-voting-fair_resample-group-0,0.738,0.747,0.310,0.104,0.245,0.960,0.666
adv-voting-fair_resample-group-1,0.780,0.774,0.109,0.239,0.586,0.803,0.334
adv-voting-fair_resample-delta,-0.041,-0.027,0.201,-0.135,-0.341,0.156,0.341
