method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.812,0.831,0.235,0.150,0.420,0.933,0.000
original-group-0,0.774,0.817,0.297,0.219,0.488,0.894,0.666
original-group-1,0.889,0.787,0.111,0.013,0.055,0.993,0.334
original-delta,-0.115,0.030,0.186,0.207,0.432,-0.098,0.432
original-fair_resample-all,0.786,0.788,0.235,0.162,0.388,0.908,0.000
original-fair_resample-group-0,0.758,0.795,0.297,0.176,0.390,0.914,0.666
original-fair_resample-group-1,0.840,0.758,0.111,0.133,0.380,0.897,0.334
original-fair_resample-delta,-0.082,0.036,0.186,0.043,0.010,0.017,0.017
adv-clean-all,0.812,0.830,0.235,0.145,0.407,0.936,0.000
adv-clean-group-0,0.772,0.817,0.297,0.213,0.475,0.898,0.666
adv-clean-group-1,0.890,0.785,0.111,0.009,0.044,0.995,0.334
adv-clean-delta,-0.117,0.033,0.186,0.204,0.431,-0.097,0.431
adv-clean-fair_resample-all,0.783,0.773,0.235,0.159,0.377,0.908,0.000
adv-clean-fair_resample-group-0,0.753,0.782,0.297,0.185,0.396,0.904,0.666
adv-clean-fair_resample-group-1,0.842,0.721,0.111,0.109,0.280,0.912,0.334
adv-clean-fair_resample-delta,-0.089,0.061,0.186,0.076,0.116,-0.008,0.116
adv-all-all,0.709,0.702,0.235,0.303,0.526,0.765,0.000
adv-all-group-0,0.713,0.751,0.297,0.346,0.598,0.761,0.666
adv-all-group-1,0.703,0.439,0.111,0.218,0.141,0.772,0.334
adv-all-delta,0.010,0.312,0.186,0.128,0.457,-0.011,0.457
adv-all-fair_resample-all,0.649,0.650,0.235,0.366,0.530,0.685,0.000
adv-all-fair_resample-group-0,0.668,0.694,0.297,0.378,0.577,0.707,0.666
adv-all-fair_resample-group-1,0.610,0.460,0.111,0.342,0.280,0.651,0.334
adv-all-fair_resample-delta,0.058,0.234,0.186,0.036,0.297,0.056,0.297
adv-konstantinov-all,0.812,0.830,0.235,0.145,0.407,0.936,0.000
adv-konstantinov-group-0,0.772,0.817,0.297,0.213,0.475,0.898,0.666
adv-konstantinov-group-1,0.890,0.785,0.111,0.009,0.044,0.995,0.334
adv-konstantinov-delta,-0.117,0.033,0.186,0.204,0.431,-0.097,0.431
adv-konstantinov-fair_resample-all,0.780,0.779,0.235,0.142,0.335,0.917,0.000
adv-konstantinov-fair_resample-group-0,0.752,0.785,0.297,0.149,0.333,0.929,0.666
adv-konstantinov-fair_resample-group-1,0.838,0.734,0.111,0.128,0.343,0.899,0.334
adv-konstantinov-fair_resample-delta,-0.086,0.051,0.186,0.021,-0.011,0.029,0.029
adv-selected-all,0.812,0.830,0.235,0.145,0.407,0.936,0.000
adv-selected-group-0,0.772,0.817,0.297,0.213,0.475,0.898,0.666
adv-selected-group-1,0.890,0.785,0.111,0.009,0.044,0.995,0.334
adv-selected-delta,-0.117,0.033,0.186,0.204,0.431,-0.097,0.431
adv-selected-fair_resample-all,0.781,0.785,0.235,0.140,0.332,0.919,0.000
adv-selected-fair_resample-group-0,0.754,0.792,0.297,0.148,0.335,0.930,0.666
adv-selected-fair_resample-group-1,0.837,0.735,0.111,0.123,0.319,0.901,0.334
adv-selected-fair_resample-delta,-0.083,0.057,0.186,0.025,0.016,0.029,0.029
adv-voting-all,0.810,0.829,0.235,0.185,0.490,0.909,0.023
adv-voting-group-0,0.770,0.814,0.297,0.275,0.575,0.852,0.666
adv-voting-group-1,0.891,0.782,0.111,0.006,0.033,0.998,0.334
adv-voting-delta,-0.121,0.032,0.186,0.269,0.542,-0.145,0.542
adv-voting-fair_resample-all,0.752,0.751,0.235,0.197,0.390,0.863,0.100
adv-voting-fair_resample-group-0,0.730,0.761,0.297,0.212,0.402,0.869,0.666
adv-voting-fair_resample-group-1,0.795,0.706,0.111,0.167,0.327,0.853,0.334
adv-voting-fair_resample-delta,-0.065,0.055,0.186,0.045,0.075,0.015,0.075
