method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.807,0.836,0.244,0.152,0.416,0.933,0.000
original-group-0,0.769,0.820,0.306,0.222,0.485,0.894,0.676
original-group-1,0.887,0.807,0.113,0.006,0.028,0.996,0.324
original-delta,-0.118,0.014,0.193,0.216,0.458,-0.102,0.458
original-fair_resample-all,0.790,0.801,0.244,0.159,0.395,0.917,0.000
original-fair_resample-group-0,0.757,0.804,0.306,0.184,0.403,0.913,0.676
original-fair_resample-group-1,0.859,0.776,0.113,0.106,0.345,0.925,0.324
original-fair_resample-delta,-0.102,0.028,0.193,0.078,0.058,-0.012,0.058
adv-clean-all,0.807,0.836,0.244,0.153,0.417,0.933,0.000
adv-clean-group-0,0.769,0.820,0.306,0.221,0.484,0.895,0.676
adv-clean-group-1,0.886,0.807,0.113,0.009,0.039,0.994,0.324
adv-clean-delta,-0.117,0.013,0.193,0.212,0.445,-0.099,0.445
adv-clean-fair_resample-all,0.784,0.792,0.244,0.161,0.387,0.911,0.000
adv-clean-fair_resample-group-0,0.753,0.795,0.306,0.183,0.395,0.911,0.676
adv-clean-fair_resample-group-1,0.848,0.761,0.113,0.116,0.340,0.913,0.324
adv-clean-fair_resample-delta,-0.095,0.034,0.193,0.067,0.056,-0.002,0.056
adv-all-all,0.802,0.827,0.244,0.155,0.411,0.927,0.000
adv-all-group-0,0.768,0.820,0.306,0.196,0.441,0.913,0.676
adv-all-group-1,0.871,0.798,0.113,0.070,0.242,0.952,0.324
adv-all-delta,-0.103,0.022,0.193,0.125,0.199,-0.039,0.199
adv-all-fair_resample-all,0.787,0.805,0.244,0.156,0.384,0.917,0.000
adv-all-fair_resample-group-0,0.752,0.800,0.306,0.188,0.402,0.907,0.676
adv-all-fair_resample-group-1,0.859,0.783,0.113,0.091,0.279,0.933,0.324
adv-all-fair_resample-delta,-0.107,0.017,0.193,0.097,0.124,-0.027,0.124
adv-konstantinov-all,0.802,0.827,0.244,0.155,0.411,0.927,0.400
adv-konstantinov-group-0,0.768,0.820,0.306,0.196,0.441,0.913,0.676
adv-konstantinov-group-1,0.871,0.798,0.113,0.070,0.242,0.952,0.324
adv-konstantinov-delta,-0.103,0.022,0.193,0.125,0.199,-0.039,0.199
adv-konstantinov-fair_resample-all,0.791,0.808,0.244,0.161,0.402,0.917,0.000
adv-konstantinov-fair_resample-group-0,0.758,0.803,0.306,0.195,0.424,0.905,0.676
adv-konstantinov-fair_resample-group-1,0.861,0.788,0.113,0.088,0.276,0.936,0.324
adv-konstantinov-fair_resample-delta,-0.103,0.015,0.193,0.107,0.148,-0.030,0.148
adv-selected-all,0.807,0.836,0.244,0.153,0.418,0.932,0.000
adv-selected-group-0,0.769,0.820,0.306,0.222,0.485,0.895,0.676
adv-selected-group-1,0.886,0.805,0.113,0.010,0.039,0.994,0.324
adv-selected-delta,-0.116,0.015,0.193,0.212,0.446,-0.099,0.446
adv-selected-fair_resample-all,0.776,0.785,0.244,0.157,0.362,0.909,0.000
adv-selected-fair_resample-group-0,0.746,0.790,0.306,0.170,0.363,0.915,0.676
adv-selected-fair_resample-group-1,0.838,0.739,0.113,0.130,0.357,0.899,0.324
adv-selected-fair_resample-delta,-0.091,0.051,0.193,0.040,0.007,0.016,0.016
adv-voting-all,0.802,0.831,0.244,0.137,0.374,0.940,0.152
adv-voting-group-0,0.763,0.817,0.306,0.181,0.410,0.920,0.676
adv-voting-group-1,0.883,0.805,0.113,0.043,0.175,0.974,0.324
adv-voting-delta,-0.120,0.012,0.193,0.138,0.234,-0.054,0.234
adv-voting-fair_resample-all,0.797,0.799,0.244,0.138,0.367,0.935,0.381
adv-voting-fair_resample-group-0,0.761,0.798,0.306,0.166,0.380,0.929,0.676
adv-voting-fair_resample-group-1,0.872,0.768,0.113,0.081,0.292,0.946,0.324
adv-voting-fair_resample-delta,-0.111,0.030,0.193,0.085,0.088,-0.017,0.088
