method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.807,0.828,0.236,0.149,0.406,0.931,0.000
original-group-0,0.764,0.808,0.300,0.217,0.469,0.891,0.671
original-group-1,0.894,0.798,0.107,0.009,0.049,0.995,0.329
original-delta,-0.130,0.010,0.193,0.208,0.420,-0.104,0.420
original-fair_resample-all,0.794,0.790,0.236,0.150,0.381,0.921,0.000
original-fair_resample-group-0,0.760,0.793,0.300,0.173,0.388,0.919,0.671
original-fair_resample-group-1,0.863,0.764,0.107,0.104,0.343,0.925,0.329
original-fair_resample-delta,-0.103,0.029,0.193,0.069,0.045,-0.006,0.045
adv-clean-all,0.807,0.829,0.236,0.151,0.410,0.929,0.000
adv-clean-group-0,0.764,0.808,0.300,0.219,0.472,0.890,0.671
adv-clean-group-1,0.893,0.802,0.107,0.013,0.061,0.992,0.329
adv-clean-delta,-0.128,0.005,0.193,0.205,0.410,-0.103,0.410
adv-clean-fair_resample-all,0.784,0.790,0.236,0.149,0.357,0.916,0.000
adv-clean-fair_resample-group-0,0.754,0.794,0.300,0.162,0.359,0.923,0.671
adv-clean-fair_resample-group-1,0.845,0.768,0.107,0.121,0.343,0.905,0.329
adv-clean-fair_resample-delta,-0.091,0.027,0.193,0.040,0.016,0.017,0.017
adv-all-all,0.781,0.768,0.236,0.161,0.379,0.906,0.000
adv-all-group-0,0.741,0.753,0.300,0.214,0.426,0.876,0.671
adv-all-group-1,0.864,0.708,0.107,0.054,0.113,0.954,0.329
adv-all-delta,-0.123,0.045,0.193,0.161,0.312,-0.077,0.312
adv-all-fair_resample-all,0.670,0.618,0.236,0.293,0.422,0.747,0.000
adv-all-fair_resample-group-0,0.659,0.635,0.300,0.299,0.429,0.757,0.671
adv-all-fair_resample-group-1,0.693,0.554,0.107,0.281,0.378,0.731,0.329
adv-all-fair_resample-delta,-0.034,0.080,0.193,0.018,0.051,0.027,0.051
adv-konstantinov-all,0.807,0.829,0.236,0.151,0.410,0.929,0.000
adv-konstantinov-group-0,0.764,0.808,0.300,0.219,0.472,0.890,0.671
adv-konstantinov-group-1,0.893,0.802,0.107,0.013,0.061,0.992,0.329
adv-konstantinov-delta,-0.128,0.005,0.193,0.205,0.410,-0.103,0.410
adv-konstantinov-fair_resample-all,0.779,0.774,0.236,0.162,0.374,0.904,0.000
adv-konstantinov-fair_resample-group-0,0.750,0.779,0.300,0.176,0.377,0.909,0.671
adv-konstantinov-fair_resample-group-1,0.838,0.743,0.107,0.131,0.355,0.896,0.329
adv-konstantinov-fair_resample-delta,-0.088,0.036,0.193,0.045,0.022,0.014,0.022
adv-selected-all,0.807,0.829,0.236,0.151,0.410,0.929,0.000
adv-selected-group-0,0.764,0.808,0.300,0.219,0.472,0.890,0.671
adv-selected-group-1,0.893,0.802,0.107,0.013,0.061,0.992,0.329
adv-selected-delta,-0.128,0.005,0.193,0.205,0.410,-0.103,0.410
adv-selected-fair_resample-all,0.781,0.783,0.236,0.150,0.354,0.913,0.000
adv-selected-fair_resample-group-0,0.753,0.786,0.300,0.166,0.365,0.919,0.671
adv-selected-fair_resample-group-1,0.837,0.756,0.107,0.119,0.294,0.902,0.329
adv-selected-fair_resample-delta,-0.084,0.030,0.193,0.047,0.071,0.017,0.071
adv-voting-all,0.804,0.825,0.236,0.154,0.410,0.926,0.040
adv-voting-group-0,0.759,0.804,0.300,0.220,0.465,0.885,0.671
adv-voting-group-1,0.894,0.796,0.107,0.019,0.096,0.990,0.329
adv-voting-delta,-0.135,0.008,0.193,0.201,0.369,-0.105,0.369
adv-voting-fair_resample-all,0.746,0.750,0.236,0.201,0.388,0.857,0.108
adv-voting-fair_resample-group-0,0.730,0.761,0.300,0.203,0.390,0.876,0.671
adv-voting-fair_resample-group-1,0.778,0.716,0.107,0.196,0.378,0.826,0.329
adv-voting-fair_resample-delta,-0.047,0.045,0.193,0.007,0.012,0.051,0.051
