method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.806,0.834,0.240,0.156,0.420,0.928,0.000
original-group-0,0.764,0.815,0.306,0.228,0.488,0.886,0.664
original-group-1,0.889,0.807,0.112,0.012,0.054,0.993,0.336
original-delta,-0.124,0.007,0.194,0.216,0.433,-0.108,0.433
original-fair_resample-all,0.780,0.785,0.240,0.171,0.398,0.901,0.000
original-fair_resample-group-0,0.744,0.785,0.306,0.201,0.411,0.891,0.664
original-fair_resample-group-1,0.851,0.757,0.112,0.112,0.332,0.916,0.336
original-fair_resample-delta,-0.107,0.029,0.194,0.089,0.078,-0.025,0.078
adv-clean-all,0.805,0.834,0.240,0.146,0.398,0.934,0.000
adv-clean-group-0,0.763,0.812,0.306,0.215,0.463,0.895,0.664
adv-clean-group-1,0.888,0.810,0.112,0.011,0.049,0.993,0.336
adv-clean-delta,-0.125,0.002,0.194,0.203,0.414,-0.099,0.414
adv-clean-fair_resample-all,0.776,0.784,0.240,0.175,0.398,0.896,0.000
adv-clean-fair_resample-group-0,0.741,0.783,0.306,0.200,0.405,0.889,0.664
adv-clean-fair_resample-group-1,0.846,0.755,0.112,0.124,0.362,0.906,0.336
adv-clean-fair_resample-delta,-0.104,0.028,0.194,0.077,0.042,-0.017,0.042
adv-all-all,0.806,0.834,0.240,0.156,0.420,0.928,0.000
adv-all-group-0,0.764,0.815,0.306,0.228,0.488,0.886,0.664
adv-all-group-1,0.889,0.807,0.112,0.012,0.054,0.993,0.336
adv-all-delta,-0.124,0.007,0.194,0.216,0.433,-0.108,0.433
adv-all-fair_resample-all,0.784,0.788,0.240,0.161,0.385,0.910,0.000
adv-all-fair_resample-group-0,0.755,0.791,0.306,0.180,0.395,0.914,0.664
adv-all-fair_resample-group-1,0.840,0.759,0.112,0.122,0.332,0.904,0.336
adv-all-fair_resample-delta,-0.085,0.032,0.194,0.058,0.062,0.010,0.062
adv-konstantinov-all,0.806,0.834,0.240,0.156,0.420,0.928,0.400
adv-konstantinov-group-0,0.764,0.815,0.306,0.228,0.488,0.886,0.664
adv-konstantinov-group-1,0.889,0.807,0.112,0.012,0.054,0.993,0.336
adv-konstantinov-delta,-0.124,0.007,0.194,0.216,0.433,-0.108,0.433
adv-konstantinov-fair_resample-all,0.789,0.796,0.240,0.155,0.384,0.917,0.000
adv-konstantinov-fair_resample-group-0,0.752,0.795,0.306,0.178,0.385,0.913,0.664
adv-konstantinov-fair_resample-group-1,0.861,0.782,0.112,0.111,0.379,0.922,0.336
adv-konstantinov-fair_resample-delta,-0.110,0.013,0.194,0.066,0.006,-0.009,0.009
adv-selected-all,0.804,0.832,0.240,0.158,0.422,0.925,0.333
adv-selected-group-0,0.762,0.811,0.306,0.232,0.489,0.882,0.664
adv-selected-group-1,0.889,0.806,0.112,0.014,0.063,0.992,0.336
adv-selected-delta,-0.127,0.006,0.194,0.218,0.426,-0.111,0.426
adv-selected-fair_resample-all,0.778,0.790,0.240,0.153,0.357,0.911,0.000
adv-selected-fair_resample-group-0,0.744,0.789,0.306,0.168,0.356,0.915,0.664
adv-selected-fair_resample-group-1,0.845,0.768,0.112,0.125,0.362,0.905,0.336
adv-selected-fair_resample-delta,-0.100,0.021,0.194,0.043,-0.006,0.010,0.010
adv-voting-all,0.805,0.833,0.240,0.151,0.410,0.930,0.309
adv-voting-group-0,0.764,0.813,0.306,0.220,0.474,0.891,0.664
adv-voting-group-1,0.887,0.807,0.112,0.016,0.065,0.991,0.336
adv-voting-delta,-0.124,0.006,0.194,0.205,0.408,-0.099,0.408
adv-voting-fair_resample-all,0.792,0.801,0.240,0.147,0.373,0.925,0.312
adv-voting-fair_resample-group-0,0.753,0.796,0.306,0.180,0.391,0.912,0.664
adv-voting-fair_resample-group-1,0.870,0.777,0.112,0.081,0.278,0.944,0.336
adv-voting-fair_resample-delta,-0.117,0.019,0.194,0.100,0.113,-0.032,0.113
