method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.815,0.838,0.244,0.154,0.436,0.937,0.000
original-group-0,0.775,0.821,0.310,0.224,0.498,0.900,0.672
original-group-1,0.897,0.796,0.108,0.012,0.075,0.996,0.328
original-delta,-0.122,0.025,0.202,0.212,0.423,-0.096,0.423
original-fair_resample-all,0.789,0.799,0.244,0.145,0.364,0.926,0.000
original-fair_resample-group-0,0.756,0.799,0.310,0.167,0.376,0.927,0.672
original-fair_resample-group-1,0.857,0.768,0.108,0.098,0.292,0.925,0.328
original-fair_resample-delta,-0.101,0.031,0.202,0.069,0.084,0.001,0.084
adv-clean-all,0.813,0.833,0.244,0.159,0.442,0.933,0.000
adv-clean-group-0,0.773,0.816,0.310,0.229,0.504,0.895,0.672
adv-clean-group-1,0.895,0.793,0.108,0.014,0.081,0.994,0.328
adv-clean-delta,-0.122,0.023,0.202,0.215,0.423,-0.099,0.423
adv-clean-fair_resample-all,0.781,0.791,0.244,0.157,0.373,0.913,0.000
adv-clean-fair_resample-group-0,0.751,0.790,0.310,0.180,0.390,0.914,0.672
adv-clean-fair_resample-group-1,0.841,0.762,0.108,0.110,0.272,0.910,0.328
adv-clean-fair_resample-delta,-0.089,0.029,0.202,0.070,0.118,0.005,0.118
adv-all-all,0.761,0.747,0.244,0.166,0.351,0.894,0.000
adv-all-group-0,0.754,0.807,0.310,0.132,0.316,0.951,0.672
adv-all-group-1,0.776,0.786,0.108,0.237,0.558,0.802,0.328
adv-all-delta,-0.022,0.021,0.202,-0.105,-0.242,0.149,0.242
adv-all-fair_resample-all,0.754,0.723,0.244,0.227,0.461,0.849,0.000
adv-all-fair_resample-group-0,0.735,0.731,0.310,0.247,0.471,0.854,0.672
adv-all-fair_resample-group-1,0.794,0.688,0.108,0.185,0.402,0.841,0.328
adv-all-fair_resample-delta,-0.058,0.042,0.202,0.062,0.070,0.013,0.070
adv-konstantinov-all,0.778,0.783,0.244,0.162,0.377,0.908,0.250
adv-konstantinov-group-0,0.756,0.802,0.310,0.165,0.373,0.928,0.672
adv-konstantinov-group-1,0.825,0.765,0.108,0.154,0.405,0.876,0.328
adv-konstantinov-delta,-0.070,0.037,0.202,0.011,-0.032,0.052,0.052
adv-konstantinov-fair_resample-all,0.786,0.789,0.244,0.182,0.435,0.899,0.000
adv-konstantinov-fair_resample-group-0,0.760,0.792,0.310,0.206,0.446,0.902,0.672
adv-konstantinov-fair_resample-group-1,0.839,0.760,0.108,0.133,0.370,0.896,0.328
adv-konstantinov-fair_resample-delta,-0.079,0.031,0.202,0.073,0.076,0.006,0.076
adv-selected-all,0.812,0.836,0.244,0.164,0.452,0.929,0.000
adv-selected-group-0,0.772,0.819,0.310,0.238,0.516,0.888,0.672
adv-selected-group-1,0.894,0.796,0.108,0.013,0.072,0.994,0.328
adv-selected-delta,-0.122,0.023,0.202,0.225,0.444,-0.106,0.444
adv-selected-fair_resample-all,0.786,0.782,0.244,0.179,0.428,0.902,0.000
adv-selected-fair_resample-group-0,0.756,0.783,0.310,0.210,0.444,0.896,0.672
adv-selected-fair_resample-group-1,0.848,0.736,0.108,0.116,0.329,0.910,0.328
adv-selected-fair_resample-delta,-0.092,0.047,0.202,0.094,0.115,-0.014,0.115
adv-voting-all,0.814,0.835,0.244,0.156,0.438,0.935,0.239
adv-voting-group-0,0.774,0.819,0.310,0.219,0.488,0.903,0.672
adv-voting-group-1,0.895,0.793,0.108,0.027,0.142,0.987,0.328
adv-voting-delta,-0.121,0.026,0.202,0.191,0.347,-0.084,0.347
adv-voting-fair_resample-all,0.787,0.795,0.244,0.165,0.400,0.911,0.277
adv-voting-fair_resample-group-0,0.754,0.794,0.310,0.197,0.421,0.904,0.672
adv-voting-fair_resample-group-1,0.853,0.754,0.108,0.099,0.277,0.922,0.328
adv-voting-fair_resample-delta,-0.098,0.041,0.202,0.097,0.144,-0.018,0.144
