method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.838,0.243,0.154,0.422,0.932,0.000
original-group-0,0.767,0.817,0.310,0.224,0.486,0.894,0.666
original-group-1,0.890,0.814,0.109,0.015,0.062,0.991,0.334
original-delta,-0.122,0.003,0.201,0.209,0.424,-0.097,0.424
original-fair_resample-all,0.787,0.790,0.243,0.153,0.375,0.919,0.000
original-fair_resample-group-0,0.750,0.790,0.310,0.179,0.386,0.913,0.666
original-fair_resample-group-1,0.860,0.763,0.109,0.099,0.313,0.927,0.334
original-fair_resample-delta,-0.110,0.027,0.201,0.080,0.073,-0.014,0.073
adv-clean-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-clean-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-clean-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-clean-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-clean-fair_resample-all,0.782,0.790,0.243,0.155,0.370,0.913,0.000
adv-clean-fair_resample-group-0,0.744,0.788,0.310,0.179,0.376,0.910,0.666
adv-clean-fair_resample-group-1,0.856,0.764,0.109,0.109,0.341,0.919,0.334
adv-clean-fair_resample-delta,-0.112,0.025,0.201,0.069,0.035,-0.009,0.035
adv-all-all,0.738,0.822,0.243,0.376,0.735,0.739,0.000
adv-all-group-0,0.661,0.808,0.310,0.560,0.855,0.573,0.666
adv-all-group-1,0.892,0.813,0.109,0.011,0.056,0.994,0.334
adv-all-delta,-0.232,-0.005,0.201,0.548,0.799,-0.421,0.799
adv-all-fair_resample-all,0.731,0.783,0.243,0.354,0.674,0.749,0.000
adv-all-fair_resample-group-0,0.719,0.781,0.310,0.399,0.690,0.732,0.666
adv-all-fair_resample-group-1,0.755,0.752,0.109,0.264,0.586,0.775,0.334
adv-all-fair_resample-delta,-0.036,0.030,0.201,0.135,0.104,-0.043,0.104
adv-konstantinov-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-konstantinov-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-konstantinov-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-konstantinov-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-konstantinov-fair_resample-all,0.781,0.779,0.243,0.165,0.390,0.907,0.000
adv-konstantinov-fair_resample-group-0,0.746,0.777,0.310,0.193,0.401,0.901,0.666
adv-konstantinov-fair_resample-group-1,0.852,0.753,0.109,0.110,0.327,0.916,0.334
adv-konstantinov-fair_resample-delta,-0.106,0.024,0.201,0.082,0.074,-0.015,0.074
adv-selected-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-selected-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-selected-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-selected-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-selected-fair_resample-all,0.785,0.786,0.243,0.162,0.391,0.912,0.000
adv-selected-fair_resample-group-0,0.748,0.785,0.310,0.198,0.413,0.898,0.666
adv-selected-fair_resample-group-1,0.859,0.746,0.109,0.089,0.265,0.932,0.334
adv-selected-fair_resample-delta,-0.111,0.039,0.201,0.109,0.148,-0.034,0.148
adv-voting-all,0.801,0.829,0.243,0.191,0.485,0.903,0.008
adv-voting-group-0,0.756,0.809,0.310,0.286,0.568,0.841,0.666
adv-voting-group-1,0.891,0.795,0.109,0.004,0.017,0.998,0.334
adv-voting-delta,-0.135,0.014,0.201,0.282,0.551,-0.157,0.551
adv-voting-fair_resample-all,0.784,0.810,0.243,0.209,0.487,0.880,0.072
adv-voting-fair_resample-group-0,0.732,0.786,0.310,0.306,0.560,0.809,0.666
adv-voting-fair_resample-group-1,0.889,0.750,0.109,0.018,0.073,0.989,0.334
adv-voting-fair_resample-delta,-0.158,0.036,0.201,0.288,0.487,-0.180,0.487
