method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.815,0.838,0.244,0.154,0.436,0.937,0.000
original-group-0,0.775,0.821,0.310,0.224,0.498,0.900,0.672
original-group-1,0.897,0.796,0.108,0.012,0.075,0.996,0.328
original-delta,-0.122,0.025,0.202,0.212,0.423,-0.096,0.423
original-fair_resample-all,0.789,0.799,0.244,0.145,0.364,0.926,0.000
original-fair_resample-group-0,0.756,0.799,0.310,0.167,0.376,0.927,0.672
original-fair_resample-group-1,0.857,0.768,0.108,0.098,0.292,0.925,0.328
original-fair_resample-delta,-0.101,0.031,0.202,0.069,0.084,0.001,0.084
adv-clean-all,0.813,0.833,0.244,0.159,0.442,0.933,0.000
adv-clean-group-0,0.773,0.816,0.310,0.229,0.504,0.895,0.672
adv-clean-group-1,0.895,0.793,0.108,0.014,0.081,0.994,0.328
adv-clean-delta,-0.122,0.023,0.202,0.215,0.423,-0.099,0.423
adv-clean-fair_resample-all,0.781,0.791,0.244,0.157,0.373,0.913,0.000
adv-clean-fair_resample-group-0,0.751,0.790,0.310,0.180,0.390,0.914,0.672
adv-clean-fair_resample-group-1,0.841,0.762,0.108,0.110,0.272,0.910,0.328
adv-clean-fair_resample-delta,-0.089,0.029,0.202,0.070,0.118,0.005,0.118
adv-all-all,0.741,0.745,0.244,0.187,0.352,0.866,0.000
adv-all-group-0,0.749,0.797,0.310,0.132,0.309,0.947,0.672
adv-all-group-1,0.723,0.748,0.108,0.300,0.604,0.737,0.328
adv-all-delta,0.026,0.049,0.202,-0.167,-0.295,0.210,0.295
adv-all-fair_resample-all,0.782,0.782,0.244,0.187,0.436,0.894,0.000
adv-all-fair_resample-group-0,0.760,0.787,0.310,0.209,0.450,0.900,0.672
adv-all-fair_resample-group-1,0.826,0.744,0.108,0.142,0.353,0.884,0.328
adv-all-fair_resample-delta,-0.066,0.043,0.202,0.067,0.098,0.016,0.098
adv-konstantinov-all,0.741,0.745,0.244,0.187,0.352,0.866,0.400
adv-konstantinov-group-0,0.749,0.797,0.310,0.132,0.309,0.947,0.672
adv-konstantinov-group-1,0.723,0.748,0.108,0.300,0.604,0.737,0.328
adv-konstantinov-delta,0.026,0.049,0.202,-0.167,-0.295,0.210,0.295
adv-konstantinov-fair_resample-all,0.785,0.789,0.244,0.204,0.475,0.884,0.000
adv-konstantinov-fair_resample-group-0,0.763,0.793,0.310,0.234,0.495,0.884,0.672
adv-konstantinov-fair_resample-group-1,0.828,0.755,0.108,0.142,0.361,0.885,0.328
adv-konstantinov-fair_resample-delta,-0.065,0.038,0.202,0.092,0.134,-0.001,0.134
adv-selected-all,0.812,0.836,0.244,0.164,0.452,0.929,0.000
adv-selected-group-0,0.772,0.819,0.310,0.238,0.516,0.888,0.672
adv-selected-group-1,0.894,0.796,0.108,0.013,0.072,0.994,0.328
adv-selected-delta,-0.122,0.023,0.202,0.225,0.444,-0.106,0.444
adv-selected-fair_resample-all,0.775,0.773,0.244,0.157,0.361,0.909,0.000
adv-selected-fair_resample-group-0,0.747,0.774,0.310,0.171,0.368,0.918,0.672
adv-selected-fair_resample-group-1,0.832,0.731,0.108,0.129,0.318,0.894,0.328
adv-selected-fair_resample-delta,-0.085,0.043,0.202,0.042,0.050,0.024,0.050
adv-voting-all,0.808,0.827,0.244,0.137,0.387,0.944,0.000
adv-voting-group-0,0.767,0.814,0.310,0.186,0.424,0.922,0.672
adv-voting-group-1,0.892,0.793,0.108,0.036,0.168,0.980,0.328
adv-voting-delta,-0.125,0.020,0.202,0.150,0.257,-0.058,0.257
adv-voting-fair_resample-all,0.741,0.719,0.244,0.137,0.250,0.900,0.025
adv-voting-fair_resample-group-0,0.732,0.767,0.310,0.080,0.197,0.973,0.672
adv-voting-fair_resample-group-1,0.760,0.774,0.108,0.253,0.561,0.785,0.328
adv-voting-fair_resample-delta,-0.028,-0.006,0.202,-0.173,-0.364,0.188,0.364
