method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.806,0.834,0.240,0.156,0.420,0.928,0.000
original-group-0,0.764,0.815,0.306,0.228,0.488,0.886,0.664
original-group-1,0.889,0.807,0.112,0.012,0.054,0.993,0.336
original-delta,-0.124,0.007,0.194,0.216,0.433,-0.108,0.433
original-fair_resample-all,0.780,0.785,0.240,0.171,0.398,0.901,0.000
original-fair_resample-group-0,0.744,0.785,0.306,0.201,0.411,0.891,0.664
original-fair_resample-group-1,0.851,0.757,0.112,0.112,0.332,0.916,0.336
original-fair_resample-delta,-0.107,0.029,0.194,0.089,0.078,-0.025,0.078
adv-clean-all,0.805,0.834,0.240,0.146,0.398,0.934,0.000
adv-clean-group-0,0.763,0.812,0.306,0.215,0.463,0.895,0.664
adv-clean-group-1,0.888,0.810,0.112,0.011,0.049,0.993,0.336
adv-clean-delta,-0.125,0.002,0.194,0.203,0.414,-0.099,0.414
adv-clean-fair_resample-all,0.776,0.784,0.240,0.175,0.398,0.896,0.000
adv-clean-fair_resample-group-0,0.741,0.783,0.306,0.200,0.405,0.889,0.664
adv-clean-fair_resample-group-1,0.846,0.755,0.112,0.124,0.362,0.906,0.336
adv-clean-fair_resample-delta,-0.104,0.028,0.194,0.077,0.042,-0.017,0.042
adv-all-all,0.804,0.830,0.240,0.154,0.413,0.928,0.000
adv-all-group-0,0.764,0.814,0.306,0.213,0.462,0.897,0.664
adv-all-group-1,0.883,0.802,0.112,0.038,0.144,0.976,0.336
adv-all-delta,-0.119,0.012,0.194,0.175,0.318,-0.078,0.318
adv-all-fair_resample-all,0.781,0.790,0.240,0.153,0.363,0.913,0.000
adv-all-fair_resample-group-0,0.751,0.791,0.306,0.169,0.368,0.919,0.664
adv-all-fair_resample-group-1,0.841,0.762,0.112,0.122,0.335,0.905,0.336
adv-all-fair_resample-delta,-0.091,0.030,0.194,0.047,0.033,0.014,0.033
adv-konstantinov-all,0.804,0.830,0.240,0.154,0.413,0.928,0.400
adv-konstantinov-group-0,0.764,0.814,0.306,0.213,0.462,0.897,0.664
adv-konstantinov-group-1,0.883,0.802,0.112,0.038,0.144,0.976,0.336
adv-konstantinov-delta,-0.119,0.012,0.194,0.175,0.318,-0.078,0.318
adv-konstantinov-fair_resample-all,0.784,0.791,0.240,0.158,0.380,0.912,0.000
adv-konstantinov-fair_resample-group-0,0.755,0.792,0.306,0.179,0.391,0.915,0.664
adv-konstantinov-fair_resample-group-1,0.842,0.765,0.112,0.118,0.319,0.907,0.336
adv-konstantinov-fair_resample-delta,-0.087,0.028,0.194,0.061,0.072,0.007,0.072
adv-selected-all,0.805,0.834,0.240,0.146,0.398,0.934,0.000
adv-selected-group-0,0.763,0.812,0.306,0.215,0.463,0.895,0.664
adv-selected-group-1,0.888,0.810,0.112,0.011,0.049,0.993,0.336
adv-selected-delta,-0.125,0.002,0.194,0.203,0.414,-0.099,0.414
adv-selected-fair_resample-all,0.781,0.778,0.240,0.148,0.352,0.917,0.000
adv-selected-fair_resample-group-0,0.744,0.778,0.306,0.169,0.359,0.914,0.664
adv-selected-fair_resample-group-1,0.854,0.737,0.112,0.105,0.319,0.921,0.336
adv-selected-fair_resample-delta,-0.110,0.041,0.194,0.064,0.040,-0.007,0.040
adv-voting-all,0.804,0.832,0.240,0.131,0.364,0.943,0.292
adv-voting-group-0,0.761,0.812,0.306,0.183,0.409,0.916,0.664
adv-voting-group-1,0.888,0.806,0.112,0.028,0.123,0.984,0.336
adv-voting-delta,-0.126,0.007,0.194,0.155,0.286,-0.068,0.286
adv-voting-fair_resample-all,0.792,0.805,0.240,0.132,0.343,0.934,0.385
adv-voting-fair_resample-group-0,0.752,0.800,0.306,0.157,0.352,0.929,0.664
adv-voting-fair_resample-group-1,0.871,0.775,0.112,0.084,0.297,0.943,0.336
adv-voting-fair_resample-delta,-0.119,0.025,0.194,0.073,0.055,-0.014,0.055
