method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.683,0.733,0.447,0.410,0.603,0.747,0.000
original-group-0,0.665,0.720,0.474,0.455,0.627,0.700,0.825
original-group-1,0.764,0.740,0.319,0.194,0.435,0.918,0.175
original-delta,-0.099,-0.019,0.155,0.261,0.193,-0.219,0.219
original-fair_resample-all,0.661,0.706,0.447,0.399,0.567,0.736,0.000
original-fair_resample-group-0,0.651,0.702,0.474,0.425,0.580,0.715,0.825
original-fair_resample-group-1,0.708,0.728,0.319,0.278,0.478,0.816,0.175
original-fair_resample-delta,-0.058,-0.026,0.155,0.147,0.101,-0.102,0.102
adv-clean-all,0.676,0.725,0.447,0.381,0.563,0.767,0.000
adv-clean-group-0,0.658,0.715,0.474,0.421,0.584,0.726,0.825
adv-clean-group-1,0.759,0.722,0.319,0.190,0.420,0.918,0.175
adv-clean-delta,-0.101,-0.006,0.155,0.231,0.164,-0.193,0.193
adv-clean-fair_resample-all,0.657,0.678,0.447,0.398,0.562,0.734,0.000
adv-clean-fair_resample-group-0,0.646,0.676,0.474,0.414,0.563,0.720,0.825
adv-clean-fair_resample-group-1,0.708,0.689,0.319,0.324,0.551,0.782,0.175
adv-clean-fair_resample-delta,-0.063,-0.012,0.155,0.090,0.012,-0.062,0.062
adv-all-all,0.571,0.607,0.447,0.227,0.274,0.811,0.000
adv-all-group-0,0.582,0.677,0.474,0.125,0.190,0.935,0.825
adv-all-group-1,0.519,0.680,0.319,0.708,0.855,0.361,0.175
adv-all-delta,0.063,-0.003,0.155,-0.584,-0.665,0.574,0.665
adv-all-fair_resample-all,0.630,0.681,0.447,0.156,0.261,0.928,0.000
adv-all-fair_resample-group-0,0.606,0.686,0.474,0.159,0.253,0.925,0.825
adv-all-fair_resample-group-1,0.741,0.693,0.319,0.144,0.319,0.939,0.175
adv-all-fair_resample-delta,-0.134,-0.006,0.155,0.015,-0.066,-0.013,0.066
adv-konstantinov-all,0.571,0.607,0.447,0.227,0.274,0.811,0.400
adv-konstantinov-group-0,0.582,0.677,0.474,0.125,0.190,0.935,0.825
adv-konstantinov-group-1,0.519,0.680,0.319,0.708,0.855,0.361,0.175
adv-konstantinov-delta,0.063,-0.003,0.155,-0.584,-0.665,0.574,0.665
adv-konstantinov-fair_resample-all,0.623,0.660,0.447,0.192,0.293,0.890,0.000
adv-konstantinov-fair_resample-group-0,0.606,0.670,0.474,0.186,0.282,0.899,0.825
adv-konstantinov-fair_resample-group-1,0.704,0.672,0.319,0.218,0.377,0.857,0.175
adv-konstantinov-fair_resample-delta,-0.097,-0.003,0.155,-0.031,-0.095,0.042,0.095
adv-selected-all,0.676,0.725,0.447,0.381,0.563,0.767,0.000
adv-selected-group-0,0.658,0.715,0.474,0.421,0.584,0.726,0.825
adv-selected-group-1,0.759,0.722,0.319,0.190,0.420,0.918,0.175
adv-selected-delta,-0.101,-0.006,0.155,0.231,0.164,-0.193,0.193
adv-selected-fair_resample-all,0.655,0.703,0.447,0.371,0.529,0.757,0.000
adv-selected-fair_resample-group-0,0.651,0.712,0.474,0.388,0.540,0.750,0.825
adv-selected-fair_resample-group-1,0.676,0.687,0.319,0.292,0.449,0.782,0.175
adv-selected-fair_resample-delta,-0.025,0.025,0.155,0.096,0.091,-0.032,0.091
adv-voting-all,0.651,0.708,0.447,0.338,0.487,0.783,0.000
adv-voting-group-0,0.637,0.713,0.474,0.352,0.489,0.771,0.825
adv-voting-group-1,0.718,0.722,0.319,0.269,0.478,0.830,0.175
adv-voting-delta,-0.081,-0.010,0.155,0.084,0.010,-0.059,0.059
adv-voting-fair_resample-all,0.601,0.630,0.447,0.242,0.324,0.824,0.029
adv-voting-fair_resample-group-0,0.609,0.676,0.474,0.158,0.255,0.929,0.825
adv-voting-fair_resample-group-1,0.560,0.693,0.319,0.639,0.812,0.442,0.175
adv-voting-fair_resample-delta,0.049,-0.017,0.155,-0.481,-0.557,0.487,0.557
