method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.667,0.720,0.457,0.414,0.589,0.733,0.000
original-group-0,0.655,0.708,0.484,0.466,0.625,0.683,0.807
original-group-1,0.718,0.728,0.340,0.193,0.370,0.898,0.193
original-delta,-0.064,-0.020,0.144,0.273,0.255,-0.215,0.255
original-fair_resample-all,0.659,0.713,0.457,0.402,0.567,0.736,0.000
original-fair_resample-group-0,0.654,0.714,0.484,0.419,0.576,0.728,0.807
original-fair_resample-group-1,0.681,0.713,0.340,0.332,0.519,0.764,0.193
original-fair_resample-delta,-0.027,0.002,0.144,0.087,0.057,-0.037,0.057
adv-clean-all,0.665,0.724,0.457,0.442,0.617,0.705,0.000
adv-clean-group-0,0.656,0.718,0.484,0.493,0.654,0.658,0.807
adv-clean-group-1,0.702,0.709,0.340,0.227,0.395,0.860,0.193
adv-clean-delta,-0.046,0.009,0.144,0.267,0.259,-0.202,0.259
adv-clean-fair_resample-all,0.666,0.700,0.457,0.366,0.535,0.776,0.000
adv-clean-fair_resample-group-0,0.661,0.703,0.484,0.368,0.530,0.784,0.807
adv-clean-fair_resample-group-1,0.689,0.707,0.340,0.357,0.568,0.752,0.193
adv-clean-fair_resample-delta,-0.028,-0.003,0.144,0.011,-0.038,0.032,0.038
adv-all-all,0.601,0.667,0.457,0.534,0.647,0.562,0.000
adv-all-group-0,0.662,0.723,0.484,0.516,0.683,0.642,0.807
adv-all-group-1,0.345,0.340,0.340,0.609,0.432,0.299,0.193
adv-all-delta,0.317,0.383,0.144,-0.094,0.251,0.343,0.343
adv-all-fair_resample-all,0.606,0.636,0.457,0.479,0.592,0.617,0.000
adv-all-fair_resample-group-0,0.653,0.690,0.484,0.466,0.623,0.681,0.807
adv-all-fair_resample-group-1,0.408,0.369,0.340,0.529,0.407,0.408,0.193
adv-all-fair_resample-delta,0.245,0.321,0.144,-0.063,0.216,0.273,0.273
adv-konstantinov-all,0.601,0.667,0.457,0.534,0.647,0.562,0.400
adv-konstantinov-group-0,0.662,0.723,0.484,0.516,0.683,0.642,0.807
adv-konstantinov-group-1,0.345,0.340,0.340,0.609,0.432,0.299,0.193
adv-konstantinov-delta,0.317,0.383,0.144,-0.094,0.251,0.343,0.343
adv-konstantinov-fair_resample-all,0.606,0.653,0.457,0.483,0.598,0.613,0.000
adv-konstantinov-fair_resample-group-0,0.650,0.697,0.484,0.465,0.619,0.679,0.807
adv-konstantinov-fair_resample-group-1,0.420,0.391,0.340,0.559,0.469,0.395,0.193
adv-konstantinov-fair_resample-delta,0.230,0.306,0.144,-0.093,0.150,0.284,0.284
adv-selected-all,0.666,0.728,0.457,0.435,0.610,0.712,0.000
adv-selected-group-0,0.663,0.723,0.484,0.492,0.660,0.665,0.807
adv-selected-group-1,0.676,0.707,0.340,0.193,0.309,0.866,0.193
adv-selected-delta,-0.013,0.016,0.144,0.299,0.352,-0.201,0.352
adv-selected-fair_resample-all,0.632,0.677,0.457,0.366,0.498,0.745,0.000
adv-selected-fair_resample-group-0,0.620,0.672,0.484,0.377,0.497,0.735,0.807
adv-selected-fair_resample-group-1,0.685,0.686,0.340,0.319,0.506,0.777,0.193
adv-selected-fair_resample-delta,-0.065,-0.014,0.144,0.058,-0.009,-0.042,0.042
adv-voting-all,0.642,0.694,0.457,0.423,0.571,0.702,0.113
adv-voting-group-0,0.630,0.687,0.484,0.473,0.607,0.652,0.807
adv-voting-group-1,0.693,0.666,0.340,0.210,0.358,0.866,0.193
adv-voting-delta,-0.063,0.021,0.144,0.263,0.249,-0.214,0.249
adv-voting-fair_resample-all,0.560,0.589,0.457,0.439,0.498,0.611,0.296
adv-voting-fair_resample-group-0,0.589,0.626,0.484,0.404,0.493,0.679,0.807
adv-voting-fair_resample-group-1,0.437,0.472,0.340,0.584,0.531,0.389,0.193
adv-voting-fair_resample-delta,0.152,0.154,0.144,-0.180,-0.038,0.290,0.290
