method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.715,0.451,0.415,0.591,0.729,0.000
original-group-0,0.660,0.708,0.488,0.454,0.617,0.702,0.815
original-group-1,0.693,0.673,0.289,0.246,0.394,0.815,0.185
original-delta,-0.033,0.035,0.198,0.208,0.223,-0.113,0.223
original-fair_resample-all,0.662,0.690,0.451,0.363,0.528,0.773,0.000
original-fair_resample-group-0,0.656,0.696,0.488,0.378,0.536,0.771,0.815
original-fair_resample-group-1,0.689,0.651,0.289,0.294,0.470,0.778,0.185
original-fair_resample-delta,-0.032,0.045,0.198,0.084,0.066,-0.006,0.066
adv-clean-all,0.669,0.720,0.451,0.408,0.585,0.737,0.000
adv-clean-group-0,0.659,0.712,0.488,0.449,0.611,0.705,0.815
adv-clean-group-1,0.711,0.693,0.289,0.228,0.394,0.840,0.185
adv-clean-delta,-0.051,0.019,0.198,0.221,0.217,-0.134,0.217
adv-clean-fair_resample-all,0.644,0.670,0.451,0.370,0.515,0.749,0.000
adv-clean-fair_resample-group-0,0.634,0.674,0.488,0.387,0.521,0.740,0.815
adv-clean-fair_resample-group-1,0.689,0.648,0.289,0.294,0.470,0.778,0.185
adv-clean-fair_resample-delta,-0.055,0.026,0.198,0.093,0.052,-0.037,0.052
adv-all-all,0.668,0.713,0.451,0.419,0.596,0.727,0.000
adv-all-group-0,0.660,0.711,0.488,0.448,0.611,0.707,0.815
adv-all-group-1,0.702,0.681,0.289,0.289,0.485,0.790,0.185
adv-all-delta,-0.041,0.030,0.198,0.158,0.126,-0.083,0.126
adv-all-fair_resample-all,0.663,0.704,0.451,0.360,0.526,0.776,0.000
adv-all-fair_resample-group-0,0.651,0.703,0.488,0.383,0.536,0.762,0.815
adv-all-fair_resample-group-1,0.715,0.666,0.289,0.259,0.455,0.821,0.185
adv-all-fair_resample-delta,-0.063,0.037,0.198,0.125,0.081,-0.059,0.081
adv-konstantinov-all,0.668,0.713,0.451,0.419,0.596,0.727,0.400
adv-konstantinov-group-0,0.660,0.711,0.488,0.448,0.611,0.707,0.815
adv-konstantinov-group-1,0.702,0.681,0.289,0.289,0.485,0.790,0.185
adv-konstantinov-delta,-0.041,0.030,0.198,0.158,0.126,-0.083,0.126
adv-konstantinov-fair_resample-all,0.653,0.687,0.451,0.375,0.531,0.754,0.000
adv-konstantinov-fair_resample-group-0,0.650,0.683,0.488,0.386,0.538,0.758,0.815
adv-konstantinov-fair_resample-group-1,0.667,0.673,0.289,0.325,0.485,0.741,0.185
adv-konstantinov-fair_resample-delta,-0.016,0.010,0.198,0.062,0.053,0.017,0.053
adv-selected-all,0.669,0.720,0.451,0.408,0.585,0.737,0.000
adv-selected-group-0,0.659,0.712,0.488,0.449,0.611,0.705,0.815
adv-selected-group-1,0.711,0.693,0.289,0.228,0.394,0.840,0.185
adv-selected-delta,-0.051,0.019,0.198,0.221,0.217,-0.134,0.217
adv-selected-fair_resample-all,0.640,0.675,0.451,0.347,0.485,0.767,0.000
adv-selected-fair_resample-group-0,0.632,0.678,0.488,0.356,0.487,0.769,0.815
adv-selected-fair_resample-group-1,0.675,0.627,0.289,0.307,0.470,0.759,0.185
adv-selected-fair_resample-delta,-0.044,0.051,0.198,0.048,0.017,0.010,0.017
adv-voting-all,0.666,0.703,0.451,0.369,0.539,0.770,0.314
adv-voting-group-0,0.653,0.699,0.488,0.391,0.546,0.756,0.815
adv-voting-group-1,0.719,0.674,0.289,0.272,0.485,0.815,0.185
adv-voting-delta,-0.066,0.025,0.198,0.119,0.061,-0.059,0.061
adv-voting-fair_resample-all,0.644,0.699,0.451,0.389,0.537,0.732,0.453
adv-voting-fair_resample-group-0,0.635,0.698,0.488,0.416,0.552,0.713,0.815
adv-voting-fair_resample-group-1,0.684,0.663,0.289,0.272,0.424,0.790,0.185
adv-voting-fair_resample-delta,-0.050,0.035,0.198,0.144,0.128,-0.077,0.128
