method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.662,0.721,0.436,0.432,0.608,0.703,0.000
original-group-0,0.653,0.724,0.459,0.496,0.663,0.645,0.796
original-group-1,0.694,0.694,0.345,0.183,0.322,0.891,0.204
original-delta,-0.041,0.030,0.114,0.314,0.341,-0.246,0.341
original-fair_resample-all,0.643,0.660,0.436,0.394,0.543,0.720,0.000
original-fair_resample-group-0,0.643,0.665,0.459,0.415,0.563,0.711,0.796
original-fair_resample-group-1,0.643,0.621,0.345,0.313,0.437,0.752,0.204
original-fair_resample-delta,0.000,0.044,0.114,0.102,0.126,-0.041,0.126
adv-clean-all,0.660,0.720,0.436,0.428,0.600,0.706,0.000
adv-clean-group-0,0.654,0.724,0.459,0.504,0.672,0.639,0.796
adv-clean-group-1,0.683,0.680,0.345,0.131,0.230,0.921,0.204
adv-clean-delta,-0.028,0.044,0.114,0.373,0.442,-0.282,0.442
adv-clean-fair_resample-all,0.642,0.681,0.436,0.429,0.582,0.689,0.000
adv-clean-fair_resample-group-0,0.637,0.685,0.459,0.470,0.616,0.654,0.796
adv-clean-fair_resample-group-1,0.663,0.656,0.345,0.270,0.402,0.800,0.204
adv-clean-fair_resample-delta,-0.026,0.029,0.114,0.200,0.214,-0.146,0.214
adv-all-all,0.610,0.601,0.436,0.410,0.522,0.677,0.000
adv-all-group-0,0.610,0.611,0.459,0.442,0.557,0.656,0.796
adv-all-group-1,0.607,0.531,0.345,0.286,0.345,0.745,0.204
adv-all-delta,0.003,0.080,0.114,0.156,0.212,-0.089,0.212
adv-all-fair_resample-all,0.577,0.606,0.436,0.441,0.520,0.620,0.000
adv-all-fair_resample-group-0,0.593,0.623,0.459,0.443,0.539,0.639,0.796
adv-all-fair_resample-group-1,0.512,0.524,0.345,0.437,0.425,0.558,0.204
adv-all-fair_resample-delta,0.081,0.099,0.114,0.006,0.114,0.082,0.114
adv-konstantinov-all,0.610,0.601,0.436,0.410,0.522,0.677,0.400
adv-konstantinov-group-0,0.610,0.611,0.459,0.442,0.557,0.656,0.796
adv-konstantinov-group-1,0.607,0.531,0.345,0.286,0.345,0.745,0.204
adv-konstantinov-delta,0.003,0.080,0.114,0.156,0.212,-0.089,0.212
adv-konstantinov-fair_resample-all,0.580,0.569,0.436,0.417,0.496,0.644,0.000
adv-konstantinov-fair_resample-group-0,0.585,0.584,0.459,0.422,0.508,0.650,0.796
adv-konstantinov-fair_resample-group-1,0.560,0.515,0.345,0.397,0.437,0.624,0.204
adv-konstantinov-fair_resample-delta,0.025,0.069,0.114,0.025,0.071,0.026,0.071
adv-selected-all,0.658,0.720,0.436,0.428,0.599,0.704,0.000
adv-selected-group-0,0.654,0.725,0.459,0.504,0.672,0.639,0.796
adv-selected-group-1,0.675,0.681,0.345,0.131,0.218,0.915,0.204
adv-selected-delta,-0.020,0.044,0.114,0.373,0.453,-0.276,0.453
adv-selected-fair_resample-all,0.640,0.680,0.436,0.432,0.582,0.684,0.000
adv-selected-fair_resample-group-0,0.639,0.687,0.459,0.456,0.603,0.669,0.796
adv-selected-fair_resample-group-1,0.643,0.630,0.345,0.337,0.471,0.733,0.204
adv-selected-fair_resample-delta,-0.004,0.058,0.114,0.118,0.132,-0.064,0.132
adv-voting-all,0.655,0.691,0.436,0.450,0.621,0.681,0.168
adv-voting-group-0,0.661,0.701,0.459,0.501,0.676,0.648,0.796
adv-voting-group-1,0.631,0.625,0.345,0.254,0.333,0.788,0.204
adv-voting-delta,0.030,0.076,0.114,0.247,0.343,-0.139,0.343
adv-voting-fair_resample-all,0.563,0.607,0.436,0.468,0.535,0.584,0.211
adv-voting-fair_resample-group-0,0.572,0.630,0.459,0.478,0.554,0.586,0.796
adv-voting-fair_resample-group-1,0.528,0.506,0.345,0.429,0.437,0.576,0.204
adv-voting-fair_resample-delta,0.044,0.124,0.114,0.050,0.118,0.011,0.118
