method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.664,0.720,0.461,0.361,0.527,0.781,0.000
original-group-0,0.643,0.705,0.500,0.390,0.533,0.753,0.794
original-group-1,0.745,0.726,0.310,0.251,0.494,0.858,0.206
original-delta,-0.102,-0.021,0.190,0.139,0.039,-0.105,0.105
original-fair_resample-all,0.618,0.662,0.461,0.385,0.503,0.716,0.000
original-fair_resample-group-0,0.612,0.671,0.500,0.378,0.490,0.735,0.794
original-fair_resample-group-1,0.639,0.636,0.310,0.412,0.582,0.665,0.206
original-fair_resample-delta,-0.027,0.036,0.190,-0.034,-0.092,0.070,0.092
adv-clean-all,0.662,0.720,0.461,0.357,0.520,0.782,0.000
adv-clean-group-0,0.647,0.712,0.500,0.406,0.553,0.741,0.794
adv-clean-group-1,0.718,0.702,0.310,0.169,0.316,0.898,0.206
adv-clean-delta,-0.071,0.010,0.190,0.237,0.237,-0.157,0.237
adv-clean-fair_resample-all,0.646,0.692,0.461,0.372,0.520,0.754,0.000
adv-clean-fair_resample-group-0,0.646,0.704,0.500,0.368,0.514,0.778,0.794
adv-clean-fair_resample-group-1,0.647,0.671,0.310,0.388,0.557,0.688,0.206
adv-clean-fair_resample-delta,-0.001,0.033,0.190,-0.020,-0.043,0.090,0.090
adv-all-all,0.664,0.720,0.461,0.361,0.527,0.781,0.000
adv-all-group-0,0.643,0.705,0.500,0.390,0.533,0.753,0.794
adv-all-group-1,0.745,0.726,0.310,0.251,0.494,0.858,0.206
adv-all-delta,-0.102,-0.021,0.190,0.139,0.039,-0.105,0.105
adv-all-fair_resample-all,0.639,0.683,0.461,0.385,0.525,0.736,0.000
adv-all-fair_resample-group-0,0.633,0.686,0.500,0.384,0.516,0.749,0.794
adv-all-fair_resample-group-1,0.663,0.682,0.310,0.388,0.582,0.699,0.206
adv-all-fair_resample-delta,-0.030,0.003,0.190,-0.005,-0.066,0.050,0.066
adv-konstantinov-all,0.664,0.720,0.461,0.361,0.527,0.781,0.400
adv-konstantinov-group-0,0.643,0.705,0.500,0.390,0.533,0.753,0.794
adv-konstantinov-group-1,0.745,0.726,0.310,0.251,0.494,0.858,0.206
adv-konstantinov-delta,-0.102,-0.021,0.190,0.139,0.039,-0.105,0.105
adv-konstantinov-fair_resample-all,0.644,0.695,0.461,0.381,0.527,0.743,0.000
adv-konstantinov-fair_resample-group-0,0.631,0.690,0.500,0.373,0.504,0.757,0.794
adv-konstantinov-fair_resample-group-1,0.694,0.732,0.310,0.412,0.671,0.705,0.206
adv-konstantinov-fair_resample-delta,-0.064,-0.042,0.190,-0.038,-0.167,0.053,0.167
adv-selected-all,0.657,0.711,0.461,0.331,0.487,0.802,0.333
adv-selected-group-0,0.640,0.700,0.500,0.368,0.508,0.771,0.794
adv-selected-group-1,0.722,0.711,0.310,0.188,0.354,0.886,0.206
adv-selected-delta,-0.082,-0.011,0.190,0.180,0.154,-0.115,0.154
adv-selected-fair_resample-all,0.647,0.692,0.461,0.309,0.452,0.814,0.000
adv-selected-fair_resample-group-0,0.633,0.693,0.500,0.312,0.445,0.820,0.794
adv-selected-fair_resample-group-1,0.702,0.696,0.310,0.294,0.494,0.795,0.206
adv-selected-fair_resample-delta,-0.069,-0.003,0.190,0.018,-0.049,0.025,0.049
adv-voting-all,0.670,0.722,0.461,0.394,0.569,0.757,0.358
adv-voting-group-0,0.656,0.707,0.500,0.432,0.588,0.724,0.794
adv-voting-group-1,0.725,0.729,0.310,0.247,0.456,0.847,0.206
adv-voting-delta,-0.069,-0.022,0.190,0.185,0.132,-0.122,0.132
adv-voting-fair_resample-all,0.651,0.681,0.461,0.400,0.555,0.733,0.385
adv-voting-fair_resample-group-0,0.640,0.673,0.500,0.413,0.553,0.727,0.794
adv-voting-fair_resample-group-1,0.694,0.689,0.310,0.349,0.570,0.750,0.206
adv-voting-fair_resample-delta,-0.054,-0.016,0.190,0.064,-0.017,-0.023,0.023
