method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.701,0.450,0.374,0.522,0.747,0.000
original-group-0,0.646,0.708,0.463,0.410,0.561,0.720,0.817
original-group-1,0.642,0.664,0.394,0.212,0.315,0.854,0.183
original-delta,0.005,0.043,0.069,0.198,0.246,-0.134,0.246
original-fair_resample-all,0.635,0.675,0.450,0.336,0.468,0.772,0.000
original-fair_resample-group-0,0.635,0.683,0.463,0.348,0.482,0.768,0.817
original-fair_resample-group-1,0.633,0.644,0.394,0.283,0.393,0.788,0.183
original-fair_resample-delta,0.003,0.039,0.069,0.065,0.089,-0.021,0.089
adv-clean-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-clean-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-clean-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-clean-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-clean-fair_resample-all,0.632,0.678,0.450,0.385,0.520,0.725,0.000
adv-clean-fair_resample-group-0,0.631,0.682,0.463,0.384,0.516,0.731,0.817
adv-clean-fair_resample-group-1,0.637,0.664,0.394,0.394,0.539,0.701,0.183
adv-clean-fair_resample-delta,-0.006,0.018,0.069,-0.010,-0.023,0.030,0.030
adv-all-all,0.641,0.685,0.450,0.407,0.554,0.713,0.000
adv-all-group-0,0.654,0.707,0.463,0.367,0.522,0.768,0.817
adv-all-group-1,0.584,0.669,0.394,0.588,0.719,0.496,0.183
adv-all-delta,0.070,0.038,0.069,-0.222,-0.197,0.271,0.271
adv-all-fair_resample-all,0.632,0.666,0.450,0.395,0.531,0.716,0.000
adv-all-fair_resample-group-0,0.627,0.662,0.463,0.405,0.535,0.707,0.817
adv-all-fair_resample-group-1,0.655,0.682,0.394,0.350,0.506,0.752,0.183
adv-all-fair_resample-delta,-0.028,-0.020,0.069,0.056,0.030,-0.045,0.045
adv-konstantinov-all,0.641,0.685,0.450,0.407,0.554,0.713,0.400
adv-konstantinov-group-0,0.654,0.707,0.463,0.367,0.522,0.768,0.817
adv-konstantinov-group-1,0.584,0.669,0.394,0.588,0.719,0.496,0.183
adv-konstantinov-delta,0.070,0.038,0.069,-0.222,-0.197,0.271,0.271
adv-konstantinov-fair_resample-all,0.649,0.697,0.450,0.395,0.549,0.730,0.000
adv-konstantinov-fair_resample-group-0,0.655,0.703,0.463,0.409,0.570,0.729,0.817
adv-konstantinov-fair_resample-group-1,0.619,0.663,0.394,0.332,0.438,0.737,0.183
adv-konstantinov-fair_resample-delta,0.036,0.040,0.069,0.077,0.131,-0.008,0.131
adv-selected-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-selected-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-selected-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-selected-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-selected-fair_resample-all,0.617,0.644,0.450,0.385,0.502,0.711,0.000
adv-selected-fair_resample-group-0,0.622,0.653,0.463,0.371,0.493,0.734,0.817
adv-selected-fair_resample-group-1,0.593,0.620,0.394,0.447,0.551,0.620,0.183
adv-selected-fair_resample-delta,0.029,0.033,0.069,-0.076,-0.058,0.114,0.114
adv-voting-all,0.644,0.698,0.450,0.410,0.559,0.713,0.324
adv-voting-group-0,0.646,0.705,0.463,0.448,0.602,0.685,0.817
adv-voting-group-1,0.633,0.648,0.394,0.239,0.337,0.825,0.183
adv-voting-delta,0.013,0.057,0.069,0.209,0.265,-0.140,0.265
adv-voting-fair_resample-all,0.641,0.677,0.450,0.407,0.554,0.713,0.337
adv-voting-fair_resample-group-0,0.646,0.689,0.463,0.404,0.555,0.725,0.817
adv-voting-fair_resample-group-1,0.619,0.628,0.394,0.420,0.551,0.664,0.183
adv-voting-fair_resample-delta,0.027,0.060,0.069,-0.016,0.004,0.061,0.061
