method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.715,0.451,0.415,0.591,0.729,0.000
original-group-0,0.660,0.708,0.488,0.454,0.617,0.702,0.815
original-group-1,0.693,0.673,0.289,0.246,0.394,0.815,0.185
original-delta,-0.033,0.035,0.198,0.208,0.223,-0.113,0.223
original-fair_resample-all,0.662,0.690,0.451,0.363,0.528,0.773,0.000
original-fair_resample-group-0,0.656,0.696,0.488,0.378,0.536,0.771,0.815
original-fair_resample-group-1,0.689,0.651,0.289,0.294,0.470,0.778,0.185
original-fair_resample-delta,-0.032,0.045,0.198,0.084,0.066,-0.006,0.066
adv-clean-all,0.669,0.720,0.451,0.408,0.585,0.737,0.000
adv-clean-group-0,0.659,0.712,0.488,0.449,0.611,0.705,0.815
adv-clean-group-1,0.711,0.693,0.289,0.228,0.394,0.840,0.185
adv-clean-delta,-0.051,0.019,0.198,0.221,0.217,-0.134,0.217
adv-clean-fair_resample-all,0.644,0.670,0.451,0.370,0.515,0.749,0.000
adv-clean-fair_resample-group-0,0.634,0.674,0.488,0.387,0.521,0.740,0.815
adv-clean-fair_resample-group-1,0.689,0.648,0.289,0.294,0.470,0.778,0.185
adv-clean-fair_resample-delta,-0.055,0.026,0.198,0.093,0.052,-0.037,0.052
adv-all-all,0.608,0.696,0.451,0.603,0.734,0.504,0.000
adv-all-group-0,0.579,0.678,0.488,0.722,0.809,0.360,0.815
adv-all-group-1,0.737,0.669,0.289,0.079,0.182,0.963,0.185
adv-all-delta,-0.158,0.009,0.198,0.643,0.627,-0.602,0.627
adv-all-fair_resample-all,0.628,0.649,0.451,0.474,0.612,0.640,0.000
adv-all-fair_resample-group-0,0.626,0.649,0.488,0.479,0.607,0.643,0.815
adv-all-fair_resample-group-1,0.636,0.638,0.289,0.452,0.652,0.630,0.185
adv-all-fair_resample-delta,-0.010,0.011,0.198,0.027,-0.045,0.014,0.045
adv-konstantinov-all,0.608,0.696,0.451,0.603,0.734,0.504,0.400
adv-konstantinov-group-0,0.579,0.678,0.488,0.722,0.809,0.360,0.815
adv-konstantinov-group-1,0.737,0.669,0.289,0.079,0.182,0.963,0.185
adv-konstantinov-delta,-0.158,0.009,0.198,0.643,0.627,-0.602,0.627
adv-konstantinov-fair_resample-all,0.655,0.676,0.451,0.466,0.634,0.673,0.000
adv-konstantinov-fair_resample-group-0,0.659,0.681,0.488,0.471,0.633,0.684,0.815
adv-konstantinov-fair_resample-group-1,0.636,0.669,0.289,0.443,0.636,0.636,0.185
adv-konstantinov-fair_resample-delta,0.023,0.011,0.198,0.028,-0.003,0.048,0.048
adv-selected-all,0.669,0.720,0.451,0.408,0.585,0.737,0.000
adv-selected-group-0,0.659,0.712,0.488,0.449,0.611,0.705,0.815
adv-selected-group-1,0.711,0.693,0.289,0.228,0.394,0.840,0.185
adv-selected-delta,-0.051,0.019,0.198,0.221,0.217,-0.134,0.217
adv-selected-fair_resample-all,0.632,0.683,0.451,0.325,0.452,0.780,0.000
adv-selected-fair_resample-group-0,0.628,0.685,0.488,0.324,0.450,0.797,0.815
adv-selected-fair_resample-group-1,0.654,0.659,0.289,0.329,0.470,0.728,0.185
adv-selected-fair_resample-delta,-0.026,0.025,0.198,-0.005,-0.020,0.068,0.068
adv-voting-all,0.674,0.718,0.451,0.474,0.664,0.681,0.000
adv-voting-group-0,0.663,0.711,0.488,0.558,0.727,0.603,0.815
adv-voting-group-1,0.719,0.639,0.289,0.105,0.197,0.932,0.185
adv-voting-delta,-0.056,0.072,0.198,0.453,0.530,-0.329,0.530
adv-voting-fair_resample-all,0.607,0.674,0.451,0.578,0.706,0.527,0.040
adv-voting-fair_resample-group-0,0.585,0.652,0.488,0.692,0.784,0.395,0.815
adv-voting-fair_resample-group-1,0.706,0.666,0.289,0.075,0.121,0.944,0.185
adv-voting-fair_resample-delta,-0.121,-0.014,0.198,0.618,0.663,-0.549,0.663
