method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.701,0.450,0.374,0.522,0.747,0.000
original-group-0,0.646,0.708,0.463,0.410,0.561,0.720,0.817
original-group-1,0.642,0.664,0.394,0.212,0.315,0.854,0.183
original-delta,0.005,0.043,0.069,0.198,0.246,-0.134,0.246
original-fair_resample-all,0.635,0.675,0.450,0.336,0.468,0.772,0.000
original-fair_resample-group-0,0.635,0.683,0.463,0.348,0.482,0.768,0.817
original-fair_resample-group-1,0.633,0.644,0.394,0.283,0.393,0.788,0.183
original-fair_resample-delta,0.003,0.039,0.069,0.065,0.089,-0.021,0.089
adv-clean-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-clean-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-clean-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-clean-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-clean-fair_resample-all,0.632,0.678,0.450,0.385,0.520,0.725,0.000
adv-clean-fair_resample-group-0,0.631,0.682,0.463,0.384,0.516,0.731,0.817
adv-clean-fair_resample-group-1,0.637,0.664,0.394,0.394,0.539,0.701,0.183
adv-clean-fair_resample-delta,-0.006,0.018,0.069,-0.010,-0.023,0.030,0.030
adv-all-all,0.609,0.633,0.450,0.257,0.351,0.820,0.000
adv-all-group-0,0.612,0.655,0.463,0.184,0.281,0.899,0.817
adv-all-group-1,0.593,0.647,0.394,0.580,0.719,0.511,0.183
adv-all-delta,0.020,0.007,0.069,-0.395,-0.439,0.388,0.439
adv-all-fair_resample-all,0.628,0.640,0.450,0.306,0.426,0.792,0.000
adv-all-fair_resample-group-0,0.637,0.655,0.463,0.320,0.454,0.795,0.817
adv-all-fair_resample-group-1,0.584,0.565,0.394,0.243,0.281,0.781,0.183
adv-all-fair_resample-delta,0.053,0.091,0.069,0.077,0.173,0.014,0.173
adv-konstantinov-all,0.609,0.633,0.450,0.257,0.351,0.820,0.400
adv-konstantinov-group-0,0.612,0.655,0.463,0.184,0.281,0.899,0.817
adv-konstantinov-group-1,0.593,0.647,0.394,0.580,0.719,0.511,0.183
adv-konstantinov-delta,0.020,0.007,0.069,-0.395,-0.439,0.388,0.439
adv-konstantinov-fair_resample-all,0.623,0.686,0.450,0.253,0.362,0.837,0.000
adv-konstantinov-fair_resample-group-0,0.625,0.699,0.463,0.257,0.373,0.843,0.817
adv-konstantinov-fair_resample-group-1,0.611,0.637,0.394,0.235,0.303,0.810,0.183
adv-konstantinov-fair_resample-delta,0.015,0.061,0.069,0.022,0.069,0.033,0.069
adv-selected-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-selected-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-selected-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-selected-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-selected-fair_resample-all,0.640,0.670,0.450,0.360,0.500,0.754,0.000
adv-selected-fair_resample-group-0,0.638,0.675,0.463,0.353,0.490,0.766,0.817
adv-selected-fair_resample-group-1,0.646,0.663,0.394,0.394,0.551,0.708,0.183
adv-selected-fair_resample-delta,-0.008,0.012,0.069,-0.041,-0.060,0.058,0.060
adv-voting-all,0.649,0.687,0.450,0.320,0.466,0.800,0.000
adv-voting-group-0,0.645,0.700,0.463,0.292,0.433,0.828,0.817
adv-voting-group-1,0.668,0.693,0.394,0.442,0.640,0.686,0.183
adv-voting-delta,-0.023,0.007,0.069,-0.150,-0.208,0.142,0.208
adv-voting-fair_resample-all,0.593,0.609,0.450,0.328,0.412,0.741,0.053
adv-voting-fair_resample-group-0,0.613,0.643,0.463,0.231,0.332,0.856,0.817
adv-voting-fair_resample-group-1,0.500,0.641,0.394,0.761,0.831,0.285,0.183
adv-voting-fair_resample-delta,0.113,0.002,0.069,-0.530,-0.500,0.571,0.571
