method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.662,0.721,0.436,0.432,0.608,0.703,0.000
original-group-0,0.653,0.724,0.459,0.496,0.663,0.645,0.796
original-group-1,0.694,0.694,0.345,0.183,0.322,0.891,0.204
original-delta,-0.041,0.030,0.114,0.314,0.341,-0.246,0.341
original-fair_resample-all,0.643,0.660,0.436,0.394,0.543,0.720,0.000
original-fair_resample-group-0,0.643,0.665,0.459,0.415,0.563,0.711,0.796
original-fair_resample-group-1,0.643,0.621,0.345,0.313,0.437,0.752,0.204
original-fair_resample-delta,0.000,0.044,0.114,0.102,0.126,-0.041,0.126
adv-clean-all,0.660,0.720,0.436,0.428,0.600,0.706,0.000
adv-clean-group-0,0.654,0.724,0.459,0.504,0.672,0.639,0.796
adv-clean-group-1,0.683,0.680,0.345,0.131,0.230,0.921,0.204
adv-clean-delta,-0.028,0.044,0.114,0.373,0.442,-0.282,0.442
adv-clean-fair_resample-all,0.642,0.681,0.436,0.429,0.582,0.689,0.000
adv-clean-fair_resample-group-0,0.637,0.685,0.459,0.470,0.616,0.654,0.796
adv-clean-fair_resample-group-1,0.663,0.656,0.345,0.270,0.402,0.800,0.204
adv-clean-fair_resample-delta,-0.026,0.029,0.114,0.200,0.214,-0.146,0.214
adv-all-all,0.659,0.723,0.436,0.440,0.613,0.694,0.000
adv-all-group-0,0.652,0.725,0.459,0.491,0.656,0.648,0.796
adv-all-group-1,0.687,0.689,0.345,0.238,0.391,0.842,0.204
adv-all-delta,-0.034,0.036,0.114,0.253,0.266,-0.194,0.266
adv-all-fair_resample-all,0.636,0.660,0.436,0.412,0.556,0.699,0.000
adv-all-fair_resample-group-0,0.645,0.674,0.459,0.433,0.585,0.695,0.796
adv-all-fair_resample-group-1,0.603,0.576,0.345,0.329,0.402,0.709,0.204
adv-all-fair_resample-delta,0.042,0.097,0.114,0.104,0.183,-0.014,0.183
adv-konstantinov-all,0.659,0.723,0.436,0.440,0.613,0.694,0.400
adv-konstantinov-group-0,0.652,0.725,0.459,0.491,0.656,0.648,0.796
adv-konstantinov-group-1,0.687,0.689,0.345,0.238,0.391,0.842,0.204
adv-konstantinov-delta,-0.034,0.036,0.114,0.253,0.266,-0.194,0.266
adv-konstantinov-fair_resample-all,0.668,0.713,0.436,0.405,0.584,0.733,0.000
adv-konstantinov-fair_resample-group-0,0.664,0.714,0.459,0.428,0.601,0.718,0.796
adv-konstantinov-fair_resample-group-1,0.683,0.691,0.345,0.313,0.494,0.782,0.204
adv-konstantinov-fair_resample-delta,-0.018,0.024,0.114,0.115,0.107,-0.064,0.107
adv-selected-all,0.658,0.720,0.436,0.428,0.599,0.704,0.000
adv-selected-group-0,0.654,0.725,0.459,0.504,0.672,0.639,0.796
adv-selected-group-1,0.675,0.681,0.345,0.131,0.218,0.915,0.204
adv-selected-delta,-0.020,0.044,0.114,0.373,0.453,-0.276,0.453
adv-selected-fair_resample-all,0.658,0.680,0.436,0.423,0.593,0.709,0.000
adv-selected-fair_resample-group-0,0.658,0.688,0.459,0.449,0.616,0.694,0.796
adv-selected-fair_resample-group-1,0.659,0.627,0.345,0.321,0.471,0.758,0.204
adv-selected-fair_resample-delta,-0.001,0.061,0.114,0.127,0.145,-0.064,0.145
adv-voting-all,0.666,0.719,0.436,0.448,0.630,0.693,0.364
adv-voting-group-0,0.652,0.718,0.459,0.504,0.670,0.637,0.796
adv-voting-group-1,0.718,0.692,0.345,0.230,0.425,0.873,0.204
adv-voting-delta,-0.066,0.027,0.114,0.273,0.244,-0.236,0.244
adv-voting-fair_resample-all,0.643,0.692,0.436,0.448,0.604,0.673,0.324
adv-voting-fair_resample-group-0,0.636,0.697,0.459,0.473,0.619,0.650,0.796
adv-voting-fair_resample-group-1,0.671,0.662,0.345,0.349,0.529,0.745,0.204
adv-voting-fair_resample-delta,-0.035,0.035,0.114,0.124,0.090,-0.095,0.095
