method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.692,0.485,0.427,0.574,0.711,0.000
original-group-0,0.634,0.682,0.577,0.541,0.652,0.610,0.515
original-group-1,0.656,0.675,0.388,0.306,0.451,0.786,0.485
original-delta,-0.022,0.007,0.189,0.235,0.201,-0.176,0.201
original-fair_resample-all,0.645,0.691,0.485,0.475,0.623,0.665,0.000
original-fair_resample-group-0,0.624,0.660,0.577,0.552,0.652,0.585,0.515
original-fair_resample-group-1,0.667,0.702,0.388,0.393,0.577,0.723,0.485
original-fair_resample-delta,-0.043,-0.042,0.189,0.158,0.074,-0.138,0.138
adv-clean-all,0.621,0.674,0.485,0.424,0.546,0.691,0.000
adv-clean-group-0,0.619,0.671,0.577,0.526,0.625,0.610,0.515
adv-clean-group-1,0.623,0.642,0.388,0.317,0.423,0.750,0.485
adv-clean-delta,-0.004,0.029,0.189,0.209,0.202,-0.140,0.202
adv-clean-fair_resample-all,0.618,0.675,0.485,0.390,0.508,0.722,0.000
adv-clean-fair_resample-group-0,0.582,0.667,0.577,0.438,0.518,0.671,0.515
adv-clean-fair_resample-group-1,0.656,0.666,0.388,0.339,0.493,0.759,0.485
adv-clean-fair_resample-delta,-0.073,0.001,0.189,0.099,0.025,-0.088,0.088
adv-all-all,0.573,0.642,0.485,0.467,0.541,0.603,0.000
adv-all-group-0,0.582,0.692,0.577,0.356,0.446,0.768,0.515
adv-all-group-1,0.563,0.676,0.388,0.585,0.690,0.482,0.485
adv-all-delta,0.020,0.015,0.189,-0.229,-0.244,0.286,0.286
adv-all-fair_resample-all,0.631,0.676,0.485,0.446,0.579,0.680,0.000
adv-all-fair_resample-group-0,0.619,0.655,0.577,0.454,0.562,0.695,0.515
adv-all-fair_resample-group-1,0.645,0.702,0.388,0.437,0.606,0.670,0.485
adv-all-fair_resample-delta,-0.026,-0.046,0.189,0.016,-0.043,0.025,0.043
adv-konstantinov-all,0.573,0.642,0.485,0.467,0.541,0.603,0.400
adv-konstantinov-group-0,0.582,0.692,0.577,0.356,0.446,0.768,0.515
adv-konstantinov-group-1,0.563,0.676,0.388,0.585,0.690,0.482,0.485
adv-konstantinov-delta,0.020,0.015,0.189,-0.229,-0.244,0.286,0.286
adv-konstantinov-fair_resample-all,0.615,0.667,0.485,0.435,0.552,0.675,0.000
adv-konstantinov-fair_resample-group-0,0.613,0.659,0.577,0.459,0.562,0.683,0.515
adv-konstantinov-fair_resample-group-1,0.617,0.676,0.388,0.410,0.535,0.670,0.485
adv-konstantinov-fair_resample-delta,-0.004,-0.018,0.189,0.049,0.027,0.013,0.027
adv-selected-all,0.621,0.676,0.485,0.419,0.541,0.696,0.000
adv-selected-group-0,0.613,0.654,0.577,0.521,0.616,0.610,0.515
adv-selected-group-1,0.628,0.661,0.388,0.311,0.423,0.759,0.485
adv-selected-delta,-0.015,-0.008,0.189,0.209,0.194,-0.149,0.194
adv-selected-fair_resample-all,0.639,0.690,0.485,0.448,0.590,0.686,0.000
adv-selected-fair_resample-group-0,0.634,0.670,0.577,0.531,0.643,0.622,0.515
adv-selected-fair_resample-group-1,0.645,0.682,0.388,0.361,0.507,0.732,0.485
adv-selected-fair_resample-delta,-0.011,-0.012,0.189,0.170,0.136,-0.110,0.136
adv-voting-all,0.584,0.624,0.485,0.440,0.525,0.639,0.119
adv-voting-group-0,0.562,0.714,0.577,0.273,0.357,0.841,0.515
adv-voting-group-1,0.607,0.688,0.388,0.617,0.789,0.491,0.485
adv-voting-delta,-0.045,0.026,0.189,-0.344,-0.432,0.350,0.432
adv-voting-fair_resample-all,0.554,0.580,0.485,0.411,0.464,0.639,0.149
adv-voting-fair_resample-group-0,0.541,0.685,0.577,0.201,0.277,0.902,0.515
adv-voting-fair_resample-group-1,0.568,0.640,0.388,0.634,0.761,0.446,0.485
adv-voting-fair_resample-delta,-0.027,0.045,0.189,-0.433,-0.484,0.456,0.484
