method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.716,0.459,0.438,0.613,0.711,0.000
original-group-0,0.607,0.651,0.524,0.581,0.680,0.527,0.507
original-group-1,0.726,0.766,0.392,0.290,0.521,0.858,0.493
original-delta,-0.118,-0.116,0.131,0.291,0.159,-0.331,0.331
original-fair_resample-all,0.642,0.715,0.459,0.435,0.584,0.691,0.000
original-fair_resample-group-0,0.639,0.708,0.524,0.508,0.640,0.637,0.507
original-fair_resample-group-1,0.645,0.709,0.392,0.360,0.507,0.735,0.493
original-fair_resample-delta,-0.006,-0.001,0.131,0.148,0.133,-0.097,0.133
adv-clean-all,0.655,0.709,0.459,0.443,0.607,0.696,0.000
adv-clean-group-0,0.634,0.689,0.524,0.555,0.680,0.582,0.507
adv-clean-group-1,0.677,0.713,0.392,0.328,0.507,0.788,0.493
adv-clean-delta,-0.044,-0.024,0.131,0.227,0.173,-0.205,0.205
adv-clean-fair_resample-all,0.618,0.670,0.459,0.427,0.549,0.676,0.000
adv-clean-fair_resample-group-0,0.586,0.626,0.524,0.539,0.620,0.549,0.507
adv-clean-fair_resample-group-1,0.651,0.695,0.392,0.312,0.452,0.779,0.493
adv-clean-fair_resample-delta,-0.064,-0.069,0.131,0.227,0.168,-0.229,0.229
adv-all-all,0.597,0.593,0.459,0.432,0.532,0.652,0.000
adv-all-group-0,0.571,0.629,0.524,0.199,0.280,0.890,0.507
adv-all-group-1,0.624,0.689,0.392,0.672,0.877,0.460,0.493
adv-all-delta,-0.053,-0.060,0.131,-0.473,-0.597,0.430,0.597
adv-all-fair_resample-all,0.584,0.609,0.459,0.414,0.497,0.657,0.000
adv-all-fair_resample-group-0,0.539,0.585,0.524,0.325,0.370,0.725,0.507
adv-all-fair_resample-group-1,0.629,0.671,0.392,0.505,0.671,0.602,0.493
adv-all-fair_resample-delta,-0.090,-0.086,0.131,-0.181,-0.301,0.124,0.301
adv-konstantinov-all,0.597,0.593,0.459,0.432,0.532,0.652,0.400
adv-konstantinov-group-0,0.571,0.629,0.524,0.199,0.280,0.890,0.507
adv-konstantinov-group-1,0.624,0.689,0.392,0.672,0.877,0.460,0.493
adv-konstantinov-delta,-0.053,-0.060,0.131,-0.473,-0.597,0.430,0.597
adv-konstantinov-fair_resample-all,0.610,0.643,0.459,0.488,0.607,0.613,0.000
adv-konstantinov-fair_resample-group-0,0.571,0.625,0.524,0.450,0.520,0.626,0.507
adv-konstantinov-fair_resample-group-1,0.651,0.688,0.392,0.527,0.726,0.602,0.493
adv-konstantinov-fair_resample-delta,-0.080,-0.063,0.131,-0.077,-0.206,0.025,0.206
adv-selected-all,0.655,0.709,0.459,0.443,0.607,0.696,0.000
adv-selected-group-0,0.634,0.689,0.524,0.555,0.680,0.582,0.507
adv-selected-group-1,0.677,0.713,0.392,0.328,0.507,0.788,0.493
adv-selected-delta,-0.044,-0.024,0.131,0.227,0.173,-0.205,0.205
adv-selected-fair_resample-all,0.645,0.706,0.459,0.416,0.566,0.711,0.000
adv-selected-fair_resample-group-0,0.602,0.664,0.524,0.461,0.560,0.648,0.507
adv-selected-fair_resample-group-1,0.688,0.733,0.392,0.371,0.575,0.761,0.493
adv-selected-fair_resample-delta,-0.086,-0.068,0.131,0.090,-0.015,-0.113,0.113
adv-voting-all,0.645,0.659,0.459,0.422,0.572,0.706,0.074
adv-voting-group-0,0.644,0.693,0.524,0.283,0.430,0.879,0.507
adv-voting-group-1,0.645,0.714,0.392,0.565,0.767,0.566,0.493
adv-voting-delta,-0.001,-0.021,0.131,-0.282,-0.337,0.313,0.337
adv-voting-fair_resample-all,0.618,0.627,0.459,0.390,0.509,0.711,0.170
adv-voting-fair_resample-group-0,0.571,0.659,0.524,0.209,0.290,0.879,0.507
adv-voting-fair_resample-group-1,0.667,0.728,0.392,0.575,0.808,0.575,0.493
adv-voting-fair_resample-delta,-0.096,-0.069,0.131,-0.366,-0.518,0.304,0.518
