method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.679,0.728,0.483,0.475,0.659,0.697,0.000
original-group-0,0.651,0.696,0.538,0.586,0.720,0.570,0.493
original-group-1,0.707,0.739,0.429,0.366,0.585,0.798,0.507
original-delta,-0.056,-0.043,0.108,0.220,0.135,-0.228,0.228
original-fair_resample-all,0.679,0.725,0.483,0.438,0.621,0.733,0.000
original-fair_resample-group-0,0.667,0.683,0.538,0.527,0.680,0.651,0.493
original-fair_resample-group-1,0.691,0.754,0.429,0.351,0.549,0.798,0.507
original-fair_resample-delta,-0.024,-0.072,0.108,0.176,0.131,-0.147,0.147
adv-clean-all,0.668,0.728,0.483,0.459,0.632,0.703,0.000
adv-clean-group-0,0.651,0.713,0.538,0.597,0.730,0.558,0.493
adv-clean-group-1,0.686,0.728,0.429,0.325,0.512,0.817,0.507
adv-clean-delta,-0.035,-0.015,0.108,0.272,0.218,-0.258,0.258
adv-clean-fair_resample-all,0.639,0.697,0.483,0.440,0.582,0.692,0.000
adv-clean-fair_resample-group-0,0.618,0.668,0.538,0.489,0.600,0.640,0.493
adv-clean-fair_resample-group-1,0.660,0.716,0.429,0.393,0.561,0.734,0.507
adv-clean-fair_resample-delta,-0.041,-0.048,0.108,0.097,0.039,-0.094,0.094
adv-all-all,0.599,0.629,0.483,0.454,0.555,0.641,0.000
adv-all-group-0,0.554,0.560,0.538,0.672,0.710,0.372,0.493
adv-all-group-1,0.644,0.655,0.429,0.241,0.366,0.853,0.507
adv-all-delta,-0.090,-0.095,0.108,0.431,0.344,-0.481,0.481
adv-all-fair_resample-all,0.560,0.561,0.483,0.451,0.511,0.605,0.000
adv-all-fair_resample-group-0,0.516,0.504,0.538,0.538,0.550,0.477,0.493
adv-all-fair_resample-group-1,0.602,0.597,0.429,0.366,0.463,0.706,0.507
adv-all-fair_resample-delta,-0.086,-0.093,0.108,0.171,0.087,-0.230,0.230
adv-konstantinov-all,0.599,0.629,0.483,0.454,0.555,0.641,0.400
adv-konstantinov-group-0,0.554,0.560,0.538,0.672,0.710,0.372,0.493
adv-konstantinov-group-1,0.644,0.655,0.429,0.241,0.366,0.853,0.507
adv-konstantinov-delta,-0.090,-0.095,0.108,0.431,0.344,-0.481,0.481
adv-konstantinov-fair_resample-all,0.568,0.571,0.483,0.443,0.511,0.621,0.000
adv-konstantinov-fair_resample-group-0,0.543,0.539,0.538,0.478,0.520,0.570,0.493
adv-konstantinov-fair_resample-group-1,0.592,0.593,0.429,0.408,0.500,0.661,0.507
adv-konstantinov-fair_resample-delta,-0.049,-0.053,0.108,0.070,0.020,-0.091,0.091
adv-selected-all,0.679,0.726,0.483,0.448,0.632,0.723,0.000
adv-selected-group-0,0.651,0.674,0.538,0.608,0.740,0.547,0.493
adv-selected-group-1,0.707,0.759,0.429,0.293,0.500,0.862,0.507
adv-selected-delta,-0.056,-0.085,0.108,0.314,0.240,-0.316,0.316
adv-selected-fair_resample-all,0.687,0.731,0.483,0.493,0.687,0.687,0.000
adv-selected-fair_resample-group-0,0.688,0.727,0.538,0.559,0.730,0.640,0.493
adv-selected-fair_resample-group-1,0.686,0.718,0.429,0.429,0.634,0.725,0.507
adv-selected-fair_resample-delta,0.002,0.010,0.108,0.130,0.096,-0.085,0.096
adv-voting-all,0.599,0.658,0.483,0.469,0.571,0.626,0.313
adv-voting-group-0,0.538,0.582,0.538,0.581,0.610,0.453,0.493
adv-voting-group-1,0.660,0.715,0.429,0.361,0.524,0.761,0.507
adv-voting-delta,-0.122,-0.133,0.108,0.219,0.086,-0.308,0.308
adv-voting-fair_resample-all,0.623,0.660,0.483,0.488,0.615,0.631,0.265
adv-voting-fair_resample-group-0,0.629,0.650,0.538,0.554,0.670,0.581,0.493
adv-voting-fair_resample-group-1,0.618,0.664,0.429,0.424,0.549,0.670,0.507
adv-voting-fair_resample-delta,0.011,-0.015,0.108,0.130,0.121,-0.088,0.121
