method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.711,0.446,0.403,0.577,0.737,0.000
original-group-0,0.652,0.711,0.484,0.495,0.652,0.653,0.488
original-group-1,0.679,0.710,0.409,0.316,0.494,0.807,0.512
original-delta,-0.027,0.001,0.074,0.179,0.158,-0.154,0.158
original-fair_resample-all,0.650,0.714,0.446,0.451,0.613,0.679,0.000
original-fair_resample-group-0,0.625,0.690,0.484,0.511,0.640,0.611,0.488
original-fair_resample-group-1,0.674,0.734,0.409,0.394,0.582,0.737,0.512
original-fair_resample-delta,-0.049,-0.045,0.074,0.117,0.058,-0.126,0.126
adv-clean-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-clean-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-clean-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-clean-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-clean-fair_resample-all,0.642,0.691,0.446,0.443,0.595,0.679,0.000
adv-clean-fair_resample-group-0,0.630,0.688,0.484,0.495,0.629,0.632,0.488
adv-clean-fair_resample-group-1,0.653,0.687,0.409,0.394,0.557,0.719,0.512
adv-clean-fair_resample-delta,-0.022,0.000,0.074,0.101,0.072,-0.088,0.088
adv-all-all,0.655,0.709,0.446,0.419,0.583,0.713,0.000
adv-all-group-0,0.641,0.701,0.484,0.484,0.629,0.653,0.488
adv-all-group-1,0.668,0.714,0.409,0.358,0.532,0.763,0.512
adv-all-delta,-0.027,-0.013,0.074,0.126,0.098,-0.111,0.111
adv-all-fair_resample-all,0.615,0.667,0.446,0.422,0.542,0.675,0.000
adv-all-fair_resample-group-0,0.603,0.654,0.484,0.446,0.551,0.653,0.488
adv-all-fair_resample-group-1,0.627,0.677,0.409,0.399,0.532,0.693,0.512
adv-all-fair_resample-delta,-0.024,-0.024,0.074,0.047,0.019,-0.040,0.040
adv-konstantinov-all,0.655,0.709,0.446,0.419,0.583,0.713,0.400
adv-konstantinov-group-0,0.641,0.701,0.484,0.484,0.629,0.653,0.488
adv-konstantinov-group-1,0.668,0.714,0.409,0.358,0.532,0.763,0.512
adv-konstantinov-delta,-0.027,-0.013,0.074,0.126,0.098,-0.111,0.111
adv-konstantinov-fair_resample-all,0.642,0.707,0.446,0.401,0.548,0.718,0.000
adv-konstantinov-fair_resample-group-0,0.598,0.665,0.484,0.495,0.596,0.600,0.488
adv-konstantinov-fair_resample-group-1,0.684,0.741,0.409,0.311,0.494,0.816,0.512
adv-konstantinov-fair_resample-delta,-0.086,-0.076,0.074,0.184,0.102,-0.216,0.216
adv-selected-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-selected-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-selected-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-selected-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-selected-fair_resample-all,0.671,0.720,0.446,0.435,0.619,0.713,0.000
adv-selected-fair_resample-group-0,0.641,0.703,0.484,0.484,0.629,0.653,0.488
adv-selected-fair_resample-group-1,0.699,0.735,0.409,0.389,0.608,0.763,0.512
adv-selected-fair_resample-delta,-0.058,-0.031,0.074,0.095,0.022,-0.111,0.111
adv-voting-all,0.674,0.732,0.446,0.411,0.595,0.737,0.340
adv-voting-group-0,0.625,0.690,0.484,0.457,0.584,0.663,0.488
adv-voting-group-1,0.720,0.770,0.409,0.368,0.608,0.798,0.512
adv-voting-delta,-0.095,-0.080,0.074,0.089,-0.023,-0.135,0.135
adv-voting-fair_resample-all,0.674,0.712,0.446,0.390,0.571,0.756,0.387
adv-voting-fair_resample-group-0,0.663,0.690,0.484,0.440,0.607,0.716,0.488
adv-voting-fair_resample-group-1,0.684,0.723,0.409,0.342,0.532,0.789,0.512
adv-voting-fair_resample-delta,-0.021,-0.033,0.074,0.098,0.075,-0.074,0.075
