method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.692,0.485,0.427,0.574,0.711,0.000
original-group-0,0.634,0.682,0.577,0.541,0.652,0.610,0.515
original-group-1,0.656,0.675,0.388,0.306,0.451,0.786,0.485
original-delta,-0.022,0.007,0.189,0.235,0.201,-0.176,0.201
original-fair_resample-all,0.645,0.691,0.485,0.475,0.623,0.665,0.000
original-fair_resample-group-0,0.624,0.660,0.577,0.552,0.652,0.585,0.515
original-fair_resample-group-1,0.667,0.702,0.388,0.393,0.577,0.723,0.485
original-fair_resample-delta,-0.043,-0.042,0.189,0.158,0.074,-0.138,0.138
adv-clean-all,0.621,0.674,0.485,0.424,0.546,0.691,0.000
adv-clean-group-0,0.619,0.671,0.577,0.526,0.625,0.610,0.515
adv-clean-group-1,0.623,0.642,0.388,0.317,0.423,0.750,0.485
adv-clean-delta,-0.004,0.029,0.189,0.209,0.202,-0.140,0.202
adv-clean-fair_resample-all,0.618,0.675,0.485,0.390,0.508,0.722,0.000
adv-clean-fair_resample-group-0,0.582,0.667,0.577,0.438,0.518,0.671,0.515
adv-clean-fair_resample-group-1,0.656,0.666,0.388,0.339,0.493,0.759,0.485
adv-clean-fair_resample-delta,-0.073,0.001,0.189,0.099,0.025,-0.088,0.088
adv-all-all,0.544,0.559,0.485,0.501,0.546,0.541,0.000
adv-all-group-0,0.536,0.548,0.577,0.515,0.545,0.524,0.515
adv-all-group-1,0.552,0.567,0.388,0.486,0.549,0.554,0.485
adv-all-delta,-0.016,-0.019,0.189,0.029,-0.005,-0.029,0.029
adv-all-fair_resample-all,0.544,0.521,0.485,0.517,0.563,0.526,0.000
adv-all-fair_resample-group-0,0.557,0.510,0.577,0.557,0.598,0.500,0.515
adv-all-fair_resample-group-1,0.530,0.509,0.388,0.475,0.507,0.545,0.485
adv-all-fair_resample-delta,0.027,0.001,0.189,0.081,0.091,-0.045,0.091
adv-konstantinov-all,0.544,0.559,0.485,0.501,0.546,0.541,0.400
adv-konstantinov-group-0,0.536,0.548,0.577,0.515,0.545,0.524,0.515
adv-konstantinov-group-1,0.552,0.567,0.388,0.486,0.549,0.554,0.485
adv-konstantinov-delta,-0.016,-0.019,0.189,0.029,-0.005,-0.029,0.029
adv-konstantinov-fair_resample-all,0.533,0.568,0.485,0.507,0.541,0.526,0.000
adv-konstantinov-fair_resample-group-0,0.521,0.568,0.577,0.500,0.518,0.524,0.515
adv-konstantinov-fair_resample-group-1,0.546,0.576,0.388,0.514,0.577,0.527,0.485
adv-konstantinov-fair_resample-delta,-0.026,-0.007,0.189,-0.014,-0.060,-0.002,0.060
adv-selected-all,0.621,0.676,0.485,0.419,0.541,0.696,0.000
adv-selected-group-0,0.613,0.654,0.577,0.521,0.616,0.610,0.515
adv-selected-group-1,0.628,0.661,0.388,0.311,0.423,0.759,0.485
adv-selected-delta,-0.015,-0.008,0.189,0.209,0.194,-0.149,0.194
adv-selected-fair_resample-all,0.647,0.687,0.485,0.451,0.601,0.691,0.000
adv-selected-fair_resample-group-0,0.644,0.687,0.577,0.490,0.616,0.683,0.515
adv-selected-fair_resample-group-1,0.650,0.670,0.388,0.410,0.577,0.696,0.485
adv-selected-fair_resample-delta,-0.006,0.017,0.189,0.080,0.039,-0.014,0.039
adv-voting-all,0.562,0.604,0.485,0.456,0.519,0.603,0.220
adv-voting-group-0,0.567,0.599,0.577,0.515,0.571,0.561,0.515
adv-voting-group-1,0.557,0.584,0.388,0.393,0.437,0.634,0.485
adv-voting-delta,0.010,0.015,0.189,0.122,0.135,-0.073,0.135
adv-voting-fair_resample-all,0.592,0.656,0.485,0.432,0.525,0.655,0.268
adv-voting-fair_resample-group-0,0.577,0.674,0.577,0.474,0.545,0.622,0.515
adv-voting-fair_resample-group-1,0.607,0.629,0.388,0.388,0.493,0.679,0.485
adv-voting-fair_resample-delta,-0.029,0.045,0.189,0.086,0.052,-0.057,0.057
