method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.716,0.459,0.438,0.613,0.711,0.000
original-group-0,0.607,0.651,0.524,0.581,0.680,0.527,0.507
original-group-1,0.726,0.766,0.392,0.290,0.521,0.858,0.493
original-delta,-0.118,-0.116,0.131,0.291,0.159,-0.331,0.331
original-fair_resample-all,0.642,0.715,0.459,0.435,0.584,0.691,0.000
original-fair_resample-group-0,0.639,0.708,0.524,0.508,0.640,0.637,0.507
original-fair_resample-group-1,0.645,0.709,0.392,0.360,0.507,0.735,0.493
original-fair_resample-delta,-0.006,-0.001,0.131,0.148,0.133,-0.097,0.133
adv-clean-all,0.655,0.709,0.459,0.443,0.607,0.696,0.000
adv-clean-group-0,0.634,0.689,0.524,0.555,0.680,0.582,0.507
adv-clean-group-1,0.677,0.713,0.392,0.328,0.507,0.788,0.493
adv-clean-delta,-0.044,-0.024,0.131,0.227,0.173,-0.205,0.205
adv-clean-fair_resample-all,0.618,0.670,0.459,0.427,0.549,0.676,0.000
adv-clean-fair_resample-group-0,0.586,0.626,0.524,0.539,0.620,0.549,0.507
adv-clean-fair_resample-group-1,0.651,0.695,0.392,0.312,0.452,0.779,0.493
adv-clean-fair_resample-delta,-0.064,-0.069,0.131,0.227,0.168,-0.229,0.229
adv-all-all,0.666,0.716,0.459,0.438,0.613,0.711,0.000
adv-all-group-0,0.607,0.651,0.524,0.581,0.680,0.527,0.507
adv-all-group-1,0.726,0.766,0.392,0.290,0.521,0.858,0.493
adv-all-delta,-0.118,-0.116,0.131,0.291,0.159,-0.331,0.331
adv-all-fair_resample-all,0.660,0.717,0.459,0.448,0.618,0.696,0.000
adv-all-fair_resample-group-0,0.644,0.694,0.524,0.524,0.660,0.626,0.507
adv-all-fair_resample-group-1,0.677,0.728,0.392,0.371,0.562,0.752,0.493
adv-all-fair_resample-delta,-0.033,-0.034,0.131,0.153,0.098,-0.126,0.126
adv-konstantinov-all,0.666,0.716,0.459,0.438,0.613,0.711,0.400
adv-konstantinov-group-0,0.607,0.651,0.524,0.581,0.680,0.527,0.507
adv-konstantinov-group-1,0.726,0.766,0.392,0.290,0.521,0.858,0.493
adv-konstantinov-delta,-0.118,-0.116,0.131,0.291,0.159,-0.331,0.331
adv-konstantinov-fair_resample-all,0.682,0.732,0.459,0.411,0.601,0.750,0.000
adv-konstantinov-fair_resample-group-0,0.665,0.701,0.524,0.482,0.640,0.692,0.507
adv-konstantinov-fair_resample-group-1,0.699,0.764,0.392,0.339,0.548,0.796,0.493
adv-konstantinov-fair_resample-delta,-0.034,-0.063,0.131,0.143,0.092,-0.104,0.104
adv-selected-all,0.671,0.738,0.459,0.491,0.676,0.667,0.667
adv-selected-group-0,0.654,0.719,0.524,0.639,0.780,0.516,0.507
adv-selected-group-1,0.688,0.748,0.392,0.339,0.534,0.788,0.493
adv-selected-delta,-0.034,-0.029,0.131,0.300,0.246,-0.271,0.271
adv-selected-fair_resample-all,0.658,0.718,0.459,0.451,0.618,0.691,0.000
adv-selected-fair_resample-group-0,0.628,0.682,0.524,0.518,0.640,0.615,0.507
adv-selected-fair_resample-group-1,0.688,0.742,0.392,0.382,0.589,0.752,0.493
adv-selected-fair_resample-delta,-0.060,-0.060,0.131,0.137,0.051,-0.137,0.137
adv-voting-all,0.700,0.756,0.459,0.451,0.665,0.730,0.355
adv-voting-group-0,0.665,0.736,0.524,0.597,0.750,0.571,0.507
adv-voting-group-1,0.737,0.756,0.392,0.301,0.548,0.858,0.493
adv-voting-delta,-0.072,-0.020,0.131,0.296,0.202,-0.287,0.287
adv-voting-fair_resample-all,0.695,0.746,0.459,0.414,0.618,0.760,0.438
adv-voting-fair_resample-group-0,0.628,0.690,0.524,0.476,0.600,0.659,0.507
adv-voting-fair_resample-group-1,0.763,0.781,0.392,0.349,0.644,0.841,0.493
adv-voting-fair_resample-delta,-0.135,-0.091,0.131,0.127,-0.044,-0.181,0.181
