method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.674,0.747,0.454,0.414,0.596,0.738,0.000
original-group-0,0.644,0.744,0.523,0.603,0.736,0.542,0.462
original-group-1,0.700,0.743,0.394,0.251,0.438,0.870,0.538
original-delta,-0.056,0.002,0.129,0.352,0.299,-0.328,0.328
original-fair_resample-all,0.682,0.728,0.454,0.406,0.596,0.752,0.000
original-fair_resample-group-0,0.672,0.725,0.523,0.483,0.648,0.699,0.462
original-fair_resample-group-1,0.690,0.718,0.394,0.340,0.537,0.789,0.538
original-fair_resample-delta,-0.017,0.007,0.129,0.143,0.111,-0.090,0.111
adv-clean-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-clean-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-clean-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-clean-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-clean-fair_resample-all,0.639,0.699,0.454,0.432,0.579,0.689,0.000
adv-clean-fair_resample-group-0,0.644,0.721,0.523,0.489,0.626,0.663,0.462
adv-clean-fair_resample-group-1,0.635,0.672,0.394,0.384,0.525,0.707,0.538
adv-clean-fair_resample-delta,0.008,0.049,0.129,0.104,0.101,-0.045,0.101
adv-all-all,0.687,0.744,0.454,0.401,0.596,0.762,0.000
adv-all-group-0,0.701,0.749,0.523,0.500,0.692,0.711,0.462
adv-all-group-1,0.675,0.731,0.394,0.315,0.487,0.797,0.538
adv-all-delta,0.026,0.018,0.129,0.185,0.205,-0.086,0.205
adv-all-fair_resample-all,0.660,0.683,0.454,0.427,0.596,0.714,0.000
adv-all-fair_resample-group-0,0.649,0.689,0.523,0.529,0.670,0.627,0.462
adv-all-fair_resample-group-1,0.670,0.661,0.394,0.340,0.512,0.772,0.538
adv-all-fair_resample-delta,-0.021,0.028,0.129,0.189,0.158,-0.146,0.158
adv-konstantinov-all,0.687,0.744,0.454,0.401,0.596,0.762,0.400
adv-konstantinov-group-0,0.701,0.749,0.523,0.500,0.692,0.711,0.462
adv-konstantinov-group-1,0.675,0.731,0.394,0.315,0.487,0.797,0.538
adv-konstantinov-delta,0.026,0.018,0.129,0.185,0.205,-0.086,0.205
adv-konstantinov-fair_resample-all,0.708,0.738,0.454,0.416,0.637,0.767,0.000
adv-konstantinov-fair_resample-group-0,0.713,0.728,0.523,0.500,0.703,0.723,0.462
adv-konstantinov-fair_resample-group-1,0.704,0.736,0.394,0.345,0.562,0.797,0.538
adv-konstantinov-fair_resample-delta,0.008,-0.008,0.129,0.155,0.141,-0.074,0.141
adv-selected-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-selected-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-selected-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-selected-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-selected-fair_resample-all,0.671,0.717,0.454,0.443,0.626,0.709,0.000
adv-selected-fair_resample-group-0,0.649,0.701,0.523,0.540,0.681,0.614,0.462
adv-selected-fair_resample-group-1,0.690,0.717,0.394,0.360,0.562,0.772,0.538
adv-selected-fair_resample-delta,-0.040,-0.016,0.129,0.181,0.119,-0.158,0.158
adv-voting-all,0.610,0.647,0.454,0.424,0.538,0.670,0.090
adv-voting-group-0,0.603,0.693,0.523,0.264,0.374,0.855,0.462
adv-voting-group-1,0.616,0.696,0.394,0.562,0.725,0.545,0.538
adv-voting-delta,-0.012,-0.003,0.129,-0.297,-0.351,0.311,0.351
adv-voting-fair_resample-all,0.557,0.600,0.454,0.414,0.468,0.631,0.218
adv-voting-fair_resample-group-0,0.552,0.675,0.523,0.178,0.242,0.892,0.462
adv-voting-fair_resample-group-1,0.562,0.655,0.394,0.616,0.725,0.455,0.538
adv-voting-fair_resample-delta,-0.010,0.020,0.129,-0.438,-0.483,0.436,0.483
