method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.666,0.711,0.446,0.403,0.577,0.737,0.000
original-group-0,0.652,0.711,0.484,0.495,0.652,0.653,0.488
original-group-1,0.679,0.710,0.409,0.316,0.494,0.807,0.512
original-delta,-0.027,0.001,0.074,0.179,0.158,-0.154,0.158
original-fair_resample-all,0.650,0.714,0.446,0.451,0.613,0.679,0.000
original-fair_resample-group-0,0.625,0.690,0.484,0.511,0.640,0.611,0.488
original-fair_resample-group-1,0.674,0.734,0.409,0.394,0.582,0.737,0.512
original-fair_resample-delta,-0.049,-0.045,0.074,0.117,0.058,-0.126,0.126
adv-clean-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-clean-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-clean-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-clean-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-clean-fair_resample-all,0.642,0.691,0.446,0.443,0.595,0.679,0.000
adv-clean-fair_resample-group-0,0.630,0.688,0.484,0.495,0.629,0.632,0.488
adv-clean-fair_resample-group-1,0.653,0.687,0.409,0.394,0.557,0.719,0.512
adv-clean-fair_resample-delta,-0.022,0.000,0.074,0.101,0.072,-0.088,0.088
adv-all-all,0.639,0.696,0.446,0.472,0.625,0.651,0.000
adv-all-group-0,0.609,0.685,0.484,0.647,0.764,0.463,0.488
adv-all-group-1,0.668,0.703,0.409,0.306,0.468,0.807,0.512
adv-all-delta,-0.060,-0.018,0.074,0.341,0.296,-0.344,0.344
adv-all-fair_resample-all,0.650,0.703,0.446,0.467,0.631,0.665,0.000
adv-all-fair_resample-group-0,0.614,0.684,0.484,0.522,0.640,0.589,0.488
adv-all-fair_resample-group-1,0.684,0.711,0.409,0.415,0.620,0.728,0.512
adv-all-fair_resample-delta,-0.070,-0.027,0.074,0.107,0.020,-0.139,0.139
adv-konstantinov-all,0.639,0.696,0.446,0.472,0.625,0.651,0.400
adv-konstantinov-group-0,0.609,0.685,0.484,0.647,0.764,0.463,0.488
adv-konstantinov-group-1,0.668,0.703,0.409,0.306,0.468,0.807,0.512
adv-konstantinov-delta,-0.060,-0.018,0.074,0.341,0.296,-0.344,0.344
adv-konstantinov-fair_resample-all,0.639,0.687,0.446,0.424,0.571,0.694,0.000
adv-konstantinov-fair_resample-group-0,0.609,0.666,0.484,0.505,0.618,0.600,0.488
adv-konstantinov-fair_resample-group-1,0.668,0.702,0.409,0.347,0.519,0.772,0.512
adv-konstantinov-fair_resample-delta,-0.060,-0.036,0.074,0.158,0.099,-0.172,0.172
adv-selected-all,0.690,0.723,0.446,0.390,0.589,0.770,0.000
adv-selected-group-0,0.641,0.683,0.484,0.473,0.618,0.663,0.488
adv-selected-group-1,0.736,0.754,0.409,0.311,0.557,0.860,0.512
adv-selected-delta,-0.094,-0.071,0.074,0.162,0.061,-0.196,0.196
adv-selected-fair_resample-all,0.634,0.696,0.446,0.435,0.577,0.679,0.000
adv-selected-fair_resample-group-0,0.609,0.683,0.484,0.495,0.607,0.611,0.488
adv-selected-fair_resample-group-1,0.658,0.695,0.409,0.378,0.544,0.737,0.512
adv-selected-fair_resample-delta,-0.049,-0.012,0.074,0.116,0.062,-0.126,0.126
adv-voting-all,0.623,0.660,0.446,0.440,0.571,0.665,0.297
adv-voting-group-0,0.571,0.652,0.484,0.783,0.865,0.295,0.488
adv-voting-group-1,0.674,0.714,0.409,0.114,0.241,0.974,0.512
adv-voting-delta,-0.103,-0.062,0.074,0.669,0.625,-0.679,0.679
adv-voting-fair_resample-all,0.618,0.656,0.446,0.462,0.589,0.641,0.324
adv-voting-fair_resample-group-0,0.576,0.639,0.484,0.777,0.865,0.305,0.488
adv-voting-fair_resample-group-1,0.658,0.692,0.409,0.161,0.278,0.921,0.512
adv-voting-fair_resample-delta,-0.082,-0.053,0.074,0.617,0.587,-0.616,0.616
