method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.719,0.776,0.424,0.403,0.644,0.774,0.000
original-group-0,0.736,0.781,0.523,0.546,0.769,0.699,0.462
original-group-1,0.704,0.748,0.340,0.281,0.478,0.821,0.538
original-delta,0.031,0.033,0.183,0.265,0.291,-0.122,0.291
original-fair_resample-all,0.658,0.739,0.424,0.432,0.606,0.696,0.000
original-fair_resample-group-0,0.644,0.743,0.523,0.534,0.670,0.614,0.462
original-fair_resample-group-1,0.670,0.718,0.340,0.345,0.522,0.746,0.538
original-fair_resample-delta,-0.026,0.024,0.183,0.190,0.149,-0.132,0.149
adv-clean-all,0.719,0.775,0.424,0.440,0.688,0.742,0.000
adv-clean-group-0,0.724,0.763,0.523,0.592,0.802,0.639,0.462
adv-clean-group-1,0.714,0.755,0.340,0.310,0.536,0.806,0.538
adv-clean-delta,0.010,0.008,0.183,0.282,0.266,-0.167,0.266
adv-clean-fair_resample-all,0.682,0.743,0.424,0.462,0.669,0.691,0.000
adv-clean-fair_resample-group-0,0.690,0.741,0.523,0.546,0.725,0.651,0.462
adv-clean-fair_resample-group-1,0.675,0.729,0.340,0.389,0.594,0.716,0.538
adv-clean-fair_resample-delta,0.015,0.012,0.183,0.157,0.131,-0.066,0.131
adv-all-all,0.658,0.700,0.424,0.416,0.588,0.710,0.000
adv-all-group-0,0.632,0.709,0.523,0.362,0.495,0.783,0.462
adv-all-group-1,0.680,0.742,0.340,0.463,0.710,0.664,0.538
adv-all-delta,-0.048,-0.033,0.183,-0.101,-0.216,0.119,0.216
adv-all-fair_resample-all,0.660,0.725,0.424,0.456,0.637,0.677,0.000
adv-all-fair_resample-group-0,0.644,0.722,0.523,0.466,0.604,0.687,0.462
adv-all-fair_resample-group-1,0.675,0.729,0.340,0.448,0.681,0.672,0.538
adv-all-fair_resample-delta,-0.031,-0.007,0.183,0.017,-0.077,0.015,0.077
adv-konstantinov-all,0.658,0.700,0.424,0.416,0.588,0.710,0.400
adv-konstantinov-group-0,0.632,0.709,0.523,0.362,0.495,0.783,0.462
adv-konstantinov-group-1,0.680,0.742,0.340,0.463,0.710,0.664,0.538
adv-konstantinov-delta,-0.048,-0.033,0.183,-0.101,-0.216,0.119,0.216
adv-konstantinov-fair_resample-all,0.660,0.715,0.424,0.483,0.669,0.654,0.000
adv-konstantinov-fair_resample-group-0,0.690,0.746,0.523,0.511,0.692,0.687,0.462
adv-konstantinov-fair_resample-group-1,0.635,0.691,0.340,0.458,0.638,0.634,0.538
adv-konstantinov-fair_resample-delta,0.054,0.056,0.183,0.053,0.055,0.052,0.055
adv-selected-all,0.719,0.775,0.424,0.440,0.688,0.742,0.000
adv-selected-group-0,0.724,0.763,0.523,0.592,0.802,0.639,0.462
adv-selected-group-1,0.714,0.755,0.340,0.310,0.536,0.806,0.538
adv-selected-delta,0.010,0.008,0.183,0.282,0.266,-0.167,0.266
adv-selected-fair_resample-all,0.671,0.729,0.424,0.451,0.644,0.691,0.000
adv-selected-fair_resample-group-0,0.690,0.765,0.523,0.546,0.725,0.651,0.462
adv-selected-fair_resample-group-1,0.655,0.678,0.340,0.369,0.536,0.716,0.538
adv-selected-fair_resample-delta,0.034,0.087,0.183,0.177,0.189,-0.066,0.189
adv-voting-all,0.642,0.681,0.424,0.459,0.619,0.659,0.135
adv-voting-group-0,0.672,0.754,0.523,0.333,0.505,0.855,0.462
adv-voting-group-1,0.616,0.722,0.340,0.567,0.768,0.537,0.538
adv-voting-delta,0.057,0.031,0.183,-0.233,-0.263,0.318,0.318
adv-voting-fair_resample-all,0.573,0.632,0.424,0.469,0.550,0.590,0.188
adv-voting-fair_resample-group-0,0.609,0.752,0.523,0.224,0.341,0.904,0.462
adv-voting-fair_resample-group-1,0.542,0.710,0.340,0.680,0.826,0.396,0.538
adv-voting-fair_resample-delta,0.067,0.043,0.183,-0.456,-0.485,0.508,0.508
