method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.692,0.485,0.427,0.574,0.711,0.000
original-group-0,0.634,0.682,0.577,0.541,0.652,0.610,0.515
original-group-1,0.656,0.675,0.388,0.306,0.451,0.786,0.485
original-delta,-0.022,0.007,0.189,0.235,0.201,-0.176,0.201
original-fair_resample-all,0.645,0.691,0.485,0.475,0.623,0.665,0.000
original-fair_resample-group-0,0.624,0.660,0.577,0.552,0.652,0.585,0.515
original-fair_resample-group-1,0.667,0.702,0.388,0.393,0.577,0.723,0.485
original-fair_resample-delta,-0.043,-0.042,0.189,0.158,0.074,-0.138,0.138
adv-clean-all,0.621,0.674,0.485,0.424,0.546,0.691,0.000
adv-clean-group-0,0.619,0.671,0.577,0.526,0.625,0.610,0.515
adv-clean-group-1,0.623,0.642,0.388,0.317,0.423,0.750,0.485
adv-clean-delta,-0.004,0.029,0.189,0.209,0.202,-0.140,0.202
adv-clean-fair_resample-all,0.618,0.675,0.485,0.390,0.508,0.722,0.000
adv-clean-fair_resample-group-0,0.582,0.667,0.577,0.438,0.518,0.671,0.515
adv-clean-fair_resample-group-1,0.656,0.666,0.388,0.339,0.493,0.759,0.485
adv-clean-fair_resample-delta,-0.073,0.001,0.189,0.099,0.025,-0.088,0.088
adv-all-all,0.615,0.691,0.485,0.446,0.563,0.665,0.000
adv-all-group-0,0.624,0.701,0.577,0.510,0.616,0.634,0.515
adv-all-group-1,0.607,0.656,0.388,0.377,0.479,0.688,0.485
adv-all-delta,0.017,0.046,0.189,0.133,0.137,-0.053,0.137
adv-all-fair_resample-all,0.658,0.693,0.485,0.435,0.596,0.716,0.000
adv-all-fair_resample-group-0,0.644,0.669,0.577,0.490,0.616,0.683,0.515
adv-all-fair_resample-group-1,0.672,0.706,0.388,0.377,0.563,0.741,0.485
adv-all-fair_resample-delta,-0.028,-0.037,0.189,0.113,0.053,-0.058,0.058
adv-konstantinov-all,0.615,0.691,0.485,0.446,0.563,0.665,0.400
adv-konstantinov-group-0,0.624,0.701,0.577,0.510,0.616,0.634,0.515
adv-konstantinov-group-1,0.607,0.656,0.388,0.377,0.479,0.688,0.485
adv-konstantinov-delta,0.017,0.046,0.189,0.133,0.137,-0.053,0.137
adv-konstantinov-fair_resample-all,0.645,0.686,0.485,0.427,0.574,0.711,0.000
adv-konstantinov-fair_resample-group-0,0.644,0.664,0.577,0.510,0.634,0.659,0.515
adv-konstantinov-fair_resample-group-1,0.645,0.686,0.388,0.339,0.479,0.750,0.485
adv-konstantinov-fair_resample-delta,-0.000,-0.021,0.189,0.172,0.155,-0.091,0.155
adv-selected-all,0.621,0.676,0.485,0.419,0.541,0.696,0.000
adv-selected-group-0,0.613,0.654,0.577,0.521,0.616,0.610,0.515
adv-selected-group-1,0.628,0.661,0.388,0.311,0.423,0.759,0.485
adv-selected-delta,-0.015,-0.008,0.189,0.209,0.194,-0.149,0.194
adv-selected-fair_resample-all,0.594,0.660,0.485,0.462,0.557,0.629,0.000
adv-selected-fair_resample-group-0,0.588,0.640,0.577,0.526,0.598,0.573,0.515
adv-selected-fair_resample-group-1,0.601,0.655,0.388,0.393,0.493,0.670,0.485
adv-selected-fair_resample-delta,-0.013,-0.015,0.189,0.132,0.105,-0.096,0.105
adv-voting-all,0.674,0.731,0.485,0.446,0.623,0.722,0.467
adv-voting-group-0,0.660,0.705,0.577,0.546,0.679,0.634,0.515
adv-voting-group-1,0.689,0.723,0.388,0.339,0.535,0.786,0.485
adv-voting-delta,-0.029,-0.019,0.189,0.208,0.143,-0.152,0.152
adv-voting-fair_resample-all,0.671,0.747,0.485,0.485,0.661,0.680,0.379
adv-voting-fair_resample-group-0,0.649,0.705,0.577,0.567,0.688,0.598,0.515
adv-voting-fair_resample-group-1,0.694,0.777,0.388,0.399,0.620,0.741,0.485
adv-voting-fair_resample-delta,-0.045,-0.071,0.189,0.168,0.068,-0.144,0.144
