method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.780,0.760,0.745,0.765,0.866,0.529,0.000
original-group-0,0.803,0.759,0.776,0.796,0.886,0.515,0.735
original-group-1,0.717,0.746,0.660,0.679,0.800,0.556,0.265
original-delta,0.086,0.013,0.115,0.117,0.086,-0.040,0.086
original-fair_resample-all,0.730,0.718,0.745,0.765,0.832,0.431,0.000
original-fair_resample-group-0,0.735,0.707,0.776,0.769,0.825,0.424,0.735
original-fair_resample-group-1,0.717,0.741,0.660,0.755,0.857,0.444,0.265
original-fair_resample-delta,0.018,-0.035,0.115,0.014,-0.033,-0.020,0.033
adv-clean-all,0.755,0.755,0.745,0.780,0.859,0.451,0.000
adv-clean-group-0,0.776,0.770,0.776,0.810,0.877,0.424,0.735
adv-clean-group-1,0.698,0.716,0.660,0.698,0.800,0.500,0.265
adv-clean-delta,0.077,0.054,0.115,0.111,0.077,-0.076,0.077
adv-clean-fair_resample-all,0.785,0.767,0.745,0.730,0.846,0.608,0.000
adv-clean-fair_resample-group-0,0.776,0.753,0.776,0.755,0.842,0.545,0.735
adv-clean-fair_resample-group-1,0.811,0.802,0.660,0.660,0.857,0.722,0.265
adv-clean-fair_resample-delta,-0.036,-0.049,0.115,0.095,-0.015,-0.177,0.177
adv-all-all,0.580,0.591,0.745,0.585,0.611,0.490,0.000
adv-all-group-0,0.605,0.593,0.776,0.653,0.667,0.394,0.735
adv-all-group-1,0.509,0.533,0.660,0.396,0.429,0.667,0.265
adv-all-delta,0.096,0.060,0.115,0.257,0.238,-0.273,0.273
adv-all-fair_resample-all,0.560,0.564,0.745,0.565,0.584,0.490,0.000
adv-all-fair_resample-group-0,0.565,0.570,0.776,0.585,0.596,0.455,0.735
adv-all-fair_resample-group-1,0.547,0.538,0.660,0.509,0.543,0.556,0.265
adv-all-fair_resample-delta,0.017,0.032,0.115,0.076,0.054,-0.101,0.101
adv-konstantinov-all,0.580,0.591,0.745,0.585,0.611,0.490,0.400
adv-konstantinov-group-0,0.605,0.593,0.776,0.653,0.667,0.394,0.735
adv-konstantinov-group-1,0.509,0.533,0.660,0.396,0.429,0.667,0.265
adv-konstantinov-delta,0.096,0.060,0.115,0.257,0.238,-0.273,0.273
adv-konstantinov-fair_resample-all,0.590,0.563,0.745,0.625,0.644,0.431,0.000
adv-konstantinov-fair_resample-group-0,0.585,0.555,0.776,0.605,0.623,0.455,0.735
adv-konstantinov-fair_resample-group-1,0.604,0.584,0.660,0.679,0.714,0.389,0.265
adv-konstantinov-fair_resample-delta,-0.019,-0.029,0.115,-0.074,-0.091,0.066,0.091
adv-selected-all,0.755,0.755,0.745,0.780,0.859,0.451,0.000
adv-selected-group-0,0.776,0.770,0.776,0.810,0.877,0.424,0.735
adv-selected-group-1,0.698,0.716,0.660,0.698,0.800,0.500,0.265
adv-selected-delta,0.077,0.054,0.115,0.111,0.077,-0.076,0.077
adv-selected-fair_resample-all,0.760,0.778,0.745,0.735,0.832,0.549,0.000
adv-selected-fair_resample-group-0,0.762,0.788,0.776,0.728,0.816,0.576,0.735
adv-selected-fair_resample-group-1,0.755,0.775,0.660,0.755,0.886,0.500,0.265
adv-selected-fair_resample-delta,0.007,0.014,0.115,-0.027,-0.070,0.076,0.076
adv-voting-all,0.695,0.661,0.745,0.740,0.792,0.412,0.255
adv-voting-group-0,0.707,0.662,0.776,0.769,0.807,0.364,0.735
adv-voting-group-1,0.660,0.643,0.660,0.660,0.743,0.500,0.265
adv-voting-delta,0.047,0.019,0.115,0.108,0.064,-0.136,0.136
adv-voting-fair_resample-all,0.705,0.683,0.745,0.770,0.819,0.373,0.210
adv-voting-fair_resample-group-0,0.721,0.654,0.776,0.755,0.807,0.424,0.735
adv-voting-fair_resample-group-1,0.660,0.725,0.660,0.811,0.857,0.278,0.265
adv-voting-fair_resample-delta,0.061,-0.071,0.115,-0.056,-0.050,0.146,0.146
