method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.720,0.722,0.705,0.785,0.858,0.390,0.000
original-group-0,0.757,0.782,0.713,0.838,0.918,0.359,0.680
original-group-1,0.641,0.616,0.688,0.672,0.727,0.450,0.320
original-delta,0.117,0.166,0.026,0.166,0.190,-0.091,0.190
original-fair_resample-all,0.730,0.742,0.705,0.695,0.801,0.559,0.000
original-fair_resample-group-0,0.743,0.774,0.713,0.721,0.825,0.538,0.680
original-fair_resample-group-1,0.703,0.681,0.688,0.641,0.750,0.600,0.320
original-fair_resample-delta,0.040,0.094,0.026,0.080,0.075,-0.062,0.075
adv-clean-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-clean-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-clean-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-clean-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-clean-fair_resample-all,0.685,0.686,0.705,0.710,0.780,0.458,0.000
adv-clean-fair_resample-group-0,0.684,0.708,0.713,0.706,0.773,0.462,0.680
adv-clean-fair_resample-group-1,0.688,0.651,0.688,0.719,0.795,0.450,0.320
adv-clean-fair_resample-delta,-0.004,0.056,0.026,-0.013,-0.022,0.012,0.022
adv-all-all,0.720,0.702,0.705,0.765,0.844,0.424,0.000
adv-all-group-0,0.735,0.711,0.713,0.772,0.856,0.436,0.680
adv-all-group-1,0.688,0.673,0.688,0.750,0.818,0.400,0.320
adv-all-delta,0.048,0.039,0.026,0.022,0.037,0.036,0.037
adv-all-fair_resample-all,0.750,0.740,0.705,0.725,0.837,0.542,0.000
adv-all-fair_resample-group-0,0.750,0.763,0.713,0.728,0.835,0.538,0.680
adv-all-fair_resample-group-1,0.750,0.684,0.688,0.719,0.841,0.550,0.320
adv-all-fair_resample-delta,0.000,0.079,0.026,0.009,-0.006,-0.012,0.012
adv-konstantinov-all,0.720,0.702,0.705,0.765,0.844,0.424,0.400
adv-konstantinov-group-0,0.735,0.711,0.713,0.772,0.856,0.436,0.680
adv-konstantinov-group-1,0.688,0.673,0.688,0.750,0.818,0.400,0.320
adv-konstantinov-delta,0.048,0.039,0.026,0.022,0.037,0.036,0.037
adv-konstantinov-fair_resample-all,0.725,0.725,0.705,0.680,0.787,0.576,0.000
adv-konstantinov-fair_resample-group-0,0.728,0.741,0.713,0.676,0.784,0.590,0.680
adv-konstantinov-fair_resample-group-1,0.719,0.684,0.688,0.688,0.795,0.550,0.320
adv-konstantinov-fair_resample-delta,0.009,0.057,0.026,-0.011,-0.012,0.040,0.040
adv-selected-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-selected-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-selected-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-selected-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-selected-fair_resample-all,0.685,0.695,0.705,0.720,0.787,0.441,0.000
adv-selected-fair_resample-group-0,0.669,0.697,0.713,0.691,0.753,0.462,0.680
adv-selected-fair_resample-group-1,0.719,0.680,0.688,0.781,0.864,0.400,0.320
adv-selected-fair_resample-delta,-0.050,0.018,0.026,-0.090,-0.111,0.062,0.111
adv-voting-all,0.720,0.727,0.705,0.775,0.851,0.407,0.465
adv-voting-group-0,0.699,0.736,0.713,0.779,0.835,0.359,0.680
adv-voting-group-1,0.766,0.700,0.688,0.766,0.886,0.500,0.320
adv-voting-delta,-0.067,0.036,0.026,0.014,-0.051,-0.141,0.141
adv-voting-fair_resample-all,0.745,0.754,0.705,0.800,0.887,0.407,0.325
adv-voting-fair_resample-group-0,0.750,0.802,0.713,0.801,0.887,0.410,0.680
adv-voting-fair_resample-group-1,0.734,0.658,0.688,0.797,0.886,0.400,0.320
adv-voting-fair_resample-delta,0.016,0.144,0.026,0.005,0.000,0.010,0.010
