method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.745,0.736,0.695,0.770,0.871,0.459,0.000
original-group-0,0.792,0.778,0.738,0.808,0.906,0.471,0.650
original-group-1,0.657,0.660,0.614,0.700,0.791,0.444,0.350
original-delta,0.135,0.118,0.124,0.108,0.116,0.026,0.116
original-fair_resample-all,0.680,0.662,0.695,0.765,0.820,0.361,0.000
original-fair_resample-group-0,0.723,0.684,0.738,0.754,0.823,0.441,0.650
original-fair_resample-group-1,0.600,0.637,0.614,0.786,0.814,0.259,0.350
original-fair_resample-delta,0.123,0.047,0.124,-0.032,0.009,0.182,0.182
adv-clean-all,0.715,0.687,0.695,0.740,0.827,0.459,0.000
adv-clean-group-0,0.769,0.758,0.738,0.800,0.885,0.441,0.650
adv-clean-group-1,0.614,0.576,0.614,0.629,0.698,0.481,0.350
adv-clean-delta,0.155,0.181,0.124,0.171,0.188,-0.040,0.188
adv-clean-fair_resample-all,0.700,0.685,0.695,0.715,0.799,0.475,0.000
adv-clean-fair_resample-group-0,0.738,0.756,0.738,0.723,0.812,0.529,0.650
adv-clean-fair_resample-group-1,0.629,0.586,0.614,0.700,0.767,0.407,0.350
adv-clean-fair_resample-delta,0.110,0.170,0.124,0.023,0.045,0.122,0.122
adv-all-all,0.500,0.474,0.695,0.525,0.518,0.459,0.000
adv-all-group-0,0.554,0.542,0.738,0.508,0.542,0.588,0.650
adv-all-group-1,0.400,0.407,0.614,0.557,0.465,0.296,0.350
adv-all-delta,0.154,0.135,0.124,-0.049,0.077,0.292,0.292
adv-all-fair_resample-all,0.495,0.492,0.695,0.470,0.475,0.541,0.000
adv-all-fair_resample-group-0,0.469,0.494,0.738,0.469,0.458,0.500,0.650
adv-all-fair_resample-group-1,0.543,0.475,0.614,0.471,0.512,0.593,0.350
adv-all-fair_resample-delta,-0.074,0.019,0.124,-0.002,-0.053,-0.093,0.093
adv-konstantinov-all,0.500,0.474,0.695,0.525,0.518,0.459,0.400
adv-konstantinov-group-0,0.554,0.542,0.738,0.508,0.542,0.588,0.650
adv-konstantinov-group-1,0.400,0.407,0.614,0.557,0.465,0.296,0.350
adv-konstantinov-delta,0.154,0.135,0.124,-0.049,0.077,0.292,0.292
adv-konstantinov-fair_resample-all,0.535,0.524,0.695,0.500,0.525,0.557,0.000
adv-konstantinov-fair_resample-group-0,0.592,0.601,0.738,0.531,0.583,0.618,0.650
adv-konstantinov-fair_resample-group-1,0.429,0.400,0.614,0.443,0.395,0.481,0.350
adv-konstantinov-fair_resample-delta,0.164,0.202,0.124,0.088,0.188,0.136,0.188
adv-selected-all,0.715,0.687,0.695,0.740,0.827,0.459,0.000
adv-selected-group-0,0.769,0.758,0.738,0.800,0.885,0.441,0.650
adv-selected-group-1,0.614,0.576,0.614,0.629,0.698,0.481,0.350
adv-selected-delta,0.155,0.181,0.124,0.171,0.188,-0.040,0.188
adv-selected-fair_resample-all,0.725,0.727,0.695,0.720,0.820,0.508,0.000
adv-selected-fair_resample-group-0,0.769,0.763,0.738,0.754,0.854,0.529,0.650
adv-selected-fair_resample-group-1,0.643,0.659,0.614,0.657,0.744,0.481,0.350
adv-selected-fair_resample-delta,0.126,0.104,0.124,0.097,0.110,0.048,0.110
adv-voting-all,0.580,0.592,0.695,0.585,0.619,0.492,0.325
adv-voting-group-0,0.631,0.668,0.738,0.631,0.677,0.500,0.650
adv-voting-group-1,0.486,0.460,0.614,0.500,0.488,0.481,0.350
adv-voting-delta,0.145,0.208,0.124,0.131,0.189,0.019,0.189
adv-voting-fair_resample-all,0.580,0.587,0.695,0.545,0.590,0.557,0.275
adv-voting-fair_resample-group-0,0.631,0.677,0.738,0.554,0.625,0.647,0.650
adv-voting-fair_resample-group-1,0.486,0.462,0.614,0.529,0.512,0.444,0.350
adv-voting-fair_resample-delta,0.145,0.215,0.124,0.025,0.113,0.203,0.203
