method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.700,0.690,0.680,0.730,0.816,0.453,0.000
original-group-0,0.681,0.677,0.681,0.745,0.812,0.400,0.705
original-group-1,0.746,0.726,0.678,0.695,0.825,0.579,0.295
original-delta,-0.065,-0.049,0.003,0.050,-0.012,-0.179,0.179
original-fair_resample-all,0.710,0.692,0.680,0.740,0.831,0.453,0.000
original-fair_resample-group-0,0.702,0.698,0.681,0.752,0.833,0.422,0.705
original-fair_resample-group-1,0.729,0.670,0.678,0.712,0.825,0.526,0.295
original-fair_resample-delta,-0.027,0.028,0.003,0.040,0.008,-0.104,0.104
adv-clean-all,0.700,0.722,0.680,0.750,0.831,0.422,0.000
adv-clean-group-0,0.688,0.708,0.681,0.794,0.854,0.333,0.705
adv-clean-group-1,0.729,0.779,0.678,0.644,0.775,0.632,0.295
adv-clean-delta,-0.041,-0.071,0.003,0.150,0.079,-0.298,0.298
adv-clean-fair_resample-all,0.635,0.650,0.680,0.695,0.743,0.406,0.000
adv-clean-fair_resample-group-0,0.624,0.634,0.681,0.716,0.750,0.356,0.705
adv-clean-fair_resample-group-1,0.661,0.711,0.678,0.644,0.725,0.526,0.295
adv-clean-fair_resample-delta,-0.037,-0.076,0.003,0.072,0.025,-0.171,0.171
adv-all-all,0.700,0.690,0.680,0.730,0.816,0.453,0.000
adv-all-group-0,0.681,0.677,0.681,0.745,0.812,0.400,0.705
adv-all-group-1,0.746,0.726,0.678,0.695,0.825,0.579,0.295
adv-all-delta,-0.065,-0.049,0.003,0.050,-0.012,-0.179,0.179
adv-all-fair_resample-all,0.655,0.662,0.680,0.675,0.743,0.469,0.000
adv-all-fair_resample-group-0,0.674,0.679,0.681,0.681,0.760,0.489,0.705
adv-all-fair_resample-group-1,0.610,0.629,0.678,0.661,0.700,0.421,0.295
adv-all-fair_resample-delta,0.064,0.050,0.003,0.020,0.060,0.068,0.068
adv-konstantinov-all,0.700,0.690,0.680,0.730,0.816,0.453,0.400
adv-konstantinov-group-0,0.681,0.677,0.681,0.745,0.812,0.400,0.705
adv-konstantinov-group-1,0.746,0.726,0.678,0.695,0.825,0.579,0.295
adv-konstantinov-delta,-0.065,-0.049,0.003,0.050,-0.012,-0.179,0.179
adv-konstantinov-fair_resample-all,0.670,0.706,0.680,0.710,0.779,0.438,0.000
adv-konstantinov-fair_resample-group-0,0.660,0.702,0.681,0.723,0.781,0.400,0.705
adv-konstantinov-fair_resample-group-1,0.695,0.711,0.678,0.678,0.775,0.526,0.295
adv-konstantinov-fair_resample-delta,-0.035,-0.009,0.003,0.045,0.006,-0.126,0.126
adv-selected-all,0.665,0.677,0.680,0.695,0.765,0.453,0.333
adv-selected-group-0,0.667,0.687,0.681,0.745,0.802,0.378,0.705
adv-selected-group-1,0.661,0.666,0.678,0.576,0.675,0.632,0.295
adv-selected-delta,0.006,0.021,0.003,0.168,0.127,-0.254,0.254
adv-selected-fair_resample-all,0.650,0.637,0.680,0.740,0.787,0.359,0.000
adv-selected-fair_resample-group-0,0.645,0.687,0.681,0.738,0.781,0.356,0.705
adv-selected-fair_resample-group-1,0.661,0.538,0.678,0.746,0.800,0.368,0.295
adv-selected-fair_resample-delta,-0.016,0.148,0.003,-0.008,-0.019,-0.013,0.019
adv-voting-all,0.730,0.731,0.680,0.740,0.846,0.484,0.415
adv-voting-group-0,0.738,0.750,0.681,0.759,0.865,0.467,0.705
adv-voting-group-1,0.712,0.693,0.678,0.695,0.800,0.526,0.295
adv-voting-delta,0.026,0.057,0.003,0.064,0.065,-0.060,0.065
adv-voting-fair_resample-all,0.725,0.740,0.680,0.745,0.846,0.469,0.370
adv-voting-fair_resample-group-0,0.709,0.730,0.681,0.759,0.844,0.422,0.705
adv-voting-fair_resample-group-1,0.763,0.768,0.678,0.712,0.850,0.579,0.295
adv-voting-fair_resample-delta,-0.053,-0.039,0.003,0.047,-0.006,-0.157,0.157
