method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.780,0.760,0.745,0.765,0.866,0.529,0.000
original-group-0,0.803,0.759,0.776,0.796,0.886,0.515,0.735
original-group-1,0.717,0.746,0.660,0.679,0.800,0.556,0.265
original-delta,0.086,0.013,0.115,0.117,0.086,-0.040,0.086
original-fair_resample-all,0.730,0.718,0.745,0.765,0.832,0.431,0.000
original-fair_resample-group-0,0.735,0.707,0.776,0.769,0.825,0.424,0.735
original-fair_resample-group-1,0.717,0.741,0.660,0.755,0.857,0.444,0.265
original-fair_resample-delta,0.018,-0.035,0.115,0.014,-0.033,-0.020,0.033
adv-clean-all,0.755,0.755,0.745,0.780,0.859,0.451,0.000
adv-clean-group-0,0.776,0.770,0.776,0.810,0.877,0.424,0.735
adv-clean-group-1,0.698,0.716,0.660,0.698,0.800,0.500,0.265
adv-clean-delta,0.077,0.054,0.115,0.111,0.077,-0.076,0.077
adv-clean-fair_resample-all,0.785,0.767,0.745,0.730,0.846,0.608,0.000
adv-clean-fair_resample-group-0,0.776,0.753,0.776,0.755,0.842,0.545,0.735
adv-clean-fair_resample-group-1,0.811,0.802,0.660,0.660,0.857,0.722,0.265
adv-clean-fair_resample-delta,-0.036,-0.049,0.115,0.095,-0.015,-0.177,0.177
adv-all-all,0.665,0.650,0.745,0.630,0.698,0.569,0.000
adv-all-group-0,0.660,0.696,0.776,0.585,0.658,0.667,0.735
adv-all-group-1,0.679,0.651,0.660,0.755,0.829,0.389,0.265
adv-all-delta,-0.019,0.046,0.115,-0.170,-0.171,0.278,0.278
adv-all-fair_resample-all,0.665,0.707,0.745,0.610,0.685,0.608,0.000
adv-all-fair_resample-group-0,0.680,0.736,0.776,0.619,0.693,0.636,0.735
adv-all-fair_resample-group-1,0.623,0.665,0.660,0.585,0.657,0.556,0.265
adv-all-fair_resample-delta,0.058,0.070,0.115,0.034,0.036,0.081,0.081
adv-konstantinov-all,0.665,0.650,0.745,0.630,0.698,0.569,0.400
adv-konstantinov-group-0,0.660,0.696,0.776,0.585,0.658,0.667,0.735
adv-konstantinov-group-1,0.679,0.651,0.660,0.755,0.829,0.389,0.265
adv-konstantinov-delta,-0.019,0.046,0.115,-0.170,-0.171,0.278,0.278
adv-konstantinov-fair_resample-all,0.660,0.705,0.745,0.595,0.671,0.627,0.000
adv-konstantinov-fair_resample-group-0,0.653,0.747,0.776,0.565,0.640,0.697,0.735
adv-konstantinov-fair_resample-group-1,0.679,0.675,0.660,0.679,0.771,0.500,0.265
adv-konstantinov-fair_resample-delta,-0.026,0.073,0.115,-0.115,-0.131,0.197,0.197
adv-selected-all,0.755,0.732,0.745,0.780,0.859,0.451,0.333
adv-selected-group-0,0.789,0.721,0.776,0.810,0.886,0.455,0.735
adv-selected-group-1,0.660,0.735,0.660,0.698,0.771,0.444,0.265
adv-selected-delta,0.129,-0.013,0.115,0.111,0.115,0.010,0.115
adv-selected-fair_resample-all,0.700,0.643,0.745,0.785,0.826,0.333,0.000
adv-selected-fair_resample-group-0,0.735,0.640,0.776,0.810,0.851,0.333,0.735
adv-selected-fair_resample-group-1,0.604,0.635,0.660,0.717,0.743,0.333,0.265
adv-selected-fair_resample-delta,0.131,0.005,0.115,0.093,0.108,0.000,0.108
adv-voting-all,0.775,0.782,0.745,0.820,0.899,0.412,0.300
adv-voting-group-0,0.776,0.780,0.776,0.823,0.886,0.394,0.735
adv-voting-group-1,0.774,0.790,0.660,0.811,0.943,0.444,0.265
adv-voting-delta,0.002,-0.010,0.115,0.012,-0.057,-0.051,0.057
adv-voting-fair_resample-all,0.740,0.727,0.745,0.755,0.832,0.471,0.320
adv-voting-fair_resample-group-0,0.762,0.748,0.776,0.769,0.842,0.485,0.735
adv-voting-fair_resample-group-1,0.679,0.713,0.660,0.717,0.800,0.444,0.265
adv-voting-fair_resample-delta,0.083,0.035,0.115,0.052,0.042,0.040,0.042
