method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.705,0.698,0.675,0.760,0.844,0.415,0.000
original-group-0,0.705,0.707,0.678,0.785,0.861,0.375,0.745
original-group-1,0.706,0.689,0.667,0.686,0.794,0.529,0.255
original-delta,-0.001,0.018,0.011,0.099,0.067,-0.154,0.154
original-fair_resample-all,0.650,0.637,0.675,0.765,0.807,0.323,0.000
original-fair_resample-group-0,0.658,0.662,0.678,0.765,0.812,0.333,0.745
original-fair_resample-group-1,0.627,0.566,0.667,0.765,0.794,0.294,0.255
original-fair_resample-delta,0.030,0.096,0.011,0.000,0.018,0.039,0.039
adv-clean-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-clean-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-clean-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-clean-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-clean-fair_resample-all,0.655,0.624,0.675,0.730,0.785,0.385,0.000
adv-clean-fair_resample-group-0,0.658,0.624,0.678,0.738,0.792,0.375,0.745
adv-clean-fair_resample-group-1,0.647,0.625,0.667,0.706,0.765,0.412,0.255
adv-clean-fair_resample-delta,0.011,-0.001,0.011,0.032,0.027,-0.037,0.037
adv-all-all,0.655,0.638,0.675,0.690,0.756,0.446,0.000
adv-all-group-0,0.644,0.629,0.678,0.671,0.733,0.458,0.745
adv-all-group-1,0.686,0.661,0.667,0.745,0.824,0.412,0.255
adv-all-delta,-0.042,-0.032,0.011,-0.074,-0.091,0.047,0.091
adv-all-fair_resample-all,0.640,0.621,0.675,0.665,0.726,0.462,0.000
adv-all-fair_resample-group-0,0.624,0.602,0.678,0.664,0.713,0.438,0.745
adv-all-fair_resample-group-1,0.686,0.678,0.667,0.667,0.765,0.529,0.255
adv-all-fair_resample-delta,-0.062,-0.076,0.011,-0.002,-0.052,-0.092,0.092
adv-konstantinov-all,0.655,0.638,0.675,0.690,0.756,0.446,0.400
adv-konstantinov-group-0,0.644,0.629,0.678,0.671,0.733,0.458,0.745
adv-konstantinov-group-1,0.686,0.661,0.667,0.745,0.824,0.412,0.255
adv-konstantinov-delta,-0.042,-0.032,0.011,-0.074,-0.091,0.047,0.091
adv-konstantinov-fair_resample-all,0.615,0.631,0.675,0.650,0.696,0.446,0.000
adv-konstantinov-fair_resample-group-0,0.624,0.623,0.678,0.678,0.723,0.417,0.745
adv-konstantinov-fair_resample-group-1,0.588,0.642,0.667,0.569,0.618,0.529,0.255
adv-konstantinov-fair_resample-delta,0.036,-0.019,0.011,0.109,0.105,-0.113,0.113
adv-selected-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-selected-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-selected-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-selected-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-selected-fair_resample-all,0.630,0.634,0.675,0.725,0.763,0.354,0.000
adv-selected-fair_resample-group-0,0.638,0.632,0.678,0.758,0.792,0.312,0.745
adv-selected-fair_resample-group-1,0.608,0.664,0.667,0.627,0.676,0.471,0.255
adv-selected-fair_resample-delta,0.030,-0.032,0.011,0.131,0.116,-0.158,0.158
adv-voting-all,0.625,0.602,0.675,0.650,0.704,0.462,0.175
adv-voting-group-0,0.604,0.636,0.678,0.537,0.604,0.604,0.745
adv-voting-group-1,0.686,0.469,0.667,0.980,1.000,0.059,0.255
adv-voting-delta,-0.082,0.167,0.011,-0.443,-0.396,0.545,0.545
adv-voting-fair_resample-all,0.585,0.600,0.675,0.580,0.622,0.508,0.215
adv-voting-fair_resample-group-0,0.557,0.598,0.678,0.463,0.515,0.646,0.745
adv-voting-fair_resample-group-1,0.667,0.636,0.667,0.922,0.941,0.118,0.255
adv-voting-fair_resample-delta,-0.110,-0.037,0.011,-0.458,-0.426,0.528,0.528
