method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.705,0.698,0.675,0.760,0.844,0.415,0.000
original-group-0,0.705,0.707,0.678,0.785,0.861,0.375,0.745
original-group-1,0.706,0.689,0.667,0.686,0.794,0.529,0.255
original-delta,-0.001,0.018,0.011,0.099,0.067,-0.154,0.154
original-fair_resample-all,0.650,0.637,0.675,0.765,0.807,0.323,0.000
original-fair_resample-group-0,0.658,0.662,0.678,0.765,0.812,0.333,0.745
original-fair_resample-group-1,0.627,0.566,0.667,0.765,0.794,0.294,0.255
original-fair_resample-delta,0.030,0.096,0.011,0.000,0.018,0.039,0.039
adv-clean-all,0.650,0.636,0.675,0.725,0.778,0.385,0.000
adv-clean-group-0,0.678,0.644,0.678,0.785,0.842,0.333,0.745
adv-clean-group-1,0.569,0.635,0.667,0.549,0.588,0.529,0.255
adv-clean-delta,0.109,0.009,0.011,0.236,0.253,-0.196,0.253
adv-clean-fair_resample-all,0.655,0.624,0.675,0.730,0.785,0.385,0.000
adv-clean-fair_resample-group-0,0.658,0.624,0.678,0.738,0.792,0.375,0.745
adv-clean-fair_resample-group-1,0.647,0.625,0.667,0.706,0.765,0.412,0.255
adv-clean-fair_resample-delta,0.011,-0.001,0.011,0.032,0.027,-0.037,0.037
adv-all-all,0.690,0.680,0.675,0.765,0.837,0.385,0.000
adv-all-group-0,0.685,0.693,0.678,0.779,0.842,0.354,0.745
adv-all-group-1,0.706,0.652,0.667,0.725,0.824,0.471,0.255
adv-all-delta,-0.021,0.041,0.011,0.053,0.018,-0.116,0.116
adv-all-fair_resample-all,0.685,0.646,0.675,0.770,0.837,0.369,0.000
adv-all-fair_resample-group-0,0.691,0.680,0.678,0.758,0.832,0.396,0.745
adv-all-fair_resample-group-1,0.667,0.538,0.667,0.804,0.853,0.294,0.255
adv-all-fair_resample-delta,0.025,0.142,0.011,-0.046,-0.021,0.102,0.102
adv-konstantinov-all,0.690,0.680,0.675,0.765,0.837,0.385,0.400
adv-konstantinov-group-0,0.685,0.693,0.678,0.779,0.842,0.354,0.745
adv-konstantinov-group-1,0.706,0.652,0.667,0.725,0.824,0.471,0.255
adv-konstantinov-delta,-0.021,0.041,0.011,0.053,0.018,-0.116,0.116
adv-konstantinov-fair_resample-all,0.640,0.660,0.675,0.715,0.763,0.385,0.000
adv-konstantinov-fair_resample-group-0,0.651,0.672,0.678,0.705,0.762,0.417,0.745
adv-konstantinov-fair_resample-group-1,0.608,0.628,0.667,0.745,0.765,0.294,0.255
adv-konstantinov-fair_resample-delta,0.043,0.044,0.011,-0.040,-0.002,0.123,0.123
adv-selected-all,0.665,0.698,0.675,0.760,0.815,0.354,0.667
adv-selected-group-0,0.658,0.702,0.678,0.792,0.832,0.292,0.745
adv-selected-group-1,0.686,0.697,0.667,0.667,0.765,0.529,0.255
adv-selected-delta,-0.029,0.004,0.011,0.125,0.067,-0.238,0.238
adv-selected-fair_resample-all,0.685,0.663,0.675,0.710,0.793,0.462,0.000
adv-selected-fair_resample-group-0,0.698,0.667,0.678,0.698,0.792,0.500,0.745
adv-selected-fair_resample-group-1,0.647,0.644,0.667,0.745,0.794,0.353,0.255
adv-selected-fair_resample-delta,0.051,0.023,0.011,-0.047,-0.002,0.147,0.147
adv-voting-all,0.690,0.697,0.675,0.785,0.852,0.354,0.355
adv-voting-group-0,0.685,0.697,0.678,0.779,0.842,0.354,0.745
adv-voting-group-1,0.706,0.694,0.667,0.804,0.882,0.353,0.255
adv-voting-delta,-0.021,0.003,0.011,-0.025,-0.041,0.001,0.041
adv-voting-fair_resample-all,0.685,0.686,0.675,0.810,0.867,0.308,0.450
adv-voting-fair_resample-group-0,0.664,0.683,0.678,0.812,0.851,0.271,0.745
adv-voting-fair_resample-group-1,0.745,0.701,0.667,0.804,0.912,0.412,0.255
adv-voting-fair_resample-delta,-0.081,-0.017,0.011,0.008,-0.060,-0.141,0.141
