method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.843,0.236,0.147,0.416,0.936,0.000
original-group-0,0.771,0.826,0.300,0.214,0.474,0.898,0.660
original-group-1,0.897,0.807,0.110,0.018,0.110,0.994,0.340
original-delta,-0.126,0.019,0.191,0.196,0.364,-0.096,0.364
original-fair_reg-all,0.700,0.805,0.236,0.425,0.765,0.680,0.000
original-fair_reg-group-0,0.736,0.826,0.300,0.416,0.752,0.728,0.660
original-fair_reg-group-1,0.632,0.808,0.110,0.442,0.835,0.607,0.340
original-fair_reg-delta,0.104,0.018,0.191,-0.026,-0.083,0.122,0.122
original-fair_pp-all,0.794,0.803,0.236,0.134,0.348,0.932,0.000
original-fair_pp-group-0,0.765,0.826,0.300,0.131,0.327,0.953,0.660
original-fair_pp-group-1,0.851,0.807,0.110,0.139,0.459,0.900,0.340
original-fair_pp-delta,-0.087,0.019,0.191,-0.008,-0.132,0.053,0.132
original-fair_adv-all,0.811,0.837,0.236,0.144,0.404,0.936,0.000
original-fair_adv-group-0,0.770,0.826,0.300,0.191,0.435,0.914,0.660
original-fair_adv-group-1,0.889,0.808,0.110,0.054,0.242,0.969,0.340
original-fair_adv-delta,-0.119,0.018,0.191,0.137,0.193,-0.055,0.193
original-fair_resample-all,0.800,0.819,0.236,0.141,0.375,0.931,0.000
original-fair_resample-group-0,0.767,0.824,0.300,0.158,0.374,0.935,0.660
original-fair_resample-group-1,0.865,0.812,0.110,0.109,0.382,0.925,0.340
original-fair_resample-delta,-0.098,0.012,0.191,0.048,-0.008,0.011,0.011
adv-clean-all,0.814,0.843,0.236,0.148,0.419,0.935,0.000
adv-clean-group-0,0.771,0.826,0.300,0.214,0.475,0.898,0.660
adv-clean-group-1,0.896,0.807,0.110,0.020,0.121,0.992,0.340
adv-clean-delta,-0.125,0.019,0.191,0.193,0.354,-0.094,0.354
adv-clean-fair_reg-all,0.705,0.806,0.236,0.421,0.766,0.686,0.000
adv-clean-fair_reg-group-0,0.737,0.826,0.300,0.416,0.754,0.729,0.660
adv-clean-fair_reg-group-1,0.642,0.807,0.110,0.429,0.827,0.620,0.340
adv-clean-fair_reg-delta,0.094,0.019,0.191,-0.013,-0.073,0.110,0.110
adv-clean-fair_pp-all,0.794,0.805,0.236,0.147,0.373,0.923,0.000
adv-clean-fair_pp-group-0,0.767,0.826,0.300,0.144,0.353,0.945,0.660
adv-clean-fair_pp-group-1,0.844,0.807,0.110,0.152,0.481,0.889,0.340
adv-clean-fair_pp-delta,-0.077,0.019,0.191,-0.008,-0.128,0.056,0.128
adv-clean-fair_adv-all,0.811,0.838,0.236,0.146,0.409,0.935,0.000
adv-clean-fair_adv-group-0,0.771,0.826,0.300,0.193,0.440,0.912,0.660
adv-clean-fair_adv-group-1,0.890,0.808,0.110,0.053,0.242,0.970,0.340
adv-clean-fair_adv-delta,-0.119,0.018,0.191,0.140,0.199,-0.057,0.199
adv-clean-fair_resample-all,0.802,0.819,0.236,0.135,0.365,0.936,0.000
adv-clean-fair_resample-group-0,0.768,0.824,0.300,0.151,0.364,0.941,0.660
adv-clean-fair_resample-group-1,0.867,0.810,0.110,0.105,0.374,0.928,0.340
adv-clean-fair_resample-delta,-0.100,0.014,0.191,0.046,-0.010,0.013,0.013
adv-all-all,0.808,0.833,0.236,0.150,0.411,0.930,0.000
adv-all-group-0,0.771,0.826,0.300,0.189,0.434,0.915,0.660
adv-all-group-1,0.880,0.806,0.110,0.074,0.288,0.953,0.340
adv-all-delta,-0.109,0.020,0.191,0.116,0.145,-0.037,0.145
adv-all-fair_reg-all,0.723,0.825,0.236,0.403,0.766,0.709,0.000
adv-all-fair_reg-group-0,0.732,0.826,0.300,0.430,0.770,0.716,0.660
adv-all-fair_reg-group-1,0.704,0.806,0.110,0.350,0.747,0.699,0.340
adv-all-fair_reg-delta,0.028,0.019,0.191,0.080,0.022,0.017,0.022
adv-all-fair_pp-all,0.801,0.826,0.236,0.140,0.375,0.933,0.000
adv-all-fair_pp-group-0,0.767,0.826,0.300,0.162,0.380,0.932,0.660
adv-all-fair_pp-group-1,0.869,0.806,0.110,0.097,0.346,0.933,0.340
adv-all-fair_pp-delta,-0.102,0.020,0.191,0.064,0.034,-0.001,0.034
adv-all-fair_adv-all,0.804,0.829,0.236,0.136,0.373,0.937,0.000
adv-all-fair_adv-group-0,0.767,0.826,0.300,0.164,0.384,0.931,0.660
adv-all-fair_adv-group-1,0.877,0.806,0.110,0.082,0.313,0.947,0.340
adv-all-fair_adv-delta,-0.111,0.020,0.191,0.082,0.071,-0.016,0.071
adv-all-fair_resample-all,0.802,0.826,0.236,0.137,0.370,0.935,0.000
adv-all-fair_resample-group-0,0.767,0.826,0.300,0.161,0.379,0.933,0.660
adv-all-fair_resample-group-1,0.870,0.806,0.110,0.090,0.321,0.938,0.340
adv-all-fair_resample-delta,-0.104,0.020,0.191,0.070,0.058,-0.005,0.058
adv-konstantinov-all,0.808,0.833,0.236,0.150,0.411,0.930,0.400
adv-konstantinov-group-0,0.771,0.826,0.300,0.189,0.434,0.915,0.660
adv-konstantinov-group-1,0.880,0.806,0.110,0.074,0.288,0.953,0.340
adv-konstantinov-delta,-0.109,0.020,0.191,0.116,0.145,-0.037,0.145
adv-konstantinov-fair_reg-all,0.723,0.825,0.236,0.403,0.766,0.709,0.000
adv-konstantinov-fair_reg-group-0,0.732,0.826,0.300,0.430,0.770,0.716,0.660
adv-konstantinov-fair_reg-group-1,0.704,0.806,0.110,0.350,0.747,0.699,0.340
adv-konstantinov-fair_reg-delta,0.028,0.019,0.191,0.080,0.022,0.017,0.022
adv-konstantinov-fair_pp-all,0.801,0.826,0.236,0.140,0.375,0.933,0.000
adv-konstantinov-fair_pp-group-0,0.767,0.826,0.300,0.162,0.380,0.932,0.660
adv-konstantinov-fair_pp-group-1,0.869,0.806,0.110,0.097,0.346,0.933,0.340
adv-konstantinov-fair_pp-delta,-0.102,0.020,0.191,0.064,0.034,-0.001,0.034
adv-konstantinov-fair_adv-all,0.804,0.829,0.236,0.136,0.373,0.937,0.000
adv-konstantinov-fair_adv-group-0,0.767,0.826,0.300,0.164,0.384,0.931,0.660
adv-konstantinov-fair_adv-group-1,0.877,0.806,0.110,0.082,0.313,0.947,0.340
adv-konstantinov-fair_adv-delta,-0.111,0.020,0.191,0.082,0.071,-0.016,0.071
adv-konstantinov-fair_resample-all,0.804,0.826,0.236,0.133,0.367,0.939,0.000
adv-konstantinov-fair_resample-group-0,0.767,0.826,0.300,0.158,0.376,0.935,0.660
adv-konstantinov-fair_resample-group-1,0.876,0.806,0.110,0.084,0.319,0.945,0.340
adv-konstantinov-fair_resample-delta,-0.109,0.020,0.191,0.074,0.057,-0.010,0.057
adv-selected-all,0.814,0.843,0.236,0.148,0.419,0.935,0.000
adv-selected-group-0,0.771,0.826,0.300,0.214,0.475,0.898,0.660
adv-selected-group-1,0.896,0.807,0.110,0.020,0.121,0.992,0.340
adv-selected-delta,-0.125,0.019,0.191,0.193,0.354,-0.094,0.354
adv-selected-fair_reg-all,0.705,0.806,0.236,0.421,0.766,0.686,0.667
adv-selected-fair_reg-group-0,0.737,0.826,0.300,0.416,0.754,0.729,0.660
adv-selected-fair_reg-group-1,0.642,0.807,0.110,0.429,0.827,0.620,0.340
adv-selected-fair_reg-delta,0.094,0.019,0.191,-0.013,-0.073,0.110,0.110
adv-selected-fair_pp-all,0.794,0.802,0.236,0.137,0.353,0.930,0.000
adv-selected-fair_pp-group-0,0.765,0.826,0.300,0.134,0.332,0.951,0.660
adv-selected-fair_pp-group-1,0.850,0.807,0.110,0.143,0.467,0.897,0.340
adv-selected-fair_pp-delta,-0.085,0.019,0.191,-0.009,-0.135,0.054,0.135
adv-selected-fair_adv-all,0.811,0.838,0.236,0.146,0.409,0.935,0.000
adv-selected-fair_adv-group-0,0.771,0.826,0.300,0.193,0.440,0.912,0.660
adv-selected-fair_adv-group-1,0.890,0.808,0.110,0.053,0.242,0.970,0.340
adv-selected-fair_adv-delta,-0.119,0.018,0.191,0.140,0.199,-0.057,0.199
adv-selected-fair_resample-all,0.800,0.817,0.236,0.140,0.372,0.932,0.000
adv-selected-fair_resample-group-0,0.766,0.822,0.300,0.155,0.369,0.937,0.660
adv-selected-fair_resample-group-1,0.866,0.813,0.110,0.110,0.390,0.924,0.340
adv-selected-fair_resample-delta,-0.099,0.009,0.191,0.045,-0.021,0.012,0.021
adv-voting-all,0.813,0.842,0.236,0.142,0.405,0.939,0.028
adv-voting-group-0,0.771,0.826,0.300,0.202,0.455,0.907,0.660
adv-voting-group-1,0.894,0.808,0.110,0.027,0.137,0.987,0.340
adv-voting-delta,-0.122,0.018,0.191,0.175,0.317,-0.080,0.317
adv-voting-fair_reg-all,0.704,0.815,0.236,0.427,0.779,0.681,0.116
adv-voting-fair_reg-group-0,0.727,0.826,0.300,0.437,0.773,0.708,0.660
adv-voting-fair_reg-group-1,0.660,0.806,0.110,0.408,0.810,0.641,0.340
adv-voting-fair_reg-delta,0.067,0.020,0.191,0.028,-0.038,0.066,0.066
adv-voting-fair_pp-all,0.797,0.814,0.236,0.131,0.348,0.936,0.119
adv-voting-fair_pp-group-0,0.764,0.825,0.300,0.141,0.342,0.946,0.660
adv-voting-fair_pp-group-1,0.861,0.806,0.110,0.112,0.376,0.921,0.340
adv-voting-fair_pp-delta,-0.097,0.019,0.191,0.029,-0.034,0.025,0.034
adv-voting-fair_adv-all,0.808,0.834,0.236,0.125,0.358,0.947,0.146
adv-voting-fair_adv-group-0,0.767,0.826,0.300,0.158,0.376,0.935,0.660
adv-voting-fair_adv-group-1,0.888,0.810,0.110,0.061,0.264,0.964,0.340
adv-voting-fair_adv-delta,-0.120,0.016,0.191,0.098,0.112,-0.029,0.112
adv-voting-fair_resample-all,0.802,0.822,0.236,0.145,0.387,0.930,0.338
adv-voting-fair_resample-group-0,0.769,0.822,0.300,0.166,0.391,0.931,0.660
adv-voting-fair_resample-group-1,0.867,0.813,0.110,0.104,0.368,0.929,0.340
adv-voting-fair_resample-delta,-0.098,0.009,0.191,0.062,0.023,0.002,0.023
adv-TERM-all,0.801,0.765,0.236,0.073,0.233,0.976,0.000
adv-TERM-group-0,0.753,0.754,0.300,0.098,0.253,0.968,0.660
adv-TERM-group-1,0.893,0.745,0.110,0.025,0.126,0.987,0.340
adv-TERM-delta,-0.140,0.009,0.191,0.073,0.127,-0.019,0.127
adv-TERM-fair_pp-all,0.802,0.752,0.236,0.110,0.314,0.952,0.000
adv-TERM-fair_pp-group-0,0.762,0.755,0.300,0.129,0.319,0.953,0.660
adv-TERM-fair_pp-group-1,0.879,0.745,0.110,0.075,0.291,0.952,0.340
adv-TERM-fair_pp-delta,-0.117,0.010,0.191,0.054,0.027,0.001,0.027
adv-TERM-fair_resample-all,0.797,0.744,0.236,0.067,0.210,0.978,0.000
adv-TERM-fair_resample-group-0,0.748,0.741,0.300,0.082,0.216,0.976,0.660
adv-TERM-fair_resample-group-1,0.893,0.733,0.110,0.037,0.181,0.981,0.340
adv-TERM-fair_resample-delta,-0.145,0.008,0.191,0.045,0.034,-0.005,0.034
adv-DRO-fair_reg-all,0.790,0.754,0.236,0.058,0.178,0.978,0.000
adv-DRO-fair_reg-group-0,0.738,0.744,0.300,0.073,0.184,0.975,0.660
adv-DRO-fair_reg-group-1,0.891,0.742,0.110,0.031,0.146,0.983,0.340
adv-DRO-fair_reg-delta,-0.154,0.002,0.191,0.042,0.038,-0.008,0.038
