method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.809,0.833,0.235,0.143,0.397,0.935,0.000
original-group-0,0.770,0.823,0.297,0.204,0.457,0.903,0.666
original-group-1,0.885,0.778,0.111,0.020,0.072,0.987,0.334
original-delta,-0.115,0.045,0.186,0.184,0.385,-0.084,0.385
original-fair_reg-all,0.702,0.795,0.235,0.414,0.746,0.688,0.000
original-fair_reg-group-0,0.739,0.823,0.297,0.401,0.736,0.740,0.666
original-fair_reg-group-1,0.626,0.780,0.111,0.440,0.801,0.605,0.334
original-fair_reg-delta,0.113,0.043,0.186,-0.039,-0.064,0.136,0.136
original-fair_pp-all,0.788,0.793,0.235,0.130,0.325,0.930,0.000
original-fair_pp-group-0,0.764,0.823,0.297,0.122,0.309,0.956,0.666
original-fair_pp-group-1,0.836,0.778,0.111,0.145,0.416,0.888,0.334
original-fair_pp-delta,-0.072,0.045,0.186,-0.023,-0.107,0.068,0.107
original-fair_adv-all,0.803,0.827,0.235,0.139,0.376,0.934,0.000
original-fair_adv-group-0,0.770,0.823,0.297,0.180,0.415,0.920,0.666
original-fair_adv-group-1,0.870,0.779,0.111,0.057,0.172,0.957,0.334
original-fair_adv-delta,-0.100,0.043,0.186,0.122,0.243,-0.037,0.243
original-fair_resample-all,0.795,0.811,0.235,0.134,0.349,0.932,0.000
original-fair_resample-group-0,0.767,0.821,0.297,0.146,0.353,0.942,0.666
original-fair_resample-group-1,0.852,0.782,0.111,0.110,0.327,0.917,0.334
original-fair_resample-delta,-0.085,0.040,0.186,0.036,0.026,0.025,0.026
adv-clean-all,0.810,0.832,0.235,0.138,0.388,0.939,0.000
adv-clean-group-0,0.771,0.823,0.297,0.198,0.448,0.908,0.666
adv-clean-group-1,0.887,0.775,0.111,0.017,0.069,0.989,0.334
adv-clean-delta,-0.116,0.048,0.186,0.180,0.379,-0.081,0.379
adv-clean-fair_reg-all,0.701,0.795,0.235,0.415,0.748,0.687,0.000
adv-clean-fair_reg-group-0,0.739,0.823,0.297,0.402,0.737,0.740,0.666
adv-clean-fair_reg-group-1,0.626,0.776,0.111,0.443,0.809,0.603,0.334
adv-clean-fair_reg-delta,0.114,0.047,0.186,-0.041,-0.072,0.137,0.137
adv-clean-fair_pp-all,0.789,0.790,0.235,0.120,0.305,0.937,0.000
adv-clean-fair_pp-group-0,0.762,0.823,0.297,0.115,0.294,0.960,0.666
adv-clean-fair_pp-group-1,0.841,0.775,0.111,0.128,0.360,0.901,0.334
adv-clean-fair_pp-delta,-0.079,0.048,0.186,-0.013,-0.066,0.060,0.066
adv-clean-fair_adv-all,0.802,0.827,0.235,0.140,0.377,0.933,0.000
adv-clean-fair_adv-group-0,0.770,0.822,0.297,0.179,0.415,0.920,0.666
adv-clean-fair_adv-group-1,0.867,0.777,0.111,0.061,0.177,0.953,0.334
adv-clean-fair_adv-delta,-0.097,0.046,0.186,0.118,0.237,-0.033,0.237
adv-clean-fair_resample-all,0.795,0.809,0.235,0.131,0.342,0.934,0.000
adv-clean-fair_resample-group-0,0.767,0.821,0.297,0.144,0.349,0.943,0.666
adv-clean-fair_resample-group-1,0.851,0.779,0.111,0.106,0.307,0.919,0.334
adv-clean-fair_resample-delta,-0.085,0.042,0.186,0.037,0.042,0.024,0.042
adv-all-all,0.799,0.807,0.235,0.119,0.326,0.945,0.000
adv-all-group-0,0.759,0.796,0.297,0.164,0.370,0.924,0.666
adv-all-group-1,0.879,0.748,0.111,0.030,0.089,0.978,0.334
adv-all-delta,-0.120,0.048,0.186,0.134,0.282,-0.054,0.282
adv-all-fair_reg-all,0.648,0.772,0.235,0.486,0.786,0.606,0.000
adv-all-fair_reg-group-0,0.697,0.797,0.297,0.468,0.777,0.663,0.666
adv-all-fair_reg-group-1,0.552,0.749,0.111,0.522,0.831,0.517,0.334
adv-all-fair_reg-delta,0.145,0.047,0.186,-0.054,-0.054,0.146,0.146
adv-all-fair_pp-all,0.781,0.762,0.235,0.121,0.291,0.932,0.000
adv-all-fair_pp-group-0,0.753,0.796,0.297,0.115,0.278,0.954,0.666
adv-all-fair_pp-group-1,0.837,0.748,0.111,0.132,0.360,0.896,0.334
adv-all-fair_pp-delta,-0.084,0.048,0.186,-0.017,-0.082,0.058,0.082
adv-all-fair_adv-all,0.785,0.779,0.235,0.109,0.273,0.942,0.000
adv-all-fair_adv-group-0,0.752,0.794,0.297,0.117,0.280,0.952,0.666
adv-all-fair_adv-group-1,0.849,0.746,0.111,0.093,0.235,0.925,0.334
adv-all-fair_adv-delta,-0.096,0.048,0.186,0.024,0.044,0.028,0.044
adv-all-fair_resample-all,0.777,0.746,0.235,0.107,0.253,0.938,0.000
adv-all-fair_resample-group-0,0.744,0.768,0.297,0.109,0.254,0.952,0.666
adv-all-fair_resample-group-1,0.844,0.727,0.111,0.101,0.249,0.918,0.334
adv-all-fair_resample-delta,-0.099,0.041,0.186,0.009,0.005,0.034,0.034
adv-konstantinov-all,0.810,0.832,0.235,0.138,0.388,0.939,0.000
adv-konstantinov-group-0,0.771,0.823,0.297,0.198,0.448,0.908,0.666
adv-konstantinov-group-1,0.887,0.775,0.111,0.017,0.069,0.989,0.334
adv-konstantinov-delta,-0.116,0.048,0.186,0.180,0.379,-0.081,0.379
adv-konstantinov-fair_reg-all,0.701,0.795,0.235,0.415,0.748,0.687,0.000
adv-konstantinov-fair_reg-group-0,0.739,0.823,0.297,0.402,0.737,0.740,0.666
adv-konstantinov-fair_reg-group-1,0.626,0.776,0.111,0.443,0.809,0.603,0.334
adv-konstantinov-fair_reg-delta,0.114,0.047,0.186,-0.041,-0.072,0.137,0.137
adv-konstantinov-fair_pp-all,0.789,0.790,0.235,0.120,0.305,0.937,0.000
adv-konstantinov-fair_pp-group-0,0.762,0.823,0.297,0.115,0.294,0.960,0.666
adv-konstantinov-fair_pp-group-1,0.841,0.775,0.111,0.128,0.360,0.901,0.334
adv-konstantinov-fair_pp-delta,-0.079,0.048,0.186,-0.013,-0.066,0.060,0.066
adv-konstantinov-fair_adv-all,0.802,0.827,0.235,0.140,0.377,0.933,0.000
adv-konstantinov-fair_adv-group-0,0.770,0.822,0.297,0.179,0.415,0.920,0.666
adv-konstantinov-fair_adv-group-1,0.867,0.777,0.111,0.061,0.177,0.953,0.334
adv-konstantinov-fair_adv-delta,-0.097,0.046,0.186,0.118,0.237,-0.033,0.237
adv-konstantinov-fair_resample-all,0.793,0.809,0.235,0.143,0.363,0.925,0.000
adv-konstantinov-fair_resample-group-0,0.765,0.821,0.297,0.158,0.371,0.932,0.666
adv-konstantinov-fair_resample-group-1,0.850,0.779,0.111,0.111,0.324,0.915,0.334
adv-konstantinov-fair_resample-delta,-0.085,0.042,0.186,0.047,0.047,0.016,0.047
adv-selected-all,0.810,0.832,0.235,0.138,0.388,0.939,0.000
adv-selected-group-0,0.771,0.823,0.297,0.198,0.448,0.908,0.666
adv-selected-group-1,0.887,0.775,0.111,0.017,0.069,0.989,0.334
adv-selected-delta,-0.116,0.048,0.186,0.180,0.379,-0.081,0.379
adv-selected-fair_reg-all,0.701,0.795,0.235,0.415,0.748,0.687,0.000
adv-selected-fair_reg-group-0,0.739,0.823,0.297,0.402,0.737,0.740,0.666
adv-selected-fair_reg-group-1,0.626,0.776,0.111,0.443,0.809,0.603,0.334
adv-selected-fair_reg-delta,0.114,0.047,0.186,-0.041,-0.072,0.137,0.137
adv-selected-fair_pp-all,0.789,0.790,0.235,0.120,0.305,0.937,0.333
adv-selected-fair_pp-group-0,0.762,0.823,0.297,0.115,0.294,0.960,0.666
adv-selected-fair_pp-group-1,0.841,0.775,0.111,0.128,0.360,0.901,0.334
adv-selected-fair_pp-delta,-0.079,0.048,0.186,-0.013,-0.066,0.060,0.066
adv-selected-fair_adv-all,0.802,0.827,0.235,0.140,0.377,0.933,0.333
adv-selected-fair_adv-group-0,0.770,0.822,0.297,0.179,0.415,0.920,0.666
adv-selected-fair_adv-group-1,0.867,0.777,0.111,0.061,0.177,0.953,0.334
adv-selected-fair_adv-delta,-0.097,0.046,0.186,0.118,0.237,-0.033,0.237
adv-selected-fair_resample-all,0.795,0.809,0.235,0.142,0.366,0.926,0.000
adv-selected-fair_resample-group-0,0.766,0.821,0.297,0.159,0.374,0.932,0.666
adv-selected-fair_resample-group-1,0.852,0.780,0.111,0.109,0.324,0.918,0.334
adv-selected-fair_resample-delta,-0.086,0.040,0.186,0.050,0.050,0.014,0.050
adv-voting-all,0.813,0.833,0.235,0.162,0.448,0.925,0.018
adv-voting-group-0,0.776,0.822,0.297,0.236,0.520,0.884,0.666
adv-voting-group-1,0.888,0.776,0.111,0.016,0.064,0.990,0.334
adv-voting-delta,-0.112,0.046,0.186,0.220,0.456,-0.106,0.456
adv-voting-fair_reg-all,0.692,0.793,0.235,0.436,0.773,0.667,0.023
adv-voting-fair_reg-group-0,0.730,0.823,0.297,0.431,0.771,0.713,0.666
adv-voting-fair_reg-group-1,0.616,0.770,0.111,0.448,0.787,0.594,0.334
adv-voting-fair_reg-delta,0.115,0.053,0.186,-0.017,-0.016,0.119,0.119
adv-voting-fair_pp-all,0.789,0.789,0.235,0.110,0.285,0.944,0.020
adv-voting-fair_pp-group-0,0.758,0.821,0.297,0.109,0.276,0.962,0.666
adv-voting-fair_pp-group-1,0.850,0.776,0.111,0.112,0.330,0.915,0.334
adv-voting-fair_pp-delta,-0.092,0.045,0.186,-0.003,-0.054,0.047,0.054
adv-voting-fair_adv-all,0.806,0.827,0.235,0.136,0.376,0.937,0.012
adv-voting-fair_adv-group-0,0.773,0.822,0.297,0.177,0.415,0.924,0.666
adv-voting-fair_adv-group-1,0.871,0.777,0.111,0.056,0.172,0.958,0.334
adv-voting-fair_adv-delta,-0.098,0.045,0.186,0.120,0.243,-0.034,0.243
adv-voting-fair_resample-all,0.792,0.809,0.235,0.138,0.351,0.927,0.027
adv-voting-fair_resample-group-0,0.762,0.820,0.297,0.154,0.359,0.932,0.666
adv-voting-fair_resample-group-1,0.852,0.780,0.111,0.105,0.307,0.920,0.334
adv-voting-fair_resample-delta,-0.090,0.040,0.186,0.049,0.052,0.013,0.052
adv-TERM-all,0.765,0.564,0.235,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.703,0.520,0.297,0.000,0.000,1.000,0.666
adv-TERM-group-1,0.889,0.525,0.111,0.000,0.000,1.000,0.334
adv-TERM-delta,-0.186,-0.005,0.186,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.765,0.496,0.235,0.000,0.000,1.000,0.000
adv-TERM-fair_pp-group-0,0.703,0.520,0.297,0.000,0.000,1.000,0.666
adv-TERM-fair_pp-group-1,0.889,0.525,0.111,0.000,0.000,1.000,0.334
adv-TERM-fair_pp-delta,-0.186,-0.005,0.186,0.000,0.000,0.000,0.000
adv-TERM-fair_resample-all,0.765,0.551,0.235,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.703,0.523,0.297,0.000,0.000,1.000,0.666
adv-TERM-fair_resample-group-1,0.889,0.528,0.111,0.000,0.000,1.000,0.334
adv-TERM-fair_resample-delta,-0.186,-0.004,0.186,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.784,0.764,0.235,0.039,0.123,0.987,0.000
adv-DRO-fair_reg-group-0,0.731,0.742,0.297,0.059,0.146,0.978,0.666
adv-DRO-fair_reg-group-1,0.889,0.704,0.111,0.000,0.000,1.000,0.334
adv-DRO-fair_reg-delta,-0.158,0.038,0.186,0.059,0.146,-0.022,0.146
