method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.843,0.236,0.147,0.416,0.936,0.000
original-group-0,0.771,0.826,0.300,0.214,0.474,0.898,0.660
original-group-1,0.897,0.807,0.110,0.018,0.110,0.994,0.340
original-delta,-0.126,0.019,0.191,0.196,0.364,-0.096,0.364
original-fair_reg-all,0.701,0.805,0.236,0.423,0.764,0.682,0.000
original-fair_reg-group-0,0.736,0.826,0.300,0.415,0.751,0.730,0.660
original-fair_reg-group-1,0.634,0.808,0.110,0.439,0.832,0.609,0.340
original-fair_reg-delta,0.102,0.018,0.191,-0.025,-0.082,0.121,0.121
original-fair_pp-all,0.794,0.802,0.236,0.134,0.348,0.931,0.000
original-fair_pp-group-0,0.765,0.826,0.300,0.131,0.327,0.953,0.660
original-fair_pp-group-1,0.851,0.807,0.110,0.141,0.462,0.899,0.340
original-fair_pp-delta,-0.086,0.019,0.191,-0.010,-0.135,0.054,0.135
original-fair_adv-all,0.811,0.837,0.236,0.144,0.404,0.936,0.000
original-fair_adv-group-0,0.770,0.826,0.300,0.191,0.435,0.914,0.660
original-fair_adv-group-1,0.889,0.808,0.110,0.054,0.242,0.969,0.340
original-fair_adv-delta,-0.119,0.018,0.191,0.137,0.193,-0.055,0.193
original-fair_resample-all,0.800,0.819,0.236,0.141,0.375,0.931,0.000
original-fair_resample-group-0,0.767,0.824,0.300,0.158,0.374,0.935,0.660
original-fair_resample-group-1,0.865,0.812,0.110,0.109,0.382,0.925,0.340
original-fair_resample-delta,-0.098,0.012,0.191,0.049,-0.008,0.011,0.011
adv-clean-all,0.814,0.843,0.236,0.148,0.419,0.935,0.000
adv-clean-group-0,0.771,0.826,0.300,0.214,0.475,0.898,0.660
adv-clean-group-1,0.896,0.807,0.110,0.020,0.121,0.992,0.340
adv-clean-delta,-0.125,0.019,0.191,0.193,0.354,-0.094,0.354
adv-clean-fair_reg-all,0.705,0.806,0.236,0.421,0.766,0.686,0.000
adv-clean-fair_reg-group-0,0.737,0.826,0.300,0.416,0.754,0.729,0.660
adv-clean-fair_reg-group-1,0.642,0.807,0.110,0.429,0.827,0.620,0.340
adv-clean-fair_reg-delta,0.094,0.019,0.191,-0.013,-0.073,0.110,0.110
adv-clean-fair_pp-all,0.794,0.802,0.236,0.137,0.353,0.930,0.000
adv-clean-fair_pp-group-0,0.765,0.826,0.300,0.134,0.332,0.951,0.660
adv-clean-fair_pp-group-1,0.850,0.807,0.110,0.143,0.467,0.897,0.340
adv-clean-fair_pp-delta,-0.085,0.019,0.191,-0.009,-0.135,0.054,0.135
adv-clean-fair_adv-all,0.811,0.838,0.236,0.146,0.409,0.935,0.000
adv-clean-fair_adv-group-0,0.771,0.826,0.300,0.193,0.440,0.912,0.660
adv-clean-fair_adv-group-1,0.890,0.808,0.110,0.053,0.242,0.970,0.340
adv-clean-fair_adv-delta,-0.119,0.018,0.191,0.140,0.199,-0.057,0.199
adv-clean-fair_resample-all,0.802,0.819,0.236,0.135,0.365,0.936,0.000
adv-clean-fair_resample-group-0,0.768,0.824,0.300,0.151,0.364,0.941,0.660
adv-clean-fair_resample-group-1,0.867,0.810,0.110,0.105,0.374,0.928,0.340
adv-clean-fair_resample-delta,-0.100,0.014,0.191,0.046,-0.010,0.013,0.013
adv-all-all,0.812,0.841,0.236,0.150,0.419,0.933,0.000
adv-all-group-0,0.771,0.827,0.300,0.202,0.455,0.906,0.660
adv-all-group-1,0.892,0.807,0.110,0.048,0.228,0.974,0.340
adv-all-delta,-0.122,0.020,0.191,0.154,0.227,-0.068,0.227
adv-all-fair_reg-all,0.713,0.816,0.236,0.415,0.773,0.695,0.000
adv-all-fair_reg-group-0,0.735,0.826,0.300,0.425,0.766,0.721,0.660
adv-all-fair_reg-group-1,0.671,0.807,0.110,0.396,0.808,0.654,0.340
adv-all-fair_reg-delta,0.063,0.019,0.191,0.029,-0.042,0.067,0.067
adv-all-fair_pp-all,0.797,0.815,0.236,0.133,0.352,0.934,0.000
adv-all-fair_pp-group-0,0.765,0.827,0.300,0.142,0.345,0.946,0.660
adv-all-fair_pp-group-1,0.859,0.807,0.110,0.116,0.385,0.917,0.340
adv-all-fair_pp-delta,-0.093,0.020,0.191,0.026,-0.039,0.029,0.039
adv-all-fair_adv-all,0.808,0.834,0.236,0.141,0.391,0.936,0.000
adv-all-fair_adv-group-0,0.769,0.827,0.300,0.179,0.414,0.922,0.660
adv-all-fair_adv-group-1,0.882,0.807,0.110,0.067,0.266,0.958,0.340
adv-all-fair_adv-delta,-0.113,0.020,0.191,0.113,0.148,-0.036,0.148
adv-all-fair_resample-all,0.803,0.824,0.236,0.132,0.363,0.939,0.000
adv-all-fair_resample-group-0,0.767,0.825,0.300,0.155,0.371,0.937,0.660
adv-all-fair_resample-group-1,0.873,0.807,0.110,0.088,0.324,0.941,0.340
adv-all-fair_resample-delta,-0.106,0.018,0.191,0.067,0.047,-0.004,0.047
adv-konstantinov-all,0.812,0.841,0.236,0.150,0.419,0.933,0.400
adv-konstantinov-group-0,0.771,0.827,0.300,0.202,0.455,0.906,0.660
adv-konstantinov-group-1,0.892,0.807,0.110,0.048,0.228,0.974,0.340
adv-konstantinov-delta,-0.122,0.020,0.191,0.154,0.227,-0.068,0.227
adv-konstantinov-fair_reg-all,0.713,0.816,0.236,0.415,0.773,0.695,0.000
adv-konstantinov-fair_reg-group-0,0.735,0.826,0.300,0.425,0.766,0.721,0.660
adv-konstantinov-fair_reg-group-1,0.671,0.807,0.110,0.396,0.808,0.654,0.340
adv-konstantinov-fair_reg-delta,0.063,0.019,0.191,0.029,-0.042,0.067,0.067
adv-konstantinov-fair_pp-all,0.797,0.815,0.236,0.133,0.352,0.934,0.000
adv-konstantinov-fair_pp-group-0,0.765,0.827,0.300,0.142,0.345,0.946,0.660
adv-konstantinov-fair_pp-group-1,0.859,0.807,0.110,0.116,0.385,0.917,0.340
adv-konstantinov-fair_pp-delta,-0.093,0.020,0.191,0.026,-0.039,0.029,0.039
adv-konstantinov-fair_adv-all,0.808,0.834,0.236,0.141,0.391,0.936,0.000
adv-konstantinov-fair_adv-group-0,0.769,0.827,0.300,0.179,0.414,0.922,0.660
adv-konstantinov-fair_adv-group-1,0.882,0.807,0.110,0.067,0.266,0.958,0.340
adv-konstantinov-fair_adv-delta,-0.113,0.020,0.191,0.113,0.148,-0.036,0.148
adv-konstantinov-fair_resample-all,0.800,0.823,0.236,0.138,0.369,0.933,0.000
adv-konstantinov-fair_resample-group-0,0.766,0.826,0.300,0.158,0.372,0.934,0.660
adv-konstantinov-fair_resample-group-1,0.868,0.807,0.110,0.100,0.354,0.932,0.340
adv-konstantinov-fair_resample-delta,-0.103,0.019,0.191,0.058,0.018,0.003,0.018
adv-selected-all,0.814,0.843,0.236,0.148,0.419,0.935,0.000
adv-selected-group-0,0.771,0.826,0.300,0.214,0.475,0.898,0.660
adv-selected-group-1,0.896,0.807,0.110,0.020,0.121,0.992,0.340
adv-selected-delta,-0.125,0.019,0.191,0.193,0.354,-0.094,0.354
adv-selected-fair_reg-all,0.705,0.806,0.236,0.421,0.766,0.686,0.000
adv-selected-fair_reg-group-0,0.737,0.826,0.300,0.416,0.754,0.729,0.660
adv-selected-fair_reg-group-1,0.642,0.807,0.110,0.429,0.827,0.620,0.340
adv-selected-fair_reg-delta,0.094,0.019,0.191,-0.013,-0.073,0.110,0.110
adv-selected-fair_pp-all,0.794,0.802,0.236,0.137,0.353,0.930,0.000
adv-selected-fair_pp-group-0,0.765,0.826,0.300,0.134,0.332,0.951,0.660
adv-selected-fair_pp-group-1,0.850,0.807,0.110,0.143,0.467,0.897,0.340
adv-selected-fair_pp-delta,-0.085,0.019,0.191,-0.009,-0.135,0.054,0.135
adv-selected-fair_adv-all,0.811,0.838,0.236,0.146,0.409,0.935,0.667
adv-selected-fair_adv-group-0,0.771,0.826,0.300,0.193,0.440,0.912,0.660
adv-selected-fair_adv-group-1,0.890,0.808,0.110,0.053,0.242,0.970,0.340
adv-selected-fair_adv-delta,-0.119,0.018,0.191,0.140,0.199,-0.057,0.199
adv-selected-fair_resample-all,0.798,0.817,0.236,0.140,0.367,0.930,0.000
adv-selected-fair_resample-group-0,0.765,0.821,0.300,0.151,0.361,0.939,0.660
adv-selected-fair_resample-group-1,0.861,0.814,0.110,0.117,0.401,0.918,0.340
adv-selected-fair_resample-delta,-0.096,0.008,0.191,0.034,-0.040,0.021,0.040
adv-voting-all,0.813,0.843,0.236,0.143,0.406,0.938,0.221
adv-voting-group-0,0.771,0.826,0.300,0.203,0.457,0.906,0.660
adv-voting-group-1,0.894,0.808,0.110,0.027,0.137,0.987,0.340
adv-voting-delta,-0.123,0.018,0.191,0.177,0.320,-0.081,0.320
adv-voting-fair_reg-all,0.708,0.814,0.236,0.420,0.771,0.688,0.197
adv-voting-fair_reg-group-0,0.733,0.827,0.300,0.425,0.763,0.720,0.660
adv-voting-fair_reg-group-1,0.659,0.806,0.110,0.409,0.810,0.640,0.340
adv-voting-fair_reg-delta,0.074,0.020,0.191,0.016,-0.047,0.080,0.080
adv-voting-fair_pp-all,0.797,0.812,0.236,0.133,0.351,0.934,0.225
adv-voting-fair_pp-group-0,0.764,0.826,0.300,0.139,0.340,0.947,0.660
adv-voting-fair_pp-group-1,0.859,0.807,0.110,0.121,0.409,0.914,0.340
adv-voting-fair_pp-delta,-0.094,0.018,0.191,0.018,-0.070,0.032,0.070
adv-voting-fair_adv-all,0.810,0.837,0.236,0.140,0.392,0.938,0.310
adv-voting-fair_adv-group-0,0.769,0.826,0.300,0.182,0.419,0.919,0.660
adv-voting-fair_adv-group-1,0.889,0.809,0.110,0.057,0.250,0.967,0.340
adv-voting-fair_adv-delta,-0.119,0.017,0.191,0.126,0.169,-0.048,0.169
adv-voting-fair_resample-all,0.804,0.823,0.236,0.137,0.375,0.936,0.371
adv-voting-fair_resample-group-0,0.768,0.825,0.300,0.161,0.382,0.934,0.660
adv-voting-fair_resample-group-1,0.873,0.809,0.110,0.092,0.341,0.939,0.340
adv-voting-fair_resample-delta,-0.105,0.016,0.191,0.069,0.041,-0.005,0.041
adv-TERM-all,0.806,0.788,0.236,0.077,0.252,0.977,0.000
adv-TERM-group-0,0.761,0.764,0.300,0.113,0.290,0.963,0.660
adv-TERM-group-1,0.894,0.756,0.110,0.008,0.055,0.998,0.340
adv-TERM-delta,-0.133,0.008,0.191,0.104,0.235,-0.034,0.235
adv-TERM-fair_pp-all,0.799,0.749,0.236,0.124,0.336,0.942,0.000
adv-TERM-fair_pp-group-0,0.766,0.764,0.300,0.131,0.328,0.953,0.660
adv-TERM-fair_pp-group-1,0.864,0.755,0.110,0.109,0.379,0.924,0.340
adv-TERM-fair_pp-delta,-0.099,0.008,0.191,0.022,-0.051,0.029,0.051
adv-TERM-fair_resample-all,0.796,0.687,0.236,0.065,0.205,0.978,0.000
adv-TERM-fair_resample-group-0,0.746,0.684,0.300,0.075,0.201,0.979,0.660
adv-TERM-fair_resample-group-1,0.894,0.698,0.110,0.046,0.225,0.976,0.340
adv-TERM-fair_resample-delta,-0.148,-0.014,0.191,0.029,-0.024,0.003,0.024
adv-DRO-fair_reg-all,0.788,0.763,0.236,0.051,0.159,0.982,0.000
adv-DRO-fair_reg-group-0,0.737,0.745,0.300,0.070,0.178,0.976,0.660
adv-DRO-fair_reg-group-1,0.888,0.742,0.110,0.014,0.055,0.991,0.340
adv-DRO-fair_reg-delta,-0.151,0.003,0.191,0.056,0.123,-0.014,0.123
