method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.660,0.711,0.450,0.369,0.532,0.764,0.000
original-group-0,0.659,0.718,0.463,0.425,0.591,0.718,0.817
original-group-1,0.664,0.679,0.394,0.119,0.225,0.949,0.183
original-delta,-0.005,0.039,0.069,0.306,0.366,-0.231,0.366
original-fair_reg-all,0.650,0.708,0.450,0.466,0.629,0.667,0.000
original-fair_reg-group-0,0.657,0.717,0.463,0.455,0.621,0.688,0.817
original-fair_reg-group-1,0.619,0.679,0.394,0.518,0.674,0.584,0.183
original-fair_reg-delta,0.038,0.038,0.069,-0.063,-0.053,0.104,0.104
original-fair_pp-all,0.652,0.706,0.450,0.444,0.606,0.689,0.000
original-fair_pp-group-0,0.659,0.718,0.463,0.425,0.591,0.718,0.817
original-fair_pp-group-1,0.619,0.679,0.394,0.527,0.685,0.577,0.183
original-fair_pp-delta,0.040,0.039,0.069,-0.101,-0.094,0.141,0.141
original-fair_adv-all,0.665,0.713,0.450,0.351,0.518,0.785,0.000
original-fair_adv-group-0,0.662,0.718,0.463,0.381,0.546,0.762,0.817
original-fair_adv-group-1,0.677,0.679,0.394,0.221,0.371,0.876,0.183
original-fair_adv-delta,-0.015,0.039,0.069,0.159,0.175,-0.114,0.175
original-fair_resample-all,0.655,0.704,0.450,0.381,0.540,0.750,0.000
original-fair_resample-group-0,0.663,0.711,0.463,0.378,0.544,0.766,0.817
original-fair_resample-group-1,0.619,0.679,0.394,0.394,0.517,0.686,0.183
original-fair_resample-delta,0.044,0.032,0.069,-0.016,0.027,0.080,0.080
adv-clean-all,0.665,0.712,0.450,0.392,0.563,0.748,0.000
adv-clean-group-0,0.664,0.718,0.463,0.446,0.619,0.703,0.817
adv-clean-group-1,0.668,0.677,0.394,0.150,0.270,0.927,0.183
adv-clean-delta,-0.004,0.040,0.069,0.296,0.349,-0.224,0.349
adv-clean-fair_reg-all,0.657,0.709,0.450,0.460,0.629,0.679,0.000
adv-clean-fair_reg-group-0,0.664,0.717,0.463,0.450,0.623,0.699,0.817
adv-clean-fair_reg-group-1,0.624,0.677,0.394,0.504,0.663,0.599,0.183
adv-clean-fair_reg-delta,0.040,0.040,0.069,-0.054,-0.040,0.101,0.101
adv-clean-fair_pp-all,0.660,0.710,0.450,0.335,0.495,0.795,0.000
adv-clean-fair_pp-group-0,0.665,0.718,0.463,0.336,0.501,0.806,0.817
adv-clean-fair_pp-group-1,0.637,0.677,0.394,0.332,0.461,0.752,0.183
adv-clean-fair_pp-delta,0.028,0.040,0.069,0.004,0.040,0.054,0.054
adv-clean-fair_adv-all,0.661,0.713,0.450,0.380,0.545,0.756,0.000
adv-clean-fair_adv-group-0,0.660,0.718,0.463,0.402,0.567,0.740,0.817
adv-clean-fair_adv-group-1,0.664,0.678,0.394,0.279,0.427,0.818,0.183
adv-clean-fair_adv-delta,-0.004,0.040,0.069,0.124,0.140,-0.078,0.140
adv-clean-fair_resample-all,0.656,0.708,0.450,0.406,0.568,0.728,0.000
adv-clean-fair_resample-group-0,0.666,0.715,0.463,0.396,0.567,0.751,0.817
adv-clean-fair_resample-group-1,0.611,0.679,0.394,0.447,0.573,0.635,0.183
adv-clean-fair_resample-delta,0.055,0.036,0.069,-0.050,-0.006,0.116,0.116
adv-all-all,0.635,0.685,0.450,0.339,0.471,0.769,0.000
adv-all-group-0,0.647,0.717,0.463,0.269,0.409,0.852,0.817
adv-all-group-1,0.580,0.677,0.394,0.655,0.798,0.438,0.183
adv-all-delta,0.068,0.040,0.069,-0.386,-0.389,0.414,0.414
adv-all-fair_reg-all,0.655,0.713,0.450,0.465,0.633,0.673,0.000
adv-all-fair_reg-group-0,0.660,0.717,0.463,0.484,0.655,0.664,0.817
adv-all-fair_reg-group-1,0.633,0.677,0.394,0.381,0.517,0.708,0.183
adv-all-fair_reg-delta,0.027,0.040,0.069,0.103,0.138,-0.044,0.138
adv-all-fair_pp-all,0.654,0.713,0.450,0.409,0.570,0.723,0.000
adv-all-fair_pp-group-0,0.654,0.717,0.463,0.436,0.597,0.703,0.817
adv-all-fair_pp-group-1,0.655,0.677,0.394,0.288,0.427,0.803,0.183
adv-all-fair_pp-delta,-0.001,0.040,0.069,0.148,0.170,-0.100,0.170
adv-all-fair_adv-all,0.658,0.708,0.450,0.392,0.556,0.742,0.000
adv-all-fair_adv-group-0,0.668,0.717,0.463,0.381,0.552,0.768,0.817
adv-all-fair_adv-group-1,0.615,0.677,0.394,0.442,0.573,0.642,0.183
adv-all-fair_adv-delta,0.053,0.040,0.069,-0.062,-0.021,0.125,0.125
adv-all-fair_resample-all,0.658,0.707,0.450,0.342,0.500,0.788,0.000
adv-all-fair_resample-group-0,0.662,0.713,0.463,0.353,0.516,0.788,0.817
adv-all-fair_resample-group-1,0.642,0.678,0.394,0.292,0.416,0.788,0.183
adv-all-fair_resample-delta,0.020,0.035,0.069,0.061,0.100,-0.000,0.100
adv-konstantinov-all,0.635,0.685,0.450,0.339,0.471,0.769,0.400
adv-konstantinov-group-0,0.647,0.717,0.463,0.269,0.409,0.852,0.817
adv-konstantinov-group-1,0.580,0.677,0.394,0.655,0.798,0.438,0.183
adv-konstantinov-delta,0.068,0.040,0.069,-0.386,-0.389,0.414,0.414
adv-konstantinov-fair_reg-all,0.655,0.713,0.450,0.465,0.633,0.673,0.000
adv-konstantinov-fair_reg-group-0,0.660,0.717,0.463,0.484,0.655,0.664,0.817
adv-konstantinov-fair_reg-group-1,0.633,0.677,0.394,0.381,0.517,0.708,0.183
adv-konstantinov-fair_reg-delta,0.027,0.040,0.069,0.103,0.138,-0.044,0.138
adv-konstantinov-fair_pp-all,0.654,0.713,0.450,0.409,0.570,0.723,0.000
adv-konstantinov-fair_pp-group-0,0.654,0.717,0.463,0.436,0.597,0.703,0.817
adv-konstantinov-fair_pp-group-1,0.655,0.677,0.394,0.288,0.427,0.803,0.183
adv-konstantinov-fair_pp-delta,-0.001,0.040,0.069,0.148,0.170,-0.100,0.170
adv-konstantinov-fair_adv-all,0.658,0.708,0.450,0.392,0.556,0.742,0.000
adv-konstantinov-fair_adv-group-0,0.668,0.717,0.463,0.381,0.552,0.768,0.817
adv-konstantinov-fair_adv-group-1,0.615,0.677,0.394,0.442,0.573,0.642,0.183
adv-konstantinov-fair_adv-delta,0.053,0.040,0.069,-0.062,-0.021,0.125,0.125
adv-konstantinov-fair_resample-all,0.659,0.711,0.450,0.378,0.541,0.756,0.000
adv-konstantinov-fair_resample-group-0,0.668,0.717,0.463,0.385,0.557,0.764,0.817
adv-konstantinov-fair_resample-group-1,0.619,0.679,0.394,0.350,0.461,0.723,0.183
adv-konstantinov-fair_resample-delta,0.049,0.038,0.069,0.035,0.096,0.041,0.096
adv-selected-all,0.665,0.712,0.450,0.392,0.563,0.748,0.000
adv-selected-group-0,0.664,0.718,0.463,0.446,0.619,0.703,0.817
adv-selected-group-1,0.668,0.677,0.394,0.150,0.270,0.927,0.183
adv-selected-delta,-0.004,0.040,0.069,0.296,0.349,-0.224,0.349
adv-selected-fair_reg-all,0.657,0.709,0.450,0.460,0.629,0.679,0.000
adv-selected-fair_reg-group-0,0.664,0.717,0.463,0.450,0.623,0.699,0.817
adv-selected-fair_reg-group-1,0.624,0.677,0.394,0.504,0.663,0.599,0.183
adv-selected-fair_reg-delta,0.040,0.040,0.069,-0.054,-0.040,0.101,0.101
adv-selected-fair_pp-all,0.660,0.710,0.450,0.335,0.495,0.795,0.000
adv-selected-fair_pp-group-0,0.665,0.718,0.463,0.336,0.501,0.806,0.817
adv-selected-fair_pp-group-1,0.637,0.677,0.394,0.332,0.461,0.752,0.183
adv-selected-fair_pp-delta,0.028,0.040,0.069,0.004,0.040,0.054,0.054
adv-selected-fair_adv-all,0.661,0.713,0.450,0.380,0.545,0.756,0.333
adv-selected-fair_adv-group-0,0.660,0.718,0.463,0.402,0.567,0.740,0.817
adv-selected-fair_adv-group-1,0.664,0.678,0.394,0.279,0.427,0.818,0.183
adv-selected-fair_adv-delta,-0.004,0.040,0.069,0.124,0.140,-0.078,0.140
adv-selected-fair_resample-all,0.658,0.706,0.450,0.398,0.563,0.736,0.000
adv-selected-fair_resample-group-0,0.662,0.712,0.463,0.392,0.559,0.751,0.817
adv-selected-fair_resample-group-1,0.642,0.688,0.394,0.425,0.584,0.679,0.183
adv-selected-fair_resample-delta,0.020,0.024,0.069,-0.032,-0.025,0.072,0.072
adv-voting-all,0.657,0.710,0.450,0.368,0.527,0.763,0.338
adv-voting-group-0,0.657,0.715,0.463,0.405,0.567,0.734,0.817
adv-voting-group-1,0.655,0.675,0.394,0.199,0.315,0.876,0.183
adv-voting-delta,0.002,0.040,0.069,0.206,0.253,-0.142,0.253
adv-voting-fair_reg-all,0.648,0.706,0.450,0.446,0.604,0.683,0.185
adv-voting-fair_reg-group-0,0.655,0.716,0.463,0.431,0.593,0.708,0.817
adv-voting-fair_reg-group-1,0.615,0.676,0.394,0.513,0.663,0.584,0.183
adv-voting-fair_reg-delta,0.040,0.040,0.069,-0.082,-0.070,0.125,0.125
adv-voting-fair_pp-all,0.654,0.707,0.450,0.333,0.486,0.792,0.117
adv-voting-fair_pp-group-0,0.660,0.716,0.463,0.327,0.486,0.810,0.817
adv-voting-fair_pp-group-1,0.628,0.676,0.394,0.358,0.483,0.723,0.183
adv-voting-fair_pp-delta,0.032,0.040,0.069,-0.031,0.003,0.087,0.087
adv-voting-fair_adv-all,0.663,0.710,0.450,0.356,0.522,0.779,0.252
adv-voting-fair_adv-group-0,0.665,0.717,0.463,0.372,0.540,0.773,0.817
adv-voting-fair_adv-group-1,0.655,0.675,0.394,0.288,0.427,0.803,0.183
adv-voting-fair_adv-delta,0.010,0.042,0.069,0.084,0.113,-0.030,0.113
adv-voting-fair_resample-all,0.654,0.708,0.450,0.360,0.516,0.767,0.227
adv-voting-fair_resample-group-0,0.663,0.719,0.463,0.342,0.505,0.799,0.817
adv-voting-fair_resample-group-1,0.615,0.670,0.394,0.442,0.573,0.642,0.183
adv-voting-fair_resample-delta,0.048,0.048,0.069,-0.101,-0.068,0.157,0.157
adv-TERM-all,0.635,0.661,0.450,0.240,0.362,0.859,0.000
adv-TERM-group-0,0.628,0.670,0.463,0.224,0.340,0.876,0.817
adv-TERM-group-1,0.664,0.644,0.394,0.314,0.472,0.788,0.183
adv-TERM-delta,-0.035,0.026,0.069,-0.090,-0.131,0.088,0.131
adv-TERM-fair_pp-all,0.666,0.687,0.450,0.326,0.491,0.809,0.000
adv-TERM-fair_pp-group-0,0.667,0.694,0.463,0.358,0.527,0.788,0.817
adv-TERM-fair_pp-group-1,0.659,0.632,0.394,0.186,0.303,0.891,0.183
adv-TERM-fair_pp-delta,0.008,0.062,0.069,0.172,0.223,-0.103,0.223
adv-TERM-fair_resample-all,0.646,0.629,0.450,0.244,0.378,0.866,0.000
adv-TERM-fair_resample-group-0,0.641,0.633,0.463,0.263,0.396,0.852,0.817
adv-TERM-fair_resample-group-1,0.668,0.595,0.394,0.159,0.281,0.920,0.183
adv-TERM-fair_resample-delta,-0.027,0.038,0.069,0.103,0.115,-0.067,0.115
adv-DRO-fair_reg-all,0.551,0.663,0.450,0.003,0.005,0.999,0.000
adv-DRO-fair_reg-group-0,0.539,0.668,0.463,0.004,0.006,0.998,0.817
adv-DRO-fair_reg-group-1,0.606,0.645,0.394,0.000,0.000,1.000,0.183
adv-DRO-fair_reg-delta,-0.067,0.024,0.069,0.004,0.006,-0.002,0.006
