method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.670,0.727,0.481,0.379,0.551,0.780,0.000
original-group-0,0.676,0.732,0.503,0.443,0.619,0.734,0.785
original-group-1,0.645,0.698,0.400,0.143,0.236,0.918,0.215
original-delta,0.031,0.035,0.103,0.300,0.383,-0.184,0.383
original-fair_reg-all,0.680,0.722,0.481,0.474,0.660,0.699,0.000
original-fair_reg-group-0,0.687,0.732,0.503,0.476,0.662,0.712,0.785
original-fair_reg-group-1,0.657,0.698,0.400,0.464,0.651,0.660,0.215
original-fair_reg-delta,0.030,0.034,0.103,0.012,0.011,0.051,0.051
original-fair_pp-all,0.675,0.720,0.481,0.474,0.655,0.694,0.000
original-fair_pp-group-0,0.681,0.732,0.503,0.467,0.648,0.716,0.785
original-fair_pp-group-1,0.653,0.698,0.400,0.498,0.689,0.629,0.215
original-fair_pp-delta,0.029,0.035,0.103,-0.031,-0.041,0.087,0.087
original-fair_adv-all,0.679,0.728,0.481,0.360,0.540,0.807,0.000
original-fair_adv-group-0,0.680,0.732,0.503,0.396,0.576,0.786,0.785
original-fair_adv-group-1,0.672,0.697,0.400,0.230,0.377,0.868,0.215
original-fair_adv-delta,0.009,0.036,0.103,0.166,0.198,-0.082,0.198
original-fair_resample-all,0.666,0.722,0.481,0.370,0.537,0.785,0.000
original-fair_resample-group-0,0.666,0.730,0.503,0.379,0.545,0.788,0.785
original-fair_resample-group-1,0.664,0.697,0.400,0.336,0.500,0.774,0.215
original-fair_resample-delta,0.002,0.033,0.103,0.044,0.045,0.015,0.045
adv-clean-all,0.675,0.728,0.481,0.385,0.562,0.780,0.000
adv-clean-group-0,0.680,0.733,0.503,0.447,0.627,0.734,0.785
adv-clean-group-1,0.657,0.701,0.400,0.155,0.264,0.918,0.215
adv-clean-delta,0.024,0.032,0.103,0.293,0.363,-0.184,0.363
adv-clean-fair_reg-all,0.679,0.722,0.481,0.472,0.657,0.699,0.000
adv-clean-fair_reg-group-0,0.688,0.733,0.503,0.467,0.654,0.722,0.785
adv-clean-fair_reg-group-1,0.645,0.701,0.400,0.491,0.670,0.629,0.215
adv-clean-fair_reg-delta,0.042,0.032,0.103,-0.024,-0.016,0.093,0.093
adv-clean-fair_pp-all,0.670,0.723,0.481,0.380,0.552,0.780,0.000
adv-clean-fair_pp-group-0,0.675,0.733,0.503,0.374,0.549,0.803,0.785
adv-clean-fair_pp-group-1,0.653,0.701,0.400,0.400,0.566,0.711,0.215
adv-clean-fair_pp-delta,0.022,0.032,0.103,-0.026,-0.017,0.092,0.092
adv-clean-fair_adv-all,0.666,0.730,0.481,0.327,0.493,0.827,0.000
adv-clean-fair_adv-group-0,0.668,0.733,0.503,0.355,0.523,0.815,0.785
adv-clean-fair_adv-group-1,0.660,0.701,0.400,0.226,0.358,0.862,0.215
adv-clean-fair_adv-delta,0.008,0.032,0.103,0.128,0.164,-0.046,0.164
adv-clean-fair_resample-all,0.658,0.719,0.481,0.416,0.577,0.733,0.000
adv-clean-fair_resample-group-0,0.660,0.728,0.503,0.421,0.580,0.741,0.785
adv-clean-fair_resample-group-1,0.653,0.696,0.400,0.400,0.566,0.711,0.215
adv-clean-fair_resample-delta,0.007,0.032,0.103,0.021,0.014,0.030,0.030
adv-all-all,0.577,0.687,0.481,0.687,0.774,0.393,0.000
adv-all-group-0,0.566,0.728,0.503,0.871,0.934,0.193,0.785
adv-all-group-1,0.615,0.691,0.400,0.015,0.038,1.000,0.215
adv-all-delta,-0.049,0.037,0.103,0.856,0.897,-0.807,0.897
adv-all-fair_reg-all,0.659,0.716,0.481,0.529,0.695,0.626,0.000
adv-all-fair_reg-group-0,0.673,0.729,0.503,0.514,0.686,0.660,0.785
adv-all-fair_reg-group-1,0.608,0.694,0.400,0.581,0.736,0.522,0.215
adv-all-fair_reg-delta,0.066,0.036,0.103,-0.067,-0.049,0.138,0.138
adv-all-fair_pp-all,0.630,0.716,0.481,0.666,0.808,0.465,0.000
adv-all-fair_pp-group-0,0.641,0.728,0.503,0.664,0.803,0.477,0.785
adv-all-fair_pp-group-1,0.589,0.691,0.400,0.675,0.830,0.428,0.215
adv-all-fair_pp-delta,0.053,0.037,0.103,-0.012,-0.027,0.050,0.050
adv-all-fair_adv-all,0.628,0.702,0.481,0.555,0.690,0.569,0.000
adv-all-fair_adv-group-0,0.629,0.727,0.503,0.691,0.818,0.438,0.785
adv-all-fair_adv-group-1,0.623,0.687,0.400,0.060,0.104,0.969,0.215
adv-all-fair_adv-delta,0.006,0.039,0.103,0.630,0.714,-0.531,0.714
adv-all-fair_resample-all,0.672,0.722,0.481,0.517,0.697,0.649,0.000
adv-all-fair_resample-group-0,0.678,0.728,0.503,0.540,0.717,0.639,0.785
adv-all-fair_resample-group-1,0.649,0.694,0.400,0.434,0.604,0.679,0.215
adv-all-fair_resample-delta,0.029,0.034,0.103,0.106,0.113,-0.040,0.113
adv-konstantinov-all,0.577,0.687,0.481,0.687,0.774,0.393,0.400
adv-konstantinov-group-0,0.566,0.728,0.503,0.871,0.934,0.193,0.785
adv-konstantinov-group-1,0.615,0.691,0.400,0.015,0.038,1.000,0.215
adv-konstantinov-delta,-0.049,0.037,0.103,0.856,0.897,-0.807,0.897
adv-konstantinov-fair_reg-all,0.659,0.716,0.481,0.529,0.695,0.626,0.000
adv-konstantinov-fair_reg-group-0,0.673,0.729,0.503,0.514,0.686,0.660,0.785
adv-konstantinov-fair_reg-group-1,0.608,0.694,0.400,0.581,0.736,0.522,0.215
adv-konstantinov-fair_reg-delta,0.066,0.036,0.103,-0.067,-0.049,0.138,0.138
adv-konstantinov-fair_pp-all,0.630,0.716,0.481,0.666,0.808,0.465,0.000
adv-konstantinov-fair_pp-group-0,0.641,0.728,0.503,0.664,0.803,0.477,0.785
adv-konstantinov-fair_pp-group-1,0.589,0.691,0.400,0.675,0.830,0.428,0.215
adv-konstantinov-fair_pp-delta,0.053,0.037,0.103,-0.012,-0.027,0.050,0.050
adv-konstantinov-fair_adv-all,0.628,0.702,0.481,0.555,0.690,0.569,0.000
adv-konstantinov-fair_adv-group-0,0.629,0.727,0.503,0.691,0.818,0.438,0.785
adv-konstantinov-fair_adv-group-1,0.623,0.687,0.400,0.060,0.104,0.969,0.215
adv-konstantinov-fair_adv-delta,0.006,0.039,0.103,0.630,0.714,-0.531,0.714
adv-konstantinov-fair_resample-all,0.670,0.725,0.481,0.504,0.680,0.660,0.000
adv-konstantinov-fair_resample-group-0,0.676,0.731,0.503,0.515,0.691,0.662,0.785
adv-konstantinov-fair_resample-group-1,0.645,0.699,0.400,0.460,0.632,0.654,0.215
adv-konstantinov-fair_resample-delta,0.031,0.032,0.103,0.055,0.058,0.008,0.058
adv-selected-all,0.675,0.728,0.481,0.385,0.562,0.780,0.000
adv-selected-group-0,0.680,0.733,0.503,0.447,0.627,0.734,0.785
adv-selected-group-1,0.657,0.701,0.400,0.155,0.264,0.918,0.215
adv-selected-delta,0.024,0.032,0.103,0.293,0.363,-0.184,0.363
adv-selected-fair_reg-all,0.679,0.722,0.481,0.472,0.657,0.699,0.000
adv-selected-fair_reg-group-0,0.688,0.733,0.503,0.467,0.654,0.722,0.785
adv-selected-fair_reg-group-1,0.645,0.701,0.400,0.491,0.670,0.629,0.215
adv-selected-fair_reg-delta,0.042,0.032,0.103,-0.024,-0.016,0.093,0.093
adv-selected-fair_pp-all,0.670,0.723,0.481,0.380,0.552,0.780,0.000
adv-selected-fair_pp-group-0,0.675,0.733,0.503,0.374,0.549,0.803,0.785
adv-selected-fair_pp-group-1,0.653,0.701,0.400,0.400,0.566,0.711,0.215
adv-selected-fair_pp-delta,0.022,0.032,0.103,-0.026,-0.017,0.092,0.092
adv-selected-fair_adv-all,0.666,0.730,0.481,0.327,0.493,0.827,0.000
adv-selected-fair_adv-group-0,0.668,0.733,0.503,0.355,0.523,0.815,0.785
adv-selected-fair_adv-group-1,0.660,0.701,0.400,0.226,0.358,0.862,0.215
adv-selected-fair_adv-delta,0.008,0.032,0.103,0.128,0.164,-0.046,0.164
adv-selected-fair_resample-all,0.653,0.718,0.481,0.350,0.503,0.793,0.000
adv-selected-fair_resample-group-0,0.653,0.728,0.503,0.339,0.492,0.815,0.785
adv-selected-fair_resample-group-1,0.657,0.699,0.400,0.389,0.557,0.723,0.215
adv-selected-fair_resample-delta,-0.004,0.030,0.103,-0.050,-0.065,0.092,0.092
adv-voting-all,0.672,0.717,0.481,0.402,0.577,0.760,0.002
adv-voting-group-0,0.681,0.731,0.503,0.488,0.668,0.695,0.785
adv-voting-group-1,0.638,0.700,0.400,0.091,0.160,0.956,0.215
adv-voting-delta,0.044,0.031,0.103,0.397,0.508,-0.261,0.508
adv-voting-fair_reg-all,0.678,0.726,0.481,0.500,0.685,0.671,0.006
adv-voting-fair_reg-group-0,0.685,0.733,0.503,0.513,0.697,0.672,0.785
adv-voting-fair_reg-group-1,0.653,0.705,0.400,0.453,0.632,0.667,0.215
adv-voting-fair_reg-delta,0.032,0.028,0.103,0.061,0.065,0.006,0.065
adv-voting-fair_pp-all,0.671,0.718,0.481,0.504,0.682,0.661,0.077
adv-voting-fair_pp-group-0,0.686,0.735,0.503,0.479,0.664,0.707,0.785
adv-voting-fair_pp-group-1,0.619,0.693,0.400,0.592,0.764,0.522,0.215
adv-voting-fair_pp-delta,0.067,0.042,0.103,-0.113,-0.100,0.185,0.185
adv-voting-fair_adv-all,0.677,0.729,0.481,0.383,0.562,0.783,0.011
adv-voting-fair_adv-group-0,0.681,0.732,0.503,0.442,0.623,0.741,0.785
adv-voting-fair_adv-group-1,0.660,0.699,0.400,0.166,0.283,0.912,0.215
adv-voting-fair_adv-delta,0.021,0.033,0.103,0.276,0.340,-0.171,0.340
adv-voting-fair_resample-all,0.683,0.727,0.481,0.444,0.631,0.730,0.000
adv-voting-fair_resample-group-0,0.681,0.728,0.503,0.488,0.668,0.695,0.785
adv-voting-fair_resample-group-1,0.687,0.705,0.400,0.283,0.462,0.836,0.215
adv-voting-fair_resample-delta,-0.005,0.023,0.103,0.205,0.206,-0.141,0.206
adv-TERM-all,0.638,0.656,0.481,0.516,0.660,0.618,0.000
adv-TERM-group-0,0.644,0.674,0.503,0.648,0.791,0.496,0.785
adv-TERM-group-1,0.615,0.536,0.400,0.030,0.057,0.987,0.215
adv-TERM-delta,0.029,0.139,0.103,0.618,0.734,-0.492,0.734
adv-TERM-fair_pp-all,0.620,0.659,0.481,0.550,0.677,0.568,0.000
adv-TERM-fair_pp-group-0,0.619,0.674,0.503,0.689,0.805,0.429,0.785
adv-TERM-fair_pp-group-1,0.626,0.555,0.400,0.042,0.085,0.987,0.215
adv-TERM-fair_pp-delta,-0.008,0.120,0.103,0.647,0.720,-0.558,0.720
adv-TERM-fair_resample-all,0.647,0.673,0.481,0.243,0.386,0.889,0.000
adv-TERM-fair_resample-group-0,0.647,0.688,0.503,0.282,0.430,0.867,0.785
adv-TERM-fair_resample-group-1,0.645,0.585,0.400,0.098,0.179,0.956,0.215
adv-TERM-fair_resample-delta,0.002,0.103,0.103,0.184,0.251,-0.089,0.251
adv-DRO-fair_reg-all,0.598,0.704,0.481,0.750,0.862,0.354,0.000
adv-DRO-fair_reg-group-0,0.592,0.703,0.503,0.802,0.891,0.288,0.785
adv-DRO-fair_reg-group-1,0.623,0.706,0.400,0.558,0.726,0.553,0.215
adv-DRO-fair_reg-delta,-0.031,-0.002,0.103,0.244,0.165,-0.265,0.265
