method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.664,0.722,0.447,0.370,0.538,0.766,0.000
original-group-0,0.648,0.715,0.474,0.420,0.571,0.716,0.825
original-group-1,0.741,0.701,0.319,0.134,0.304,0.946,0.175
original-delta,-0.093,0.014,0.155,0.286,0.267,-0.229,0.267
original-fair_reg-all,0.652,0.710,0.447,0.440,0.603,0.691,0.000
original-fair_reg-group-0,0.655,0.715,0.474,0.447,0.607,0.698,0.825
original-fair_reg-group-1,0.639,0.701,0.319,0.412,0.580,0.667,0.175
original-fair_reg-delta,0.016,0.014,0.155,0.034,0.027,0.031,0.031
original-fair_pp-all,0.648,0.705,0.447,0.451,0.611,0.678,0.000
original-fair_pp-group-0,0.653,0.715,0.474,0.445,0.602,0.698,0.825
original-fair_pp-group-1,0.625,0.701,0.319,0.481,0.667,0.605,0.175
original-fair_pp-delta,0.028,0.014,0.155,-0.037,-0.064,0.092,0.092
original-fair_adv-all,0.653,0.718,0.447,0.377,0.533,0.750,0.000
original-fair_adv-group-0,0.645,0.715,0.474,0.401,0.549,0.731,0.825
original-fair_adv-group-1,0.690,0.701,0.319,0.259,0.420,0.816,0.175
original-fair_adv-delta,-0.045,0.015,0.155,0.142,0.128,-0.085,0.128
original-fair_resample-all,0.639,0.709,0.447,0.389,0.531,0.726,0.000
original-fair_resample-group-0,0.636,0.714,0.474,0.396,0.534,0.728,0.825
original-fair_resample-group-1,0.653,0.697,0.319,0.352,0.507,0.721,0.175
original-fair_resample-delta,-0.017,0.017,0.155,0.045,0.027,0.007,0.027
adv-clean-all,0.662,0.721,0.447,0.378,0.545,0.757,0.000
adv-clean-group-0,0.645,0.715,0.474,0.423,0.571,0.711,0.825
adv-clean-group-1,0.745,0.698,0.319,0.167,0.362,0.925,0.175
adv-clean-delta,-0.101,0.017,0.155,0.256,0.209,-0.214,0.214
adv-clean-fair_reg-all,0.653,0.708,0.447,0.447,0.612,0.687,0.000
adv-clean-fair_reg-group-0,0.653,0.715,0.474,0.450,0.609,0.692,0.825
adv-clean-fair_reg-group-1,0.657,0.699,0.319,0.431,0.638,0.667,0.175
adv-clean-fair_reg-delta,-0.005,0.017,0.155,0.020,-0.029,0.025,0.029
adv-clean-fair_pp-all,0.653,0.708,0.447,0.456,0.621,0.678,0.000
adv-clean-fair_pp-group-0,0.656,0.715,0.474,0.457,0.619,0.688,0.825
adv-clean-fair_pp-group-1,0.639,0.698,0.319,0.449,0.638,0.639,0.175
adv-clean-fair_pp-delta,0.017,0.017,0.155,0.008,-0.019,0.049,0.049
adv-clean-fair_adv-all,0.649,0.717,0.447,0.377,0.529,0.747,0.000
adv-clean-fair_adv-group-0,0.645,0.715,0.474,0.395,0.542,0.737,0.825
adv-clean-fair_adv-group-1,0.671,0.697,0.319,0.287,0.435,0.782,0.175
adv-clean-fair_adv-delta,-0.027,0.018,0.155,0.108,0.108,-0.045,0.108
adv-clean-fair_resample-all,0.648,0.711,0.447,0.380,0.531,0.742,0.000
adv-clean-fair_resample-group-0,0.645,0.717,0.474,0.382,0.528,0.750,0.825
adv-clean-fair_resample-group-1,0.662,0.698,0.319,0.370,0.551,0.714,0.175
adv-clean-fair_resample-delta,-0.017,0.018,0.155,0.011,-0.023,0.036,0.036
adv-all-all,0.580,0.644,0.447,0.224,0.281,0.821,0.000
adv-all-group-0,0.592,0.714,0.474,0.121,0.197,0.948,0.825
adv-all-group-1,0.523,0.700,0.319,0.713,0.870,0.361,0.175
adv-all-delta,0.069,0.014,0.155,-0.592,-0.673,0.587,0.673
adv-all-fair_reg-all,0.655,0.716,0.447,0.440,0.607,0.694,0.000
adv-all-fair_reg-group-0,0.655,0.715,0.474,0.462,0.623,0.683,0.825
adv-all-fair_reg-group-1,0.657,0.701,0.319,0.338,0.493,0.735,0.175
adv-all-fair_reg-delta,-0.003,0.013,0.155,0.124,0.130,-0.052,0.130
adv-all-fair_pp-all,0.655,0.716,0.447,0.274,0.420,0.845,0.000
adv-all-fair_pp-group-0,0.642,0.714,0.474,0.292,0.431,0.832,0.825
adv-all-fair_pp-group-1,0.718,0.700,0.319,0.185,0.348,0.891,0.175
adv-all-fair_pp-delta,-0.076,0.014,0.155,0.107,0.083,-0.059,0.083
adv-all-fair_adv-all,0.650,0.703,0.447,0.256,0.395,0.857,0.000
adv-all-fair_adv-group-0,0.647,0.716,0.474,0.248,0.389,0.879,0.825
adv-all-fair_adv-group-1,0.667,0.700,0.319,0.292,0.435,0.776,0.175
adv-all-fair_adv-delta,-0.020,0.016,0.155,-0.043,-0.046,0.103,0.103
adv-all-fair_resample-all,0.650,0.705,0.447,0.217,0.351,0.892,0.000
adv-all-fair_resample-group-0,0.634,0.710,0.474,0.224,0.350,0.890,0.825
adv-all-fair_resample-group-1,0.727,0.679,0.319,0.185,0.362,0.898,0.175
adv-all-fair_resample-delta,-0.093,0.032,0.155,0.039,-0.012,-0.008,0.012
adv-konstantinov-all,0.580,0.644,0.447,0.224,0.281,0.821,0.400
adv-konstantinov-group-0,0.592,0.714,0.474,0.121,0.197,0.948,0.825
adv-konstantinov-group-1,0.523,0.700,0.319,0.713,0.870,0.361,0.175
adv-konstantinov-delta,0.069,0.014,0.155,-0.592,-0.673,0.587,0.673
adv-konstantinov-fair_reg-all,0.655,0.716,0.447,0.440,0.607,0.694,0.000
adv-konstantinov-fair_reg-group-0,0.655,0.715,0.474,0.462,0.623,0.683,0.825
adv-konstantinov-fair_reg-group-1,0.657,0.701,0.319,0.338,0.493,0.735,0.175
adv-konstantinov-fair_reg-delta,-0.003,0.013,0.155,0.124,0.130,-0.052,0.130
adv-konstantinov-fair_pp-all,0.655,0.716,0.447,0.274,0.420,0.845,0.000
adv-konstantinov-fair_pp-group-0,0.642,0.714,0.474,0.292,0.431,0.832,0.825
adv-konstantinov-fair_pp-group-1,0.718,0.700,0.319,0.185,0.348,0.891,0.175
adv-konstantinov-fair_pp-delta,-0.076,0.014,0.155,0.107,0.083,-0.059,0.083
adv-konstantinov-fair_adv-all,0.650,0.703,0.447,0.256,0.395,0.857,0.000
adv-konstantinov-fair_adv-group-0,0.647,0.716,0.474,0.248,0.389,0.879,0.825
adv-konstantinov-fair_adv-group-1,0.667,0.700,0.319,0.292,0.435,0.776,0.175
adv-konstantinov-fair_adv-delta,-0.020,0.016,0.155,-0.043,-0.046,0.103,0.103
adv-konstantinov-fair_resample-all,0.650,0.707,0.447,0.217,0.351,0.892,0.000
adv-konstantinov-fair_resample-group-0,0.636,0.713,0.474,0.224,0.352,0.892,0.825
adv-konstantinov-fair_resample-group-1,0.718,0.692,0.319,0.185,0.348,0.891,0.175
adv-konstantinov-fair_resample-delta,-0.082,0.021,0.155,0.039,0.004,0.001,0.004
adv-selected-all,0.662,0.721,0.447,0.378,0.545,0.757,0.000
adv-selected-group-0,0.645,0.715,0.474,0.423,0.571,0.711,0.825
adv-selected-group-1,0.745,0.698,0.319,0.167,0.362,0.925,0.175
adv-selected-delta,-0.101,0.017,0.155,0.256,0.209,-0.214,0.214
adv-selected-fair_reg-all,0.653,0.708,0.447,0.447,0.612,0.687,0.000
adv-selected-fair_reg-group-0,0.653,0.715,0.474,0.450,0.609,0.692,0.825
adv-selected-fair_reg-group-1,0.657,0.699,0.319,0.431,0.638,0.667,0.175
adv-selected-fair_reg-delta,-0.005,0.017,0.155,0.020,-0.029,0.025,0.029
adv-selected-fair_pp-all,0.646,0.704,0.447,0.454,0.612,0.673,0.000
adv-selected-fair_pp-group-0,0.651,0.715,0.474,0.448,0.605,0.692,0.825
adv-selected-fair_pp-group-1,0.625,0.698,0.319,0.481,0.667,0.605,0.175
adv-selected-fair_pp-delta,0.026,0.017,0.155,-0.033,-0.062,0.087,0.087
adv-selected-fair_adv-all,0.649,0.717,0.447,0.377,0.529,0.747,0.667
adv-selected-fair_adv-group-0,0.645,0.715,0.474,0.395,0.542,0.737,0.825
adv-selected-fair_adv-group-1,0.671,0.697,0.319,0.287,0.435,0.782,0.175
adv-selected-fair_adv-delta,-0.027,0.018,0.155,0.108,0.108,-0.045,0.108
adv-selected-fair_resample-all,0.642,0.708,0.447,0.395,0.542,0.723,0.000
adv-selected-fair_resample-group-0,0.642,0.712,0.474,0.406,0.551,0.724,0.825
adv-selected-fair_resample-group-1,0.644,0.695,0.319,0.343,0.478,0.721,0.175
adv-selected-fair_resample-delta,-0.002,0.017,0.155,0.064,0.072,0.003,0.072
adv-voting-all,0.653,0.716,0.447,0.356,0.511,0.769,0.000
adv-voting-group-0,0.653,0.714,0.474,0.368,0.522,0.771,0.825
adv-voting-group-1,0.657,0.701,0.319,0.301,0.435,0.762,0.175
adv-voting-delta,-0.005,0.013,0.155,0.067,0.087,0.009,0.087
adv-voting-fair_reg-all,0.645,0.695,0.447,0.406,0.558,0.716,0.000
adv-voting-fair_reg-group-0,0.650,0.714,0.474,0.387,0.538,0.750,0.825
adv-voting-fair_reg-group-1,0.625,0.701,0.319,0.500,0.696,0.592,0.175
adv-voting-fair_reg-delta,0.025,0.014,0.155,-0.113,-0.157,0.158,0.158
adv-voting-fair_pp-all,0.650,0.705,0.447,0.369,0.522,0.754,0.019
adv-voting-fair_pp-group-0,0.652,0.712,0.474,0.373,0.526,0.765,0.825
adv-voting-fair_pp-group-1,0.644,0.685,0.319,0.352,0.493,0.714,0.175
adv-voting-fair_pp-delta,0.008,0.028,0.155,0.021,0.033,0.051,0.051
adv-voting-fair_adv-all,0.646,0.707,0.447,0.334,0.478,0.782,0.000
adv-voting-fair_adv-group-0,0.646,0.713,0.474,0.328,0.472,0.802,0.825
adv-voting-fair_adv-group-1,0.648,0.707,0.319,0.366,0.522,0.707,0.175
adv-voting-fair_adv-delta,-0.002,0.006,0.155,-0.038,-0.050,0.095,0.095
adv-voting-fair_resample-all,0.635,0.683,0.447,0.278,0.402,0.823,0.000
adv-voting-fair_resample-group-0,0.638,0.717,0.474,0.234,0.364,0.884,0.825
adv-voting-fair_resample-group-1,0.620,0.685,0.319,0.486,0.667,0.599,0.175
adv-voting-fair_resample-delta,0.018,0.032,0.155,-0.253,-0.302,0.286,0.302
adv-TERM-all,0.553,0.321,0.447,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.526,0.334,0.474,0.000,0.000,1.000,0.825
adv-TERM-group-1,0.681,0.310,0.319,0.000,0.000,1.000,0.175
adv-TERM-delta,-0.155,0.024,0.155,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.535,0.323,0.447,0.040,0.025,0.947,0.000
adv-TERM-fair_pp-group-0,0.509,0.332,0.474,0.042,0.027,0.944,0.825
adv-TERM-fair_pp-group-1,0.657,0.307,0.319,0.032,0.014,0.959,0.175
adv-TERM-fair_pp-delta,-0.148,0.025,0.155,0.010,0.012,-0.015,0.015
adv-TERM-fair_resample-all,0.553,0.327,0.447,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.526,0.341,0.474,0.000,0.000,1.000,0.825
adv-TERM-fair_resample-group-1,0.681,0.307,0.319,0.000,0.000,1.000,0.175
adv-TERM-fair_resample-delta,-0.155,0.034,0.155,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.620,0.679,0.447,0.179,0.275,0.899,0.000
adv-DRO-fair_reg-group-0,0.602,0.704,0.474,0.156,0.244,0.924,0.825
adv-DRO-fair_reg-group-1,0.708,0.706,0.319,0.287,0.493,0.810,0.175
adv-DRO-fair_reg-delta,-0.107,-0.003,0.155,-0.131,-0.248,0.114,0.248
