method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.695,0.454,0.390,0.538,0.733,0.000
original-group-0,0.603,0.645,0.523,0.586,0.681,0.518,0.462
original-group-1,0.680,0.721,0.394,0.222,0.375,0.878,0.538
original-delta,-0.076,-0.077,0.129,0.365,0.306,-0.360,0.360
original-fair_reg-all,0.623,0.679,0.454,0.454,0.585,0.655,0.000
original-fair_reg-group-0,0.592,0.646,0.523,0.471,0.560,0.627,0.462
original-fair_reg-group-1,0.650,0.724,0.394,0.438,0.613,0.675,0.538
original-fair_reg-delta,-0.058,-0.078,0.129,0.033,-0.052,-0.048,0.052
original-fair_pp-all,0.634,0.672,0.454,0.411,0.550,0.704,0.000
original-fair_pp-group-0,0.615,0.645,0.523,0.402,0.516,0.723,0.462
original-fair_pp-group-1,0.650,0.721,0.394,0.419,0.588,0.691,0.538
original-fair_pp-delta,-0.035,-0.077,0.129,-0.016,-0.071,0.032,0.071
original-fair_adv-all,0.631,0.686,0.454,0.371,0.503,0.738,0.000
original-fair_adv-group-0,0.592,0.645,0.523,0.437,0.527,0.663,0.462
original-fair_adv-group-1,0.665,0.722,0.394,0.315,0.475,0.789,0.538
original-fair_adv-delta,-0.073,-0.077,0.129,0.122,0.052,-0.126,0.126
original-fair_resample-all,0.639,0.652,0.454,0.363,0.503,0.752,0.000
original-fair_resample-group-0,0.638,0.630,0.523,0.379,0.516,0.771,0.462
original-fair_resample-group-1,0.640,0.680,0.394,0.350,0.487,0.740,0.538
original-fair_resample-delta,-0.002,-0.050,0.129,0.030,0.029,0.031,0.031
adv-clean-all,0.647,0.689,0.454,0.408,0.561,0.718,0.000
adv-clean-group-0,0.609,0.646,0.523,0.557,0.659,0.554,0.462
adv-clean-group-1,0.680,0.711,0.394,0.281,0.450,0.829,0.538
adv-clean-delta,-0.071,-0.065,0.129,0.277,0.209,-0.275,0.275
adv-clean-fair_reg-all,0.631,0.672,0.454,0.499,0.643,0.621,0.000
adv-clean-fair_reg-group-0,0.615,0.647,0.523,0.506,0.615,0.614,0.462
adv-clean-fair_reg-group-1,0.645,0.714,0.394,0.493,0.675,0.626,0.538
adv-clean-fair_reg-delta,-0.030,-0.067,0.129,0.013,-0.060,-0.012,0.060
adv-clean-fair_pp-all,0.605,0.669,0.454,0.541,0.661,0.558,0.000
adv-clean-fair_pp-group-0,0.603,0.646,0.523,0.529,0.626,0.578,0.462
adv-clean-fair_pp-group-1,0.606,0.711,0.394,0.552,0.700,0.545,0.538
adv-clean-fair_pp-delta,-0.002,-0.065,0.129,-0.023,-0.074,0.034,0.074
adv-clean-fair_adv-all,0.623,0.679,0.454,0.390,0.515,0.714,0.000
adv-clean-fair_adv-group-0,0.598,0.647,0.523,0.454,0.549,0.651,0.462
adv-clean-fair_adv-group-1,0.645,0.712,0.394,0.335,0.475,0.756,0.538
adv-clean-fair_adv-delta,-0.048,-0.065,0.129,0.119,0.074,-0.105,0.105
adv-clean-fair_resample-all,0.629,0.667,0.454,0.422,0.556,0.689,0.000
adv-clean-fair_resample-group-0,0.615,0.651,0.523,0.448,0.560,0.675,0.462
adv-clean-fair_resample-group-1,0.640,0.689,0.394,0.399,0.550,0.699,0.538
adv-clean-fair_resample-delta,-0.025,-0.038,0.129,0.049,0.010,-0.024,0.024
adv-all-all,0.570,0.628,0.454,0.485,0.561,0.578,0.000
adv-all-group-0,0.529,0.606,0.523,0.971,0.978,0.036,0.462
adv-all-group-1,0.606,0.636,0.394,0.069,0.087,0.943,0.538
adv-all-delta,-0.077,-0.030,0.129,0.902,0.891,-0.907,0.907
adv-all-fair_reg-all,0.594,0.616,0.454,0.520,0.626,0.568,0.000
adv-all-fair_reg-group-0,0.569,0.607,0.523,0.506,0.571,0.566,0.462
adv-all-fair_reg-group-1,0.616,0.636,0.394,0.532,0.688,0.569,0.538
adv-all-fair_reg-delta,-0.047,-0.030,0.129,-0.026,-0.116,-0.003,0.116
adv-all-fair_pp-all,0.597,0.619,0.454,0.496,0.602,0.592,0.000
adv-all-fair_pp-group-0,0.563,0.606,0.523,0.500,0.560,0.566,0.462
adv-all-fair_pp-group-1,0.626,0.636,0.394,0.493,0.650,0.610,0.538
adv-all-fair_pp-delta,-0.062,-0.030,0.129,0.007,-0.090,-0.043,0.090
adv-all-fair_adv-all,0.584,0.620,0.454,0.536,0.632,0.544,0.000
adv-all-fair_adv-group-0,0.552,0.606,0.523,0.534,0.582,0.518,0.462
adv-all-fair_adv-group-1,0.611,0.637,0.394,0.537,0.688,0.561,0.538
adv-all-fair_adv-delta,-0.059,-0.031,0.129,-0.002,-0.105,-0.043,0.105
adv-all-fair_resample-all,0.576,0.615,0.454,0.533,0.620,0.539,0.000
adv-all-fair_resample-group-0,0.586,0.624,0.523,0.534,0.615,0.554,0.462
adv-all-fair_resample-group-1,0.567,0.612,0.394,0.532,0.625,0.528,0.538
adv-all-fair_resample-delta,0.020,0.012,0.129,0.002,-0.010,0.026,0.026
adv-konstantinov-all,0.570,0.628,0.454,0.485,0.561,0.578,0.400
adv-konstantinov-group-0,0.529,0.606,0.523,0.971,0.978,0.036,0.462
adv-konstantinov-group-1,0.606,0.636,0.394,0.069,0.087,0.943,0.538
adv-konstantinov-delta,-0.077,-0.030,0.129,0.902,0.891,-0.907,0.907
adv-konstantinov-fair_reg-all,0.594,0.616,0.454,0.520,0.626,0.568,0.000
adv-konstantinov-fair_reg-group-0,0.569,0.607,0.523,0.506,0.571,0.566,0.462
adv-konstantinov-fair_reg-group-1,0.616,0.636,0.394,0.532,0.688,0.569,0.538
adv-konstantinov-fair_reg-delta,-0.047,-0.030,0.129,-0.026,-0.116,-0.003,0.116
adv-konstantinov-fair_pp-all,0.597,0.619,0.454,0.496,0.602,0.592,0.000
adv-konstantinov-fair_pp-group-0,0.563,0.606,0.523,0.500,0.560,0.566,0.462
adv-konstantinov-fair_pp-group-1,0.626,0.636,0.394,0.493,0.650,0.610,0.538
adv-konstantinov-fair_pp-delta,-0.062,-0.030,0.129,0.007,-0.090,-0.043,0.090
adv-konstantinov-fair_adv-all,0.584,0.620,0.454,0.536,0.632,0.544,0.000
adv-konstantinov-fair_adv-group-0,0.552,0.606,0.523,0.534,0.582,0.518,0.462
adv-konstantinov-fair_adv-group-1,0.611,0.637,0.394,0.537,0.688,0.561,0.538
adv-konstantinov-fair_adv-delta,-0.059,-0.031,0.129,-0.002,-0.105,-0.043,0.105
adv-konstantinov-fair_resample-all,0.541,0.569,0.454,0.525,0.573,0.515,0.000
adv-konstantinov-fair_resample-group-0,0.546,0.561,0.523,0.494,0.538,0.554,0.462
adv-konstantinov-fair_resample-group-1,0.537,0.595,0.394,0.552,0.613,0.488,0.538
adv-konstantinov-fair_resample-delta,0.009,-0.034,0.129,-0.057,-0.074,0.066,0.074
adv-selected-all,0.647,0.689,0.454,0.408,0.561,0.718,0.000
adv-selected-group-0,0.609,0.646,0.523,0.557,0.659,0.554,0.462
adv-selected-group-1,0.680,0.711,0.394,0.281,0.450,0.829,0.538
adv-selected-delta,-0.071,-0.065,0.129,0.277,0.209,-0.275,0.275
adv-selected-fair_reg-all,0.631,0.672,0.454,0.499,0.643,0.621,0.000
adv-selected-fair_reg-group-0,0.615,0.647,0.523,0.506,0.615,0.614,0.462
adv-selected-fair_reg-group-1,0.645,0.714,0.394,0.493,0.675,0.626,0.538
adv-selected-fair_reg-delta,-0.030,-0.067,0.129,0.013,-0.060,-0.012,0.060
adv-selected-fair_pp-all,0.605,0.669,0.454,0.541,0.661,0.558,0.000
adv-selected-fair_pp-group-0,0.603,0.646,0.523,0.529,0.626,0.578,0.462
adv-selected-fair_pp-group-1,0.606,0.711,0.394,0.552,0.700,0.545,0.538
adv-selected-fair_pp-delta,-0.002,-0.065,0.129,-0.023,-0.074,0.034,0.074
adv-selected-fair_adv-all,0.623,0.679,0.454,0.390,0.515,0.714,0.333
adv-selected-fair_adv-group-0,0.598,0.647,0.523,0.454,0.549,0.651,0.462
adv-selected-fair_adv-group-1,0.645,0.712,0.394,0.335,0.475,0.756,0.538
adv-selected-fair_adv-delta,-0.048,-0.065,0.129,0.119,0.074,-0.105,0.105
adv-selected-fair_resample-all,0.637,0.682,0.454,0.408,0.550,0.709,0.000
adv-selected-fair_resample-group-0,0.609,0.635,0.523,0.466,0.571,0.651,0.462
adv-selected-fair_resample-group-1,0.660,0.724,0.394,0.360,0.525,0.748,0.538
adv-selected-fair_resample-delta,-0.051,-0.089,0.129,0.106,0.046,-0.097,0.097
adv-voting-all,0.645,0.692,0.454,0.469,0.626,0.660,0.164
adv-voting-group-0,0.603,0.674,0.523,0.701,0.791,0.398,0.462
adv-voting-group-1,0.680,0.711,0.394,0.271,0.438,0.837,0.538
adv-voting-delta,-0.076,-0.037,0.129,0.430,0.354,-0.440,0.440
adv-voting-fair_reg-all,0.629,0.668,0.454,0.485,0.626,0.631,0.172
