method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.788,0.860,0.355,0.313,0.642,0.869,0.000
original-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
original-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
original-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
original-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
original-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
original-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
original-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
original-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
original-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
original-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
original-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
original-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
original-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
original-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
original-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
original-fair_resample-all,0.780,0.853,0.355,0.307,0.623,0.867,0.000
original-fair_resample-group-0,0.756,0.850,0.430,0.343,0.615,0.862,0.523
original-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
original-fair_resample-delta,-0.051,-0.009,0.158,0.076,-0.022,-0.009,0.022
adv-clean-all,0.787,0.860,0.355,0.313,0.641,0.867,0.000
adv-clean-group-0,0.764,0.850,0.430,0.417,0.710,0.805,0.523
adv-clean-group-1,0.812,0.858,0.272,0.200,0.521,0.921,0.477
adv-clean-delta,-0.048,-0.008,0.158,0.217,0.189,-0.116,0.189
adv-clean-fair_reg-all,0.751,0.843,0.355,0.447,0.779,0.736,0.000
adv-clean-fair_reg-group-0,0.764,0.850,0.430,0.446,0.743,0.779,0.523
adv-clean-fair_reg-group-1,0.737,0.858,0.272,0.447,0.839,0.699,0.477
adv-clean-fair_reg-delta,0.026,-0.008,0.158,-0.001,-0.096,0.079,0.096
adv-clean-fair_pp-all,0.772,0.844,0.355,0.294,0.594,0.870,0.000
adv-clean-fair_pp-group-0,0.745,0.850,0.430,0.293,0.544,0.896,0.523
adv-clean-fair_pp-group-1,0.802,0.858,0.272,0.296,0.680,0.848,0.477
adv-clean-fair_pp-delta,-0.058,-0.008,0.158,-0.002,-0.136,0.048,0.136
adv-clean-fair_adv-all,0.784,0.858,0.355,0.310,0.633,0.867,0.000
adv-clean-fair_adv-group-0,0.761,0.850,0.430,0.373,0.656,0.840,0.523
adv-clean-fair_adv-group-1,0.810,0.857,0.272,0.241,0.593,0.891,0.477
adv-clean-fair_adv-delta,-0.049,-0.007,0.158,0.133,0.063,-0.050,0.063
adv-clean-fair_resample-all,0.780,0.853,0.355,0.306,0.622,0.867,0.000
adv-clean-fair_resample-group-0,0.755,0.849,0.430,0.342,0.613,0.863,0.523
adv-clean-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
adv-clean-fair_resample-delta,-0.052,-0.009,0.158,0.074,-0.025,-0.008,0.025
adv-all-all,0.786,0.859,0.355,0.310,0.635,0.869,0.000
adv-all-group-0,0.762,0.850,0.430,0.392,0.679,0.825,0.523
adv-all-group-1,0.812,0.857,0.272,0.219,0.558,0.907,0.477
adv-all-delta,-0.050,-0.007,0.158,0.173,0.122,-0.082,0.122
adv-all-fair_reg-all,0.759,0.847,0.355,0.441,0.782,0.747,0.000
adv-all-fair_reg-group-0,0.766,0.850,0.430,0.460,0.762,0.768,0.523
adv-all-fair_reg-group-1,0.753,0.857,0.272,0.419,0.816,0.729,0.477
adv-all-fair_reg-delta,0.013,-0.007,0.158,0.041,-0.054,0.039,0.054
adv-all-fair_pp-all,0.776,0.847,0.355,0.311,0.623,0.860,0.000
adv-all-fair_pp-group-0,0.753,0.850,0.430,0.325,0.590,0.876,0.523
adv-all-fair_pp-group-1,0.802,0.857,0.272,0.297,0.681,0.847,0.477
adv-all-fair_pp-delta,-0.049,-0.007,0.158,0.028,-0.090,0.028,0.090
adv-all-fair_adv-all,0.782,0.856,0.355,0.307,0.627,0.868,0.000
adv-all-fair_adv-group-0,0.759,0.850,0.430,0.363,0.642,0.847,0.523
adv-all-fair_adv-group-1,0.808,0.856,0.272,0.246,0.600,0.886,0.477
adv-all-fair_adv-delta,-0.049,-0.006,0.158,0.117,0.042,-0.039,0.042
adv-all-fair_resample-all,0.780,0.853,0.355,0.305,0.620,0.868,0.000
adv-all-fair_resample-group-0,0.755,0.850,0.430,0.345,0.617,0.860,0.523
adv-all-fair_resample-group-1,0.807,0.857,0.272,0.262,0.626,0.875,0.477
adv-all-fair_resample-delta,-0.051,-0.007,0.158,0.083,-0.009,-0.015,0.015
adv-konstantinov-all,0.786,0.859,0.355,0.310,0.635,0.869,0.196
adv-konstantinov-group-0,0.762,0.850,0.430,0.392,0.679,0.825,0.523
adv-konstantinov-group-1,0.812,0.857,0.272,0.219,0.558,0.907,0.477
adv-konstantinov-delta,-0.050,-0.007,0.158,0.173,0.122,-0.082,0.122
adv-konstantinov-fair_reg-all,0.759,0.847,0.355,0.441,0.782,0.747,0.000
adv-konstantinov-fair_reg-group-0,0.766,0.850,0.430,0.460,0.762,0.768,0.523
adv-konstantinov-fair_reg-group-1,0.753,0.857,0.272,0.419,0.816,0.729,0.477
adv-konstantinov-fair_reg-delta,0.013,-0.007,0.158,0.041,-0.054,0.039,0.054
adv-konstantinov-fair_pp-all,0.776,0.847,0.355,0.311,0.623,0.860,0.000
adv-konstantinov-fair_pp-group-0,0.753,0.850,0.430,0.325,0.590,0.876,0.523
adv-konstantinov-fair_pp-group-1,0.802,0.857,0.272,0.297,0.681,0.847,0.477
adv-konstantinov-fair_pp-delta,-0.049,-0.007,0.158,0.028,-0.090,0.028,0.090
adv-konstantinov-fair_adv-all,0.782,0.856,0.355,0.307,0.627,0.868,0.000
adv-konstantinov-fair_adv-group-0,0.759,0.850,0.430,0.363,0.642,0.847,0.523
adv-konstantinov-fair_adv-group-1,0.808,0.856,0.272,0.246,0.600,0.886,0.477
adv-konstantinov-fair_adv-delta,-0.049,-0.006,0.158,0.117,0.042,-0.039,0.042
adv-konstantinov-fair_resample-all,0.779,0.854,0.355,0.304,0.618,0.868,0.000
adv-konstantinov-fair_resample-group-0,0.755,0.850,0.430,0.343,0.614,0.861,0.523
adv-konstantinov-fair_resample-group-1,0.806,0.857,0.272,0.261,0.624,0.874,0.477
adv-konstantinov-fair_resample-delta,-0.051,-0.007,0.158,0.082,-0.010,-0.013,0.013
adv-selected-all,0.786,0.860,0.355,0.298,0.618,0.878,0.000
adv-selected-group-0,0.765,0.850,0.430,0.403,0.694,0.818,0.523
adv-selected-group-1,0.809,0.856,0.272,0.183,0.486,0.930,0.477
adv-selected-delta,-0.045,-0.006,0.158,0.219,0.208,-0.112,0.208
adv-selected-fair_reg-all,0.753,0.843,0.355,0.439,0.771,0.743,0.000
adv-selected-fair_reg-group-0,0.766,0.850,0.430,0.438,0.737,0.788,0.523
adv-selected-fair_reg-group-1,0.739,0.856,0.272,0.441,0.831,0.705,0.477
adv-selected-fair_reg-delta,0.026,-0.006,0.158,-0.003,-0.095,0.083,0.095
adv-selected-fair_pp-all,0.773,0.844,0.355,0.295,0.596,0.870,0.000
adv-selected-fair_pp-group-0,0.746,0.850,0.430,0.295,0.548,0.896,0.523
adv-selected-fair_pp-group-1,0.802,0.856,0.272,0.296,0.679,0.848,0.477
adv-selected-fair_pp-delta,-0.056,-0.006,0.158,-0.001,-0.131,0.049,0.131
adv-selected-fair_adv-all,0.785,0.858,0.355,0.294,0.612,0.880,0.000
adv-selected-fair_adv-group-0,0.761,0.851,0.430,0.362,0.642,0.850,0.523
adv-selected-fair_adv-group-1,0.811,0.855,0.272,0.220,0.558,0.906,0.477
adv-selected-fair_adv-delta,-0.051,-0.004,0.158,0.141,0.084,-0.056,0.084
adv-selected-fair_resample-all,0.779,0.852,0.355,0.292,0.600,0.878,0.000
adv-selected-fair_resample-group-0,0.753,0.850,0.430,0.327,0.592,0.874,0.523
adv-selected-fair_resample-group-1,0.808,0.856,0.272,0.253,0.613,0.881,0.477
adv-selected-fair_resample-delta,-0.055,-0.007,0.158,0.073,-0.021,-0.007,0.021
adv-voting-all,0.788,0.859,0.355,0.304,0.630,0.875,0.100
adv-voting-group-0,0.765,0.850,0.430,0.393,0.683,0.826,0.523
adv-voting-group-1,0.813,0.855,0.272,0.207,0.537,0.916,0.477
adv-voting-delta,-0.048,-0.005,0.158,0.186,0.146,-0.090,0.146
adv-voting-fair_reg-all,0.757,0.846,0.355,0.442,0.780,0.744,0.157
adv-voting-fair_reg-group-0,0.767,0.851,0.430,0.452,0.754,0.776,0.523
adv-voting-fair_reg-group-1,0.746,0.856,0.272,0.431,0.825,0.717,0.477
adv-voting-fair_reg-delta,0.020,-0.005,0.158,0.021,-0.071,0.059,0.071
adv-voting-fair_pp-all,0.774,0.845,0.355,0.303,0.609,0.865,0.181
adv-voting-fair_pp-group-0,0.750,0.850,0.430,0.311,0.571,0.885,0.523
adv-voting-fair_pp-group-1,0.801,0.855,0.272,0.295,0.675,0.848,0.477
adv-voting-fair_pp-delta,-0.051,-0.005,0.158,0.016,-0.104,0.037,0.104
adv-voting-fair_adv-all,0.783,0.856,0.355,0.304,0.622,0.871,0.178
adv-voting-fair_adv-group-0,0.759,0.851,0.430,0.362,0.641,0.848,0.523
adv-voting-fair_adv-group-1,0.808,0.855,0.272,0.240,0.589,0.890,0.477
adv-voting-fair_adv-delta,-0.049,-0.005,0.158,0.122,0.052,-0.042,0.052
adv-voting-fair_resample-all,0.780,0.851,0.355,0.306,0.621,0.868,0.189
adv-voting-fair_resample-group-0,0.756,0.849,0.430,0.341,0.613,0.864,0.523
adv-voting-fair_resample-group-1,0.807,0.854,0.272,0.267,0.635,0.871,0.477
adv-voting-fair_resample-delta,-0.051,-0.005,0.158,0.074,-0.022,-0.007,0.022
adv-TERM-all,0.770,0.845,0.355,0.211,0.473,0.933,0.000
adv-TERM-group-0,0.739,0.838,0.430,0.264,0.504,0.917,0.523
adv-TERM-group-1,0.804,0.842,0.272,0.152,0.419,0.947,0.477
adv-TERM-delta,-0.064,-0.004,0.158,0.111,0.084,-0.030,0.084
adv-TERM-fair_pp-all,0.773,0.835,0.355,0.293,0.592,0.872,0.000
adv-TERM-fair_pp-group-0,0.749,0.838,0.430,0.305,0.562,0.890,0.523
adv-TERM-fair_pp-group-1,0.799,0.843,0.272,0.279,0.643,0.857,0.477
adv-TERM-fair_pp-delta,-0.050,-0.005,0.158,0.025,-0.081,0.033,0.081
adv-TERM-fair_resample-all,0.766,0.832,0.355,0.212,0.469,0.929,0.000
adv-TERM-fair_resample-group-0,0.726,0.831,0.430,0.232,0.452,0.934,0.523
adv-TERM-fair_resample-group-1,0.809,0.843,0.272,0.190,0.498,0.925,0.477
adv-TERM-fair_resample-delta,-0.082,-0.012,0.158,0.042,-0.047,0.009,0.047
adv-DRO-fair_reg-all,0.700,0.795,0.355,0.091,0.204,0.972,0.000
adv-DRO-fair_reg-group-0,0.643,0.804,0.430,0.105,0.207,0.972,0.523
adv-DRO-fair_reg-group-1,0.762,0.788,0.272,0.075,0.199,0.972,0.477
adv-DRO-fair_reg-delta,-0.118,0.016,0.158,0.030,0.008,0.000,0.008
