method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.788,0.860,0.355,0.313,0.642,0.869,0.000
original-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
original-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
original-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
original-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
original-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
original-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
original-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
original-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
original-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
original-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
original-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
original-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
original-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
original-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
original-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
original-fair_resample-all,0.780,0.853,0.355,0.307,0.623,0.867,0.000
original-fair_resample-group-0,0.756,0.850,0.430,0.343,0.615,0.862,0.523
original-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
original-fair_resample-delta,-0.051,-0.009,0.158,0.076,-0.022,-0.009,0.022
adv-clean-all,0.788,0.860,0.355,0.324,0.658,0.860,0.000
adv-clean-group-0,0.765,0.850,0.430,0.427,0.722,0.797,0.523
adv-clean-group-1,0.814,0.858,0.272,0.212,0.546,0.914,0.477
adv-clean-delta,-0.049,-0.008,0.158,0.215,0.176,-0.117,0.176
adv-clean-fair_reg-all,0.750,0.843,0.355,0.447,0.778,0.735,0.000
adv-clean-fair_reg-group-0,0.764,0.850,0.430,0.443,0.740,0.781,0.523
adv-clean-fair_reg-group-1,0.736,0.858,0.272,0.451,0.843,0.696,0.477
adv-clean-fair_reg-delta,0.028,-0.008,0.158,-0.008,-0.103,0.086,0.103
adv-clean-fair_pp-all,0.772,0.844,0.355,0.328,0.640,0.844,0.000
adv-clean-fair_pp-group-0,0.752,0.850,0.430,0.327,0.591,0.874,0.523
adv-clean-fair_pp-group-1,0.793,0.858,0.272,0.329,0.723,0.819,0.477
adv-clean-fair_pp-delta,-0.041,-0.008,0.158,-0.002,-0.132,0.055,0.132
adv-clean-fair_adv-all,0.784,0.857,0.355,0.323,0.650,0.857,0.000
adv-clean-fair_adv-group-0,0.761,0.850,0.430,0.385,0.670,0.830,0.523
adv-clean-fair_adv-group-1,0.808,0.857,0.272,0.255,0.616,0.880,0.477
adv-clean-fair_adv-delta,-0.047,-0.007,0.158,0.130,0.053,-0.050,0.053
adv-clean-fair_resample-all,0.780,0.853,0.355,0.324,0.646,0.854,0.000
adv-clean-fair_resample-group-0,0.758,0.849,0.430,0.357,0.634,0.852,0.523
adv-clean-fair_resample-group-1,0.804,0.858,0.272,0.287,0.667,0.855,0.477
adv-clean-fair_resample-delta,-0.046,-0.008,0.158,0.070,-0.033,-0.003,0.033
adv-all-all,0.785,0.858,0.355,0.308,0.631,0.870,0.000
adv-all-group-0,0.762,0.850,0.430,0.383,0.668,0.833,0.523
adv-all-group-1,0.811,0.856,0.272,0.226,0.567,0.902,0.477
adv-all-delta,-0.049,-0.007,0.158,0.157,0.100,-0.069,0.100
adv-all-fair_reg-all,0.760,0.849,0.355,0.441,0.784,0.748,0.000
adv-all-fair_reg-group-0,0.765,0.849,0.430,0.466,0.769,0.762,0.523
adv-all-fair_reg-group-1,0.755,0.856,0.272,0.414,0.810,0.735,0.477
adv-all-fair_reg-delta,0.010,-0.007,0.158,0.053,-0.042,0.027,0.042
adv-all-fair_pp-all,0.777,0.849,0.355,0.311,0.625,0.861,0.000
adv-all-fair_pp-group-0,0.754,0.850,0.430,0.332,0.600,0.870,0.523
adv-all-fair_pp-group-1,0.803,0.856,0.272,0.288,0.667,0.854,0.477
adv-all-fair_pp-delta,-0.049,-0.007,0.158,0.044,-0.067,0.016,0.067
adv-all-fair_adv-all,0.782,0.856,0.355,0.306,0.625,0.869,0.000
adv-all-fair_adv-group-0,0.758,0.850,0.430,0.360,0.638,0.850,0.523
adv-all-fair_adv-group-1,0.809,0.856,0.272,0.248,0.604,0.885,0.477
adv-all-fair_adv-delta,-0.050,-0.006,0.158,0.112,0.034,-0.036,0.036
adv-all-fair_resample-all,0.780,0.853,0.355,0.304,0.618,0.869,0.000
adv-all-fair_resample-group-0,0.755,0.849,0.430,0.346,0.617,0.859,0.523
adv-all-fair_resample-group-1,0.807,0.856,0.272,0.258,0.620,0.877,0.477
adv-all-fair_resample-delta,-0.052,-0.006,0.158,0.087,-0.002,-0.017,0.017
adv-konstantinov-all,0.785,0.858,0.355,0.308,0.631,0.870,0.490
adv-konstantinov-group-0,0.762,0.850,0.430,0.383,0.668,0.833,0.523
adv-konstantinov-group-1,0.811,0.856,0.272,0.226,0.567,0.902,0.477
adv-konstantinov-delta,-0.049,-0.007,0.158,0.157,0.100,-0.069,0.100
adv-konstantinov-fair_reg-all,0.760,0.849,0.355,0.441,0.784,0.748,0.000
adv-konstantinov-fair_reg-group-0,0.765,0.849,0.430,0.466,0.769,0.762,0.523
adv-konstantinov-fair_reg-group-1,0.755,0.856,0.272,0.414,0.810,0.735,0.477
adv-konstantinov-fair_reg-delta,0.010,-0.007,0.158,0.053,-0.042,0.027,0.042
adv-konstantinov-fair_pp-all,0.777,0.849,0.355,0.311,0.625,0.861,0.000
adv-konstantinov-fair_pp-group-0,0.754,0.850,0.430,0.332,0.600,0.870,0.523
adv-konstantinov-fair_pp-group-1,0.803,0.856,0.272,0.288,0.667,0.854,0.477
adv-konstantinov-fair_pp-delta,-0.049,-0.007,0.158,0.044,-0.067,0.016,0.067
adv-konstantinov-fair_adv-all,0.782,0.856,0.355,0.306,0.625,0.869,0.000
adv-konstantinov-fair_adv-group-0,0.758,0.850,0.430,0.360,0.638,0.850,0.523
adv-konstantinov-fair_adv-group-1,0.809,0.856,0.272,0.248,0.604,0.885,0.477
adv-konstantinov-fair_adv-delta,-0.050,-0.006,0.158,0.112,0.034,-0.036,0.036
adv-konstantinov-fair_resample-all,0.779,0.853,0.355,0.305,0.619,0.868,0.000
adv-konstantinov-fair_resample-group-0,0.754,0.849,0.430,0.345,0.615,0.859,0.523
adv-konstantinov-fair_resample-group-1,0.807,0.856,0.272,0.261,0.624,0.875,0.477
adv-konstantinov-fair_resample-delta,-0.052,-0.007,0.158,0.084,-0.009,-0.015,0.015
adv-selected-all,0.785,0.858,0.355,0.322,0.651,0.858,0.500
adv-selected-group-0,0.762,0.849,0.430,0.394,0.681,0.823,0.523
adv-selected-group-1,0.809,0.856,0.272,0.244,0.598,0.888,0.477
adv-selected-delta,-0.047,-0.007,0.158,0.150,0.083,-0.065,0.083
adv-selected-fair_reg-all,0.762,0.850,0.355,0.438,0.781,0.751,0.500
adv-selected-fair_reg-group-0,0.765,0.849,0.430,0.466,0.769,0.762,0.523
adv-selected-fair_reg-group-1,0.759,0.857,0.272,0.406,0.803,0.742,0.477
adv-selected-fair_reg-delta,0.006,-0.008,0.158,0.060,-0.034,0.020,0.034
adv-selected-fair_pp-all,0.777,0.850,0.355,0.331,0.652,0.846,0.654
adv-selected-fair_pp-group-0,0.756,0.849,0.430,0.354,0.628,0.853,0.523
adv-selected-fair_pp-group-1,0.799,0.856,0.272,0.305,0.692,0.840,0.477
adv-selected-fair_pp-delta,-0.043,-0.007,0.158,0.049,-0.063,0.014,0.063
adv-selected-fair_adv-all,0.783,0.855,0.355,0.322,0.647,0.857,0.577
adv-selected-fair_adv-group-0,0.761,0.849,0.430,0.376,0.659,0.838,0.523
adv-selected-fair_adv-group-1,0.807,0.856,0.272,0.262,0.627,0.874,0.477
adv-selected-fair_adv-delta,-0.046,-0.007,0.158,0.113,0.032,-0.036,0.036
adv-selected-fair_resample-all,0.780,0.853,0.355,0.323,0.645,0.854,0.000
adv-selected-fair_resample-group-0,0.758,0.849,0.430,0.361,0.638,0.848,0.523
adv-selected-fair_resample-group-1,0.804,0.856,0.272,0.281,0.656,0.859,0.477
adv-selected-fair_resample-delta,-0.046,-0.007,0.158,0.081,-0.017,-0.012,0.017
adv-voting-all,0.785,0.858,0.355,0.307,0.629,0.871,0.498
adv-voting-group-0,0.762,0.850,0.430,0.389,0.675,0.828,0.523
adv-voting-group-1,0.811,0.854,0.272,0.217,0.550,0.908,0.477
adv-voting-delta,-0.049,-0.004,0.158,0.172,0.125,-0.080,0.125
adv-voting-fair_reg-all,0.762,0.850,0.355,0.440,0.784,0.750,0.466
adv-voting-fair_reg-group-0,0.765,0.850,0.430,0.469,0.772,0.760,0.523
adv-voting-fair_reg-group-1,0.758,0.855,0.272,0.408,0.805,0.741,0.477
adv-voting-fair_reg-delta,0.007,-0.005,0.158,0.061,-0.033,0.019,0.033
adv-voting-fair_pp-all,0.777,0.850,0.355,0.311,0.624,0.861,0.504
adv-voting-fair_pp-group-0,0.753,0.850,0.430,0.337,0.605,0.865,0.523
adv-voting-fair_pp-group-1,0.803,0.854,0.272,0.283,0.657,0.857,0.477
adv-voting-fair_pp-delta,-0.049,-0.004,0.158,0.054,-0.052,0.008,0.052
adv-voting-fair_adv-all,0.784,0.857,0.355,0.306,0.626,0.871,0.508
adv-voting-fair_adv-group-0,0.762,0.850,0.430,0.368,0.650,0.846,0.523
adv-voting-fair_adv-group-1,0.808,0.855,0.272,0.238,0.584,0.892,0.477
adv-voting-fair_adv-delta,-0.046,-0.004,0.158,0.130,0.067,-0.046,0.067
adv-voting-fair_resample-all,0.782,0.854,0.355,0.305,0.622,0.869,0.486
adv-voting-fair_resample-group-0,0.758,0.850,0.430,0.352,0.628,0.856,0.523
adv-voting-fair_resample-group-1,0.808,0.855,0.272,0.253,0.612,0.881,0.477
adv-voting-fair_resample-delta,-0.050,-0.005,0.158,0.099,0.015,-0.025,0.025
adv-TERM-all,0.769,0.846,0.355,0.212,0.473,0.932,0.000
adv-TERM-group-0,0.740,0.838,0.430,0.272,0.515,0.911,0.523
adv-TERM-group-1,0.801,0.841,0.272,0.145,0.401,0.951,0.477
adv-TERM-delta,-0.061,-0.003,0.158,0.127,0.114,-0.040,0.114
adv-TERM-fair_pp-all,0.773,0.836,0.355,0.282,0.577,0.881,0.000
adv-TERM-fair_pp-group-0,0.747,0.838,0.430,0.301,0.556,0.892,0.523
adv-TERM-fair_pp-group-1,0.801,0.842,0.272,0.261,0.614,0.871,0.477
adv-TERM-fair_pp-delta,-0.054,-0.004,0.158,0.040,-0.058,0.021,0.058
adv-TERM-fair_resample-all,0.764,0.837,0.355,0.208,0.461,0.931,0.000
adv-TERM-fair_resample-group-0,0.726,0.836,0.430,0.233,0.453,0.933,0.523
adv-TERM-fair_resample-group-1,0.806,0.842,0.272,0.180,0.474,0.930,0.477
adv-TERM-fair_resample-delta,-0.080,-0.006,0.158,0.053,-0.022,0.003,0.022
adv-DRO-fair_reg-all,0.692,0.796,0.355,0.070,0.165,0.983,0.000
adv-DRO-fair_reg-group-0,0.631,0.804,0.430,0.082,0.166,0.982,0.523
adv-DRO-fair_reg-group-1,0.760,0.789,0.272,0.056,0.162,0.983,0.477
adv-DRO-fair_reg-delta,-0.129,0.015,0.158,0.026,0.004,-0.002,0.004
