method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.806,0.834,0.240,0.156,0.420,0.928,0.000
original-group-0,0.764,0.815,0.306,0.228,0.488,0.886,0.664
original-group-1,0.889,0.807,0.112,0.012,0.054,0.993,0.336
original-delta,-0.124,0.007,0.194,0.216,0.433,-0.108,0.433
original-fair_resample-all,0.780,0.785,0.240,0.171,0.398,0.901,0.000
original-fair_resample-group-0,0.744,0.785,0.306,0.201,0.411,0.891,0.664
original-fair_resample-group-1,0.851,0.757,0.112,0.112,0.332,0.916,0.336
original-fair_resample-delta,-0.107,0.029,0.194,0.089,0.078,-0.025,0.078
adv-clean-all,0.805,0.834,0.240,0.146,0.398,0.934,0.000
adv-clean-group-0,0.763,0.812,0.306,0.215,0.463,0.895,0.664
adv-clean-group-1,0.888,0.810,0.112,0.011,0.049,0.993,0.336
adv-clean-delta,-0.125,0.002,0.194,0.203,0.414,-0.099,0.414
adv-clean-fair_resample-all,0.776,0.784,0.240,0.175,0.398,0.896,0.000
adv-clean-fair_resample-group-0,0.741,0.783,0.306,0.200,0.405,0.889,0.664
adv-clean-fair_resample-group-1,0.846,0.755,0.112,0.124,0.362,0.906,0.336
adv-clean-fair_resample-delta,-0.104,0.028,0.194,0.077,0.042,-0.017,0.042
adv-all-all,0.757,0.758,0.240,0.150,0.307,0.899,0.000
adv-all-group-0,0.743,0.807,0.306,0.111,0.261,0.955,0.664
adv-all-group-1,0.785,0.776,0.112,0.227,0.553,0.814,0.336
adv-all-delta,-0.042,0.031,0.194,-0.116,-0.292,0.141,0.292
adv-all-fair_resample-all,0.785,0.794,0.240,0.156,0.378,0.914,0.000
adv-all-fair_resample-group-0,0.757,0.799,0.306,0.172,0.382,0.921,0.664
adv-all-fair_resample-group-1,0.842,0.763,0.112,0.125,0.354,0.903,0.336
adv-all-fair_resample-delta,-0.085,0.036,0.194,0.046,0.028,0.018,0.028
adv-konstantinov-all,0.757,0.758,0.240,0.150,0.307,0.899,0.400
adv-konstantinov-group-0,0.743,0.807,0.306,0.111,0.261,0.955,0.664
adv-konstantinov-group-1,0.785,0.776,0.112,0.227,0.553,0.814,0.336
adv-konstantinov-delta,-0.042,0.031,0.194,-0.116,-0.292,0.141,0.292
adv-konstantinov-fair_resample-all,0.779,0.795,0.240,0.147,0.346,0.915,0.000
adv-konstantinov-fair_resample-group-0,0.750,0.797,0.306,0.152,0.339,0.930,0.664
adv-konstantinov-fair_resample-group-1,0.836,0.771,0.112,0.138,0.384,0.893,0.336
adv-konstantinov-fair_resample-delta,-0.086,0.027,0.194,0.014,-0.045,0.038,0.045
adv-selected-all,0.805,0.834,0.240,0.146,0.398,0.934,0.000
adv-selected-group-0,0.763,0.812,0.306,0.215,0.463,0.895,0.664
adv-selected-group-1,0.888,0.810,0.112,0.011,0.049,0.993,0.336
adv-selected-delta,-0.125,0.002,0.194,0.203,0.414,-0.099,0.414
adv-selected-fair_resample-all,0.784,0.795,0.240,0.152,0.367,0.916,0.000
adv-selected-fair_resample-group-0,0.746,0.790,0.306,0.174,0.368,0.912,0.664
adv-selected-fair_resample-group-1,0.859,0.780,0.112,0.109,0.360,0.922,0.336
adv-selected-fair_resample-delta,-0.114,0.010,0.194,0.065,0.009,-0.011,0.011
adv-voting-all,0.803,0.828,0.240,0.122,0.345,0.948,0.000
adv-voting-group-0,0.761,0.811,0.306,0.167,0.383,0.928,0.664
adv-voting-group-1,0.886,0.807,0.112,0.033,0.142,0.980,0.336
adv-voting-delta,-0.125,0.003,0.194,0.134,0.241,-0.052,0.241
adv-voting-fair_resample-all,0.752,0.720,0.240,0.131,0.256,0.909,0.029
adv-voting-fair_resample-group-0,0.737,0.777,0.306,0.081,0.203,0.972,0.664
adv-voting-fair_resample-group-1,0.781,0.775,0.112,0.229,0.545,0.810,0.336
adv-voting-fair_resample-delta,-0.044,0.001,0.194,-0.148,-0.342,0.162,0.342
