method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.815,0.838,0.244,0.154,0.436,0.937,0.000
original-group-0,0.775,0.821,0.310,0.224,0.498,0.900,0.672
original-group-1,0.897,0.796,0.108,0.012,0.075,0.996,0.328
original-delta,-0.122,0.025,0.202,0.212,0.423,-0.096,0.423
original-fair_resample-all,0.789,0.799,0.244,0.145,0.364,0.926,0.000
original-fair_resample-group-0,0.756,0.799,0.310,0.167,0.376,0.927,0.672
original-fair_resample-group-1,0.857,0.768,0.108,0.098,0.292,0.925,0.328
original-fair_resample-delta,-0.101,0.031,0.202,0.069,0.084,0.001,0.084
adv-clean-all,0.813,0.833,0.244,0.159,0.442,0.933,0.000
adv-clean-group-0,0.773,0.816,0.310,0.229,0.504,0.895,0.672
adv-clean-group-1,0.895,0.793,0.108,0.014,0.081,0.994,0.328
adv-clean-delta,-0.122,0.023,0.202,0.215,0.423,-0.099,0.423
adv-clean-fair_resample-all,0.781,0.791,0.244,0.157,0.373,0.913,0.000
adv-clean-fair_resample-group-0,0.751,0.790,0.310,0.180,0.390,0.914,0.672
adv-clean-fair_resample-group-1,0.841,0.762,0.108,0.110,0.272,0.910,0.328
adv-clean-fair_resample-delta,-0.089,0.029,0.202,0.070,0.118,0.005,0.118
adv-all-all,0.702,0.617,0.244,0.144,0.184,0.869,0.000
adv-all-group-0,0.715,0.792,0.310,0.054,0.127,0.979,0.672
adv-all-group-1,0.677,0.634,0.108,0.328,0.523,0.695,0.328
adv-all-delta,0.038,0.157,0.202,-0.274,-0.396,0.284,0.396
adv-all-fair_resample-all,0.780,0.749,0.244,0.121,0.296,0.936,0.000
adv-all-fair_resample-group-0,0.744,0.793,0.310,0.140,0.313,0.938,0.672
adv-all-fair_resample-group-1,0.852,0.636,0.108,0.082,0.194,0.932,0.328
adv-all-fair_resample-delta,-0.108,0.156,0.202,0.058,0.119,0.006,0.119
adv-konstantinov-all,0.702,0.617,0.244,0.144,0.184,0.869,0.400
adv-konstantinov-group-0,0.715,0.792,0.310,0.054,0.127,0.979,0.672
adv-konstantinov-group-1,0.677,0.634,0.108,0.328,0.523,0.695,0.328
adv-konstantinov-delta,0.038,0.157,0.202,-0.274,-0.396,0.284,0.396
adv-konstantinov-fair_resample-all,0.770,0.728,0.244,0.140,0.317,0.917,0.000
adv-konstantinov-fair_resample-group-0,0.742,0.777,0.310,0.156,0.336,0.925,0.672
adv-konstantinov-fair_resample-group-1,0.827,0.589,0.108,0.108,0.202,0.903,0.328
adv-konstantinov-fair_resample-delta,-0.085,0.188,0.202,0.048,0.134,0.022,0.134
adv-selected-all,0.812,0.836,0.244,0.164,0.452,0.929,0.000
adv-selected-group-0,0.772,0.819,0.310,0.238,0.516,0.888,0.672
adv-selected-group-1,0.894,0.796,0.108,0.013,0.072,0.994,0.328
adv-selected-delta,-0.122,0.023,0.202,0.225,0.444,-0.106,0.444
adv-selected-fair_resample-all,0.782,0.785,0.244,0.152,0.366,0.917,0.000
adv-selected-fair_resample-group-0,0.750,0.785,0.310,0.174,0.377,0.918,0.672
adv-selected-fair_resample-group-1,0.848,0.742,0.108,0.108,0.298,0.915,0.328
adv-selected-fair_resample-delta,-0.098,0.043,0.202,0.066,0.079,0.003,0.079
adv-voting-all,0.808,0.827,0.244,0.137,0.387,0.944,0.000
adv-voting-group-0,0.767,0.814,0.310,0.186,0.424,0.922,0.672
adv-voting-group-1,0.892,0.793,0.108,0.036,0.168,0.980,0.328
adv-voting-delta,-0.125,0.020,0.202,0.150,0.257,-0.058,0.257
adv-voting-fair_resample-all,0.747,0.702,0.244,0.137,0.262,0.904,0.067
adv-voting-fair_resample-group-0,0.734,0.752,0.310,0.090,0.218,0.967,0.672
adv-voting-fair_resample-group-1,0.775,0.772,0.108,0.231,0.526,0.805,0.328
adv-voting-fair_resample-delta,-0.040,-0.019,0.202,-0.141,-0.308,0.162,0.308
