method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.836,0.238,0.140,0.402,0.941,0.000
original-group-0,0.772,0.820,0.304,0.205,0.463,0.907,0.666
original-group-1,0.894,0.792,0.106,0.011,0.052,0.994,0.334
original-delta,-0.122,0.029,0.198,0.194,0.411,-0.087,0.411
original-fair_resample-all,0.792,0.796,0.238,0.141,0.361,0.927,0.000
original-fair_resample-group-0,0.757,0.800,0.304,0.164,0.371,0.926,0.666
original-fair_resample-group-1,0.863,0.767,0.106,0.096,0.303,0.929,0.334
original-fair_resample-delta,-0.106,0.033,0.198,0.069,0.067,-0.003,0.067
adv-clean-all,0.814,0.837,0.238,0.149,0.424,0.936,0.000
adv-clean-group-0,0.776,0.822,0.304,0.211,0.479,0.905,0.666
adv-clean-group-1,0.892,0.792,0.106,0.025,0.107,0.985,0.334
adv-clean-delta,-0.116,0.031,0.198,0.186,0.372,-0.079,0.372
adv-clean-fair_resample-all,0.788,0.787,0.238,0.158,0.386,0.914,0.000
adv-clean-fair_resample-group-0,0.756,0.796,0.304,0.186,0.403,0.909,0.666
adv-clean-fair_resample-group-1,0.853,0.730,0.106,0.102,0.289,0.920,0.334
adv-clean-fair_resample-delta,-0.097,0.066,0.198,0.083,0.114,-0.010,0.114
adv-all-all,0.724,0.704,0.238,0.287,0.523,0.787,0.000
adv-all-group-0,0.733,0.757,0.304,0.320,0.587,0.797,0.666
adv-all-group-1,0.707,0.416,0.106,0.221,0.159,0.772,0.334
adv-all-delta,0.027,0.341,0.198,0.099,0.428,0.025,0.428
adv-all-fair_resample-all,0.669,0.655,0.238,0.340,0.519,0.716,0.000
adv-all-fair_resample-group-0,0.683,0.701,0.304,0.357,0.565,0.734,0.666
adv-all-fair_resample-group-1,0.641,0.443,0.106,0.307,0.254,0.687,0.334
adv-all-fair_resample-delta,0.042,0.258,0.198,0.050,0.311,0.048,0.311
adv-konstantinov-all,0.814,0.837,0.238,0.149,0.424,0.936,0.000
adv-konstantinov-group-0,0.776,0.822,0.304,0.211,0.479,0.905,0.666
adv-konstantinov-group-1,0.892,0.792,0.106,0.025,0.107,0.985,0.334
adv-konstantinov-delta,-0.116,0.031,0.198,0.186,0.372,-0.079,0.372
adv-konstantinov-fair_resample-all,0.780,0.781,0.238,0.140,0.332,0.920,0.000
adv-konstantinov-fair_resample-group-0,0.748,0.791,0.304,0.152,0.336,0.928,0.666
adv-konstantinov-fair_resample-group-1,0.844,0.724,0.106,0.116,0.309,0.907,0.334
adv-konstantinov-fair_resample-delta,-0.096,0.067,0.198,0.037,0.027,0.021,0.027
adv-selected-all,0.814,0.837,0.238,0.142,0.408,0.941,0.000
adv-selected-group-0,0.775,0.822,0.304,0.201,0.460,0.912,0.666
adv-selected-group-1,0.892,0.792,0.106,0.025,0.110,0.985,0.334
adv-selected-delta,-0.117,0.030,0.198,0.176,0.350,-0.073,0.350
adv-selected-fair_resample-all,0.775,0.778,0.238,0.164,0.373,0.901,0.000
adv-selected-fair_resample-group-0,0.747,0.788,0.304,0.174,0.371,0.911,0.666
adv-selected-fair_resample-group-1,0.831,0.715,0.106,0.144,0.384,0.884,0.334
adv-selected-fair_resample-delta,-0.084,0.073,0.198,0.030,-0.014,0.027,0.027
adv-voting-all,0.812,0.833,0.238,0.169,0.461,0.922,0.027
adv-voting-group-0,0.772,0.817,0.304,0.248,0.533,0.876,0.666
adv-voting-group-1,0.893,0.779,0.106,0.010,0.046,0.994,0.334
adv-voting-delta,-0.121,0.037,0.198,0.238,0.487,-0.118,0.487
adv-voting-fair_resample-all,0.742,0.756,0.238,0.231,0.443,0.835,0.106
adv-voting-fair_resample-group-0,0.731,0.772,0.304,0.242,0.455,0.851,0.666
adv-voting-fair_resample-group-1,0.766,0.692,0.106,0.208,0.376,0.812,0.334
adv-voting-fair_resample-delta,-0.035,0.080,0.198,0.034,0.080,0.039,0.080
