method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.838,0.243,0.154,0.422,0.932,0.000
original-group-0,0.767,0.817,0.310,0.224,0.486,0.894,0.666
original-group-1,0.890,0.814,0.109,0.015,0.062,0.991,0.334
original-delta,-0.122,0.003,0.201,0.209,0.424,-0.097,0.424
original-fair_resample-all,0.787,0.790,0.243,0.153,0.375,0.919,0.000
original-fair_resample-group-0,0.750,0.790,0.310,0.179,0.386,0.913,0.666
original-fair_resample-group-1,0.860,0.763,0.109,0.099,0.313,0.927,0.334
original-fair_resample-delta,-0.110,0.027,0.201,0.080,0.073,-0.014,0.073
adv-clean-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-clean-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-clean-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-clean-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-clean-fair_resample-all,0.782,0.790,0.243,0.155,0.370,0.913,0.000
adv-clean-fair_resample-group-0,0.744,0.788,0.310,0.179,0.376,0.910,0.666
adv-clean-fair_resample-group-1,0.856,0.764,0.109,0.109,0.341,0.919,0.334
adv-clean-fair_resample-delta,-0.112,0.025,0.201,0.069,0.035,-0.009,0.035
adv-all-all,0.801,0.824,0.243,0.135,0.369,0.939,0.000
adv-all-group-0,0.762,0.814,0.310,0.169,0.388,0.930,0.666
adv-all-group-1,0.879,0.805,0.109,0.070,0.262,0.954,0.334
adv-all-delta,-0.117,0.010,0.201,0.099,0.126,-0.024,0.126
adv-all-fair_resample-all,0.789,0.800,0.243,0.149,0.372,0.923,0.000
adv-all-fair_resample-group-0,0.751,0.794,0.310,0.170,0.372,0.920,0.666
adv-all-fair_resample-group-1,0.867,0.780,0.109,0.105,0.372,0.927,0.334
adv-all-fair_resample-delta,-0.116,0.014,0.201,0.065,0.000,-0.007,0.007
adv-konstantinov-all,0.801,0.824,0.243,0.135,0.369,0.939,0.400
adv-konstantinov-group-0,0.762,0.814,0.310,0.169,0.388,0.930,0.666
adv-konstantinov-group-1,0.879,0.805,0.109,0.070,0.262,0.954,0.334
adv-konstantinov-delta,-0.117,0.010,0.201,0.099,0.126,-0.024,0.126
adv-konstantinov-fair_resample-all,0.787,0.795,0.243,0.135,0.339,0.931,0.000
adv-konstantinov-fair_resample-group-0,0.749,0.793,0.310,0.154,0.343,0.931,0.666
adv-konstantinov-fair_resample-group-1,0.864,0.773,0.109,0.095,0.313,0.931,0.334
adv-konstantinov-fair_resample-delta,-0.115,0.020,0.201,0.059,0.031,-0.001,0.031
adv-selected-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-selected-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-selected-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-selected-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-selected-fair_resample-all,0.780,0.784,0.243,0.169,0.395,0.904,0.000
adv-selected-fair_resample-group-0,0.744,0.782,0.310,0.201,0.411,0.894,0.666
adv-selected-fair_resample-group-1,0.852,0.758,0.109,0.105,0.301,0.919,0.334
adv-selected-fair_resample-delta,-0.108,0.024,0.201,0.096,0.110,-0.025,0.110
adv-voting-all,0.800,0.830,0.243,0.122,0.339,0.947,0.145
adv-voting-group-0,0.757,0.811,0.310,0.163,0.372,0.930,0.666
adv-voting-group-1,0.885,0.812,0.109,0.040,0.155,0.974,0.334
adv-voting-delta,-0.127,-0.001,0.201,0.123,0.217,-0.043,0.217
adv-voting-fair_resample-all,0.795,0.796,0.243,0.151,0.388,0.925,0.417
adv-voting-fair_resample-group-0,0.757,0.788,0.310,0.179,0.396,0.919,0.666
adv-voting-fair_resample-group-1,0.870,0.783,0.109,0.096,0.344,0.934,0.334
adv-voting-fair_resample-delta,-0.113,0.005,0.201,0.083,0.052,-0.015,0.052
