method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.838,0.243,0.154,0.422,0.932,0.000
original-group-0,0.767,0.817,0.310,0.224,0.486,0.894,0.666
original-group-1,0.890,0.814,0.109,0.015,0.062,0.991,0.334
original-delta,-0.122,0.003,0.201,0.209,0.424,-0.097,0.424
original-fair_resample-all,0.787,0.790,0.243,0.153,0.375,0.919,0.000
original-fair_resample-group-0,0.750,0.790,0.310,0.179,0.386,0.913,0.666
original-fair_resample-group-1,0.860,0.763,0.109,0.099,0.313,0.927,0.334
original-fair_resample-delta,-0.110,0.027,0.201,0.080,0.073,-0.014,0.073
adv-clean-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-clean-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-clean-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-clean-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-clean-fair_resample-all,0.782,0.790,0.243,0.155,0.370,0.913,0.000
adv-clean-fair_resample-group-0,0.744,0.788,0.310,0.179,0.376,0.910,0.666
adv-clean-fair_resample-group-1,0.856,0.764,0.109,0.109,0.341,0.919,0.334
adv-clean-fair_resample-delta,-0.112,0.025,0.201,0.069,0.035,-0.009,0.035
adv-all-all,0.789,0.785,0.243,0.161,0.396,0.915,0.000
adv-all-group-0,0.742,0.759,0.310,0.216,0.432,0.881,0.666
adv-all-group-1,0.883,0.754,0.109,0.050,0.192,0.967,0.334
adv-all-delta,-0.141,0.005,0.201,0.166,0.241,-0.086,0.241
adv-all-fair_resample-all,0.676,0.605,0.243,0.260,0.369,0.775,0.000
adv-all-fair_resample-group-0,0.645,0.614,0.310,0.274,0.368,0.769,0.666
adv-all-fair_resample-group-1,0.739,0.568,0.109,0.234,0.375,0.784,0.334
adv-all-fair_resample-delta,-0.094,0.045,0.201,0.040,-0.006,-0.015,0.015
adv-konstantinov-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-konstantinov-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-konstantinov-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-konstantinov-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-konstantinov-fair_resample-all,0.786,0.789,0.243,0.161,0.389,0.913,0.000
adv-konstantinov-fair_resample-group-0,0.749,0.786,0.310,0.182,0.388,0.911,0.666
adv-konstantinov-fair_resample-group-1,0.859,0.774,0.109,0.119,0.397,0.915,0.334
adv-konstantinov-fair_resample-delta,-0.110,0.012,0.201,0.063,-0.010,-0.005,0.010
adv-selected-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-selected-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-selected-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-selected-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-selected-fair_resample-all,0.785,0.781,0.243,0.169,0.405,0.906,0.000
adv-selected-fair_resample-group-0,0.752,0.782,0.310,0.197,0.418,0.902,0.666
adv-selected-fair_resample-group-1,0.850,0.747,0.109,0.113,0.330,0.914,0.334
adv-selected-fair_resample-delta,-0.098,0.035,0.201,0.085,0.089,-0.012,0.089
adv-voting-all,0.792,0.828,0.243,0.166,0.414,0.913,0.056
adv-voting-group-0,0.747,0.802,0.310,0.230,0.463,0.875,0.666
adv-voting-group-1,0.882,0.810,0.109,0.039,0.135,0.973,0.334
adv-voting-delta,-0.135,-0.008,0.201,0.191,0.328,-0.098,0.328
adv-voting-fair_resample-all,0.753,0.767,0.243,0.213,0.430,0.856,0.093
adv-voting-fair_resample-group-0,0.720,0.759,0.310,0.232,0.423,0.853,0.666
adv-voting-fair_resample-group-1,0.818,0.770,0.109,0.175,0.470,0.860,0.334
adv-voting-fair_resample-delta,-0.098,-0.011,0.201,0.057,-0.047,-0.007,0.047
