method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.836,0.238,0.140,0.402,0.941,0.000
original-group-0,0.772,0.820,0.304,0.205,0.463,0.907,0.666
original-group-1,0.894,0.792,0.106,0.011,0.052,0.994,0.334
original-delta,-0.122,0.029,0.198,0.194,0.411,-0.087,0.411
original-fair_resample-all,0.792,0.796,0.238,0.141,0.361,0.927,0.000
original-fair_resample-group-0,0.757,0.800,0.304,0.164,0.371,0.926,0.666
original-fair_resample-group-1,0.863,0.767,0.106,0.096,0.303,0.929,0.334
original-fair_resample-delta,-0.106,0.033,0.198,0.069,0.067,-0.003,0.067
adv-clean-all,0.814,0.837,0.238,0.149,0.424,0.936,0.000
adv-clean-group-0,0.776,0.822,0.304,0.211,0.479,0.905,0.666
adv-clean-group-1,0.892,0.792,0.106,0.025,0.107,0.985,0.334
adv-clean-delta,-0.116,0.031,0.198,0.186,0.372,-0.079,0.372
adv-clean-fair_resample-all,0.788,0.787,0.238,0.158,0.386,0.914,0.000
adv-clean-fair_resample-group-0,0.756,0.796,0.304,0.186,0.403,0.909,0.666
adv-clean-fair_resample-group-1,0.853,0.730,0.106,0.102,0.289,0.920,0.334
adv-clean-fair_resample-delta,-0.097,0.066,0.198,0.083,0.114,-0.010,0.114
adv-all-all,0.813,0.836,0.238,0.140,0.402,0.941,0.000
adv-all-group-0,0.772,0.820,0.304,0.205,0.463,0.907,0.666
adv-all-group-1,0.894,0.792,0.106,0.011,0.052,0.994,0.334
adv-all-delta,-0.122,0.029,0.198,0.194,0.411,-0.087,0.411
adv-all-fair_resample-all,0.789,0.789,0.238,0.141,0.353,0.926,0.000
adv-all-fair_resample-group-0,0.757,0.794,0.304,0.159,0.362,0.930,0.666
adv-all-fair_resample-group-1,0.854,0.747,0.106,0.104,0.301,0.919,0.334
adv-all-fair_resample-delta,-0.097,0.048,0.198,0.055,0.061,0.010,0.061
adv-konstantinov-all,0.813,0.836,0.238,0.140,0.402,0.941,0.400
adv-konstantinov-group-0,0.772,0.820,0.304,0.205,0.463,0.907,0.666
adv-konstantinov-group-1,0.894,0.792,0.106,0.011,0.052,0.994,0.334
adv-konstantinov-delta,-0.122,0.029,0.198,0.194,0.411,-0.087,0.411
adv-konstantinov-fair_resample-all,0.784,0.788,0.238,0.139,0.339,0.923,0.000
adv-konstantinov-fair_resample-group-0,0.752,0.795,0.304,0.154,0.345,0.930,0.666
adv-konstantinov-fair_resample-group-1,0.849,0.748,0.106,0.110,0.303,0.913,0.334
adv-konstantinov-fair_resample-delta,-0.096,0.047,0.198,0.044,0.042,0.017,0.042
adv-selected-all,0.815,0.835,0.238,0.145,0.415,0.939,0.667
adv-selected-group-0,0.773,0.819,0.304,0.211,0.474,0.904,0.666
adv-selected-group-1,0.897,0.786,0.106,0.013,0.075,0.995,0.334
adv-selected-delta,-0.124,0.033,0.198,0.199,0.399,-0.091,0.399
adv-selected-fair_resample-all,0.777,0.778,0.238,0.141,0.327,0.917,0.000
adv-selected-fair_resample-group-0,0.745,0.785,0.304,0.153,0.332,0.926,0.666
adv-selected-fair_resample-group-1,0.839,0.728,0.106,0.118,0.298,0.904,0.334
adv-selected-fair_resample-delta,-0.094,0.057,0.198,0.035,0.035,0.022,0.035
adv-voting-all,0.811,0.836,0.238,0.131,0.378,0.946,0.397
adv-voting-group-0,0.769,0.820,0.304,0.189,0.430,0.917,0.666
adv-voting-group-1,0.894,0.792,0.106,0.017,0.078,0.991,0.334
adv-voting-delta,-0.125,0.028,0.198,0.172,0.352,-0.074,0.352
adv-voting-fair_resample-all,0.797,0.799,0.238,0.128,0.342,0.939,0.484
adv-voting-fair_resample-group-0,0.759,0.800,0.304,0.152,0.354,0.936,0.666
adv-voting-fair_resample-group-1,0.873,0.755,0.106,0.080,0.275,0.943,0.334
adv-voting-fair_resample-delta,-0.114,0.045,0.198,0.073,0.079,-0.008,0.079
