method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.830,0.241,0.151,0.414,0.933,0.000
original-group-0,0.768,0.815,0.307,0.219,0.478,0.896,0.667
original-group-1,0.888,0.776,0.109,0.014,0.048,0.990,0.333
original-delta,-0.119,0.038,0.198,0.205,0.430,-0.094,0.430
original-fair_resample-all,0.786,0.783,0.241,0.154,0.375,0.917,0.000
original-fair_resample-group-0,0.751,0.787,0.307,0.180,0.388,0.912,0.667
original-fair_resample-group-1,0.856,0.738,0.109,0.101,0.305,0.924,0.333
original-fair_resample-delta,-0.105,0.050,0.198,0.079,0.083,-0.012,0.083
adv-clean-all,0.807,0.829,0.241,0.154,0.421,0.930,0.000
adv-clean-group-0,0.767,0.813,0.307,0.223,0.483,0.892,0.667
adv-clean-group-1,0.889,0.776,0.109,0.018,0.071,0.989,0.333
adv-clean-delta,-0.122,0.038,0.198,0.205,0.412,-0.097,0.412
adv-clean-fair_resample-all,0.787,0.794,0.241,0.142,0.352,0.925,0.000
adv-clean-fair_resample-group-0,0.754,0.800,0.307,0.156,0.353,0.932,0.667
adv-clean-fair_resample-group-1,0.851,0.760,0.109,0.114,0.342,0.913,0.333
adv-clean-fair_resample-delta,-0.097,0.040,0.198,0.041,0.012,0.018,0.018
adv-all-all,0.805,0.798,0.241,0.135,0.375,0.941,0.000
adv-all-group-0,0.764,0.798,0.307,0.191,0.425,0.913,0.667
adv-all-group-1,0.887,0.747,0.109,0.024,0.088,0.984,0.333
adv-all-delta,-0.123,0.051,0.198,0.167,0.338,-0.071,0.338
adv-all-fair_resample-all,0.770,0.730,0.241,0.204,0.448,0.873,0.000
adv-all-fair_resample-group-0,0.745,0.748,0.307,0.245,0.484,0.861,0.667
adv-all-fair_resample-group-1,0.821,0.637,0.109,0.123,0.240,0.892,0.333
adv-all-fair_resample-delta,-0.076,0.111,0.198,0.123,0.244,-0.031,0.244
adv-konstantinov-all,0.802,0.822,0.241,0.165,0.431,0.919,0.250
adv-konstantinov-group-0,0.767,0.815,0.307,0.214,0.469,0.899,0.667
adv-konstantinov-group-1,0.871,0.770,0.109,0.067,0.215,0.951,0.333
adv-konstantinov-delta,-0.104,0.045,0.198,0.147,0.255,-0.052,0.255
adv-konstantinov-fair_resample-all,0.787,0.795,0.241,0.139,0.347,0.927,0.000
adv-konstantinov-fair_resample-group-0,0.754,0.801,0.307,0.161,0.362,0.928,0.667
adv-konstantinov-fair_resample-group-1,0.852,0.753,0.109,0.095,0.257,0.925,0.333
adv-konstantinov-fair_resample-delta,-0.098,0.048,0.198,0.067,0.105,0.003,0.105
adv-selected-all,0.807,0.829,0.241,0.154,0.421,0.930,0.000
adv-selected-group-0,0.767,0.813,0.307,0.223,0.483,0.892,0.667
adv-selected-group-1,0.889,0.776,0.109,0.018,0.071,0.989,0.333
adv-selected-delta,-0.122,0.038,0.198,0.205,0.412,-0.097,0.412
adv-selected-fair_resample-all,0.779,0.784,0.241,0.151,0.356,0.913,0.000
adv-selected-fair_resample-group-0,0.746,0.787,0.307,0.174,0.370,0.912,0.667
adv-selected-fair_resample-group-1,0.846,0.729,0.109,0.105,0.277,0.916,0.333
adv-selected-fair_resample-delta,-0.100,0.058,0.198,0.069,0.093,-0.003,0.093
adv-voting-all,0.801,0.822,0.241,0.122,0.340,0.947,0.000
adv-voting-group-0,0.760,0.811,0.307,0.164,0.375,0.930,0.667
adv-voting-group-1,0.883,0.777,0.109,0.039,0.141,0.974,0.333
adv-voting-delta,-0.124,0.033,0.198,0.125,0.234,-0.044,0.234
adv-voting-fair_resample-all,0.742,0.704,0.241,0.135,0.244,0.899,0.054
adv-voting-fair_resample-group-0,0.732,0.763,0.307,0.082,0.196,0.969,0.667
adv-voting-fair_resample-group-1,0.762,0.736,0.109,0.242,0.517,0.791,0.333
adv-voting-fair_resample-delta,-0.030,0.026,0.198,-0.161,-0.321,0.177,0.321
