method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.813,0.836,0.238,0.140,0.402,0.941,0.000
original-group-0,0.772,0.820,0.304,0.205,0.463,0.907,0.666
original-group-1,0.894,0.792,0.106,0.011,0.052,0.994,0.334
original-delta,-0.122,0.029,0.198,0.194,0.411,-0.087,0.411
original-fair_resample-all,0.792,0.796,0.238,0.141,0.361,0.927,0.000
original-fair_resample-group-0,0.757,0.800,0.304,0.164,0.371,0.926,0.666
original-fair_resample-group-1,0.863,0.767,0.106,0.096,0.303,0.929,0.334
original-fair_resample-delta,-0.106,0.033,0.198,0.069,0.067,-0.003,0.067
adv-clean-all,0.814,0.837,0.238,0.149,0.424,0.936,0.000
adv-clean-group-0,0.776,0.822,0.304,0.211,0.479,0.905,0.666
adv-clean-group-1,0.892,0.792,0.106,0.025,0.107,0.985,0.334
adv-clean-delta,-0.116,0.031,0.198,0.186,0.372,-0.079,0.372
adv-clean-fair_resample-all,0.788,0.787,0.238,0.158,0.386,0.914,0.000
adv-clean-fair_resample-group-0,0.756,0.796,0.304,0.186,0.403,0.909,0.666
adv-clean-fair_resample-group-1,0.853,0.730,0.106,0.102,0.289,0.920,0.334
adv-clean-fair_resample-delta,-0.097,0.066,0.198,0.083,0.114,-0.010,0.114
adv-all-all,0.752,0.823,0.238,0.353,0.722,0.762,0.000
adv-all-group-0,0.683,0.813,0.304,0.519,0.832,0.618,0.666
adv-all-group-1,0.890,0.784,0.106,0.024,0.095,0.985,0.334
adv-all-delta,-0.207,0.029,0.198,0.495,0.737,-0.367,0.737
adv-all-fair_resample-all,0.726,0.772,0.238,0.356,0.672,0.743,0.000
adv-all-fair_resample-group-0,0.724,0.782,0.304,0.392,0.691,0.738,0.666
adv-all-fair_resample-group-1,0.730,0.719,0.106,0.284,0.566,0.750,0.334
adv-all-fair_resample-delta,-0.007,0.063,0.198,0.109,0.124,-0.012,0.124
adv-konstantinov-all,0.814,0.837,0.238,0.149,0.424,0.936,0.000
adv-konstantinov-group-0,0.776,0.822,0.304,0.211,0.479,0.905,0.666
adv-konstantinov-group-1,0.892,0.792,0.106,0.025,0.107,0.985,0.334
adv-konstantinov-delta,-0.116,0.031,0.198,0.186,0.372,-0.079,0.372
adv-konstantinov-fair_resample-all,0.780,0.776,0.238,0.159,0.372,0.908,0.000
adv-konstantinov-fair_resample-group-0,0.754,0.784,0.304,0.174,0.380,0.917,0.666
adv-konstantinov-fair_resample-group-1,0.834,0.718,0.106,0.130,0.327,0.894,0.334
adv-konstantinov-fair_resample-delta,-0.080,0.066,0.198,0.044,0.054,0.023,0.054
adv-selected-all,0.814,0.837,0.238,0.142,0.408,0.941,0.000
adv-selected-group-0,0.775,0.822,0.304,0.201,0.460,0.912,0.666
adv-selected-group-1,0.892,0.792,0.106,0.025,0.110,0.985,0.334
adv-selected-delta,-0.117,0.030,0.198,0.176,0.350,-0.073,0.350
adv-selected-fair_resample-all,0.780,0.776,0.238,0.147,0.348,0.915,0.000
adv-selected-fair_resample-group-0,0.748,0.788,0.304,0.165,0.357,0.919,0.666
adv-selected-fair_resample-group-1,0.845,0.716,0.106,0.112,0.295,0.910,0.334
adv-selected-fair_resample-delta,-0.096,0.071,0.198,0.053,0.062,0.009,0.062
adv-voting-all,0.813,0.833,0.238,0.169,0.461,0.922,0.000
adv-voting-group-0,0.772,0.817,0.304,0.250,0.536,0.875,0.666
adv-voting-group-1,0.894,0.792,0.106,0.007,0.032,0.996,0.334
adv-voting-delta,-0.122,0.025,0.198,0.243,0.504,-0.121,0.504
adv-voting-fair_resample-all,0.792,0.811,0.238,0.190,0.461,0.895,0.075
adv-voting-fair_resample-group-0,0.743,0.792,0.304,0.272,0.525,0.838,0.666
adv-voting-fair_resample-group-1,0.889,0.743,0.106,0.026,0.101,0.983,0.334
adv-voting-fair_resample-delta,-0.146,0.050,0.198,0.246,0.423,-0.144,0.423
