method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.838,0.243,0.154,0.422,0.932,0.000
original-group-0,0.767,0.817,0.310,0.224,0.486,0.894,0.666
original-group-1,0.890,0.814,0.109,0.015,0.062,0.991,0.334
original-delta,-0.122,0.003,0.201,0.209,0.424,-0.097,0.424
original-fair_resample-all,0.787,0.790,0.243,0.153,0.375,0.919,0.000
original-fair_resample-group-0,0.750,0.790,0.310,0.179,0.386,0.913,0.666
original-fair_resample-group-1,0.860,0.763,0.109,0.099,0.313,0.927,0.334
original-fair_resample-delta,-0.110,0.027,0.201,0.080,0.073,-0.014,0.073
adv-clean-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-clean-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-clean-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-clean-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-clean-fair_resample-all,0.782,0.790,0.243,0.155,0.370,0.913,0.000
adv-clean-fair_resample-group-0,0.744,0.788,0.310,0.179,0.376,0.910,0.666
adv-clean-fair_resample-group-1,0.856,0.764,0.109,0.109,0.341,0.919,0.334
adv-clean-fair_resample-delta,-0.112,0.025,0.201,0.069,0.035,-0.009,0.035
adv-all-all,0.744,0.746,0.243,0.171,0.324,0.878,0.000
adv-all-group-0,0.746,0.799,0.310,0.115,0.274,0.957,0.666
adv-all-group-1,0.739,0.763,0.109,0.284,0.608,0.755,0.334
adv-all-delta,0.006,0.036,0.201,-0.170,-0.334,0.202,0.334
adv-all-fair_resample-all,0.782,0.783,0.243,0.173,0.407,0.902,0.000
adv-all-fair_resample-group-0,0.747,0.785,0.310,0.198,0.411,0.898,0.666
adv-all-fair_resample-group-1,0.851,0.750,0.109,0.123,0.383,0.908,0.334
adv-all-fair_resample-delta,-0.104,0.035,0.201,0.074,0.028,-0.010,0.028
adv-konstantinov-all,0.744,0.746,0.243,0.171,0.324,0.878,0.400
adv-konstantinov-group-0,0.746,0.799,0.310,0.115,0.274,0.957,0.666
adv-konstantinov-group-1,0.739,0.763,0.109,0.284,0.608,0.755,0.334
adv-konstantinov-delta,0.006,0.036,0.201,-0.170,-0.334,0.202,0.334
adv-konstantinov-fair_resample-all,0.780,0.780,0.243,0.181,0.419,0.896,0.000
adv-konstantinov-fair_resample-group-0,0.747,0.780,0.310,0.202,0.419,0.895,0.666
adv-konstantinov-fair_resample-group-1,0.845,0.758,0.109,0.138,0.420,0.897,0.334
adv-konstantinov-fair_resample-delta,-0.098,0.021,0.201,0.065,-0.001,-0.002,0.002
adv-selected-all,0.804,0.836,0.243,0.140,0.384,0.939,0.000
adv-selected-group-0,0.760,0.813,0.310,0.203,0.442,0.904,0.666
adv-selected-group-1,0.891,0.815,0.109,0.013,0.056,0.992,0.334
adv-selected-delta,-0.130,-0.002,0.201,0.191,0.385,-0.089,0.385
adv-selected-fair_resample-all,0.786,0.784,0.243,0.154,0.377,0.917,0.000
adv-selected-fair_resample-group-0,0.749,0.782,0.310,0.183,0.391,0.910,0.666
adv-selected-fair_resample-group-1,0.859,0.755,0.109,0.097,0.299,0.928,0.334
adv-selected-fair_resample-delta,-0.110,0.027,0.201,0.086,0.092,-0.018,0.092
adv-voting-all,0.798,0.822,0.243,0.123,0.336,0.946,0.000
adv-voting-group-0,0.756,0.805,0.310,0.160,0.364,0.932,0.666
adv-voting-group-1,0.881,0.811,0.109,0.049,0.177,0.967,0.334
adv-voting-delta,-0.125,-0.006,0.201,0.111,0.186,-0.035,0.186
adv-voting-fair_resample-all,0.755,0.722,0.243,0.149,0.302,0.900,0.055
adv-voting-fair_resample-group-0,0.742,0.769,0.310,0.104,0.250,0.962,0.666
adv-voting-fair_resample-group-1,0.783,0.789,0.109,0.239,0.597,0.805,0.334
adv-voting-fair_resample-delta,-0.041,-0.019,0.201,-0.135,-0.347,0.157,0.347
