method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.808,0.830,0.241,0.151,0.414,0.933,0.000
original-group-0,0.768,0.815,0.307,0.219,0.478,0.896,0.667
original-group-1,0.888,0.776,0.109,0.014,0.048,0.990,0.333
original-delta,-0.119,0.038,0.198,0.205,0.430,-0.094,0.430
original-fair_resample-all,0.786,0.783,0.241,0.154,0.375,0.917,0.000
original-fair_resample-group-0,0.751,0.787,0.307,0.180,0.388,0.912,0.667
original-fair_resample-group-1,0.856,0.738,0.109,0.101,0.305,0.924,0.333
original-fair_resample-delta,-0.105,0.050,0.198,0.079,0.083,-0.012,0.083
adv-clean-all,0.807,0.829,0.241,0.154,0.421,0.930,0.000
adv-clean-group-0,0.767,0.813,0.307,0.223,0.483,0.892,0.667
adv-clean-group-1,0.889,0.776,0.109,0.018,0.071,0.989,0.333
adv-clean-delta,-0.122,0.038,0.198,0.205,0.412,-0.097,0.412
adv-clean-fair_resample-all,0.787,0.794,0.241,0.142,0.352,0.925,0.000
adv-clean-fair_resample-group-0,0.754,0.800,0.307,0.156,0.353,0.932,0.667
adv-clean-fair_resample-group-1,0.851,0.760,0.109,0.114,0.342,0.913,0.333
adv-clean-fair_resample-delta,-0.097,0.040,0.198,0.041,0.012,0.018,0.018
adv-all-all,0.804,0.827,0.241,0.153,0.411,0.929,0.000
adv-all-group-0,0.768,0.817,0.307,0.206,0.458,0.905,0.667
adv-all-group-1,0.878,0.772,0.109,0.045,0.144,0.967,0.333
adv-all-delta,-0.110,0.045,0.198,0.161,0.314,-0.062,0.314
adv-all-fair_resample-all,0.785,0.800,0.241,0.146,0.358,0.921,0.000
adv-all-fair_resample-group-0,0.751,0.803,0.307,0.167,0.368,0.921,0.667
adv-all-fair_resample-group-1,0.853,0.758,0.109,0.104,0.302,0.920,0.333
adv-all-fair_resample-delta,-0.101,0.045,0.198,0.063,0.066,0.001,0.066
adv-konstantinov-all,0.804,0.827,0.241,0.153,0.411,0.929,0.400
adv-konstantinov-group-0,0.768,0.817,0.307,0.206,0.458,0.905,0.667
adv-konstantinov-group-1,0.878,0.772,0.109,0.045,0.144,0.967,0.333
adv-konstantinov-delta,-0.110,0.045,0.198,0.161,0.314,-0.062,0.314
adv-konstantinov-fair_resample-all,0.786,0.790,0.241,0.169,0.406,0.906,0.000
adv-konstantinov-fair_resample-group-0,0.759,0.795,0.307,0.197,0.428,0.905,0.667
adv-konstantinov-fair_resample-group-1,0.839,0.739,0.109,0.113,0.280,0.908,0.333
adv-konstantinov-fair_resample-delta,-0.080,0.056,0.198,0.084,0.149,-0.003,0.149
adv-selected-all,0.807,0.829,0.241,0.154,0.421,0.930,0.000
adv-selected-group-0,0.767,0.813,0.307,0.223,0.483,0.892,0.667
adv-selected-group-1,0.889,0.776,0.109,0.018,0.071,0.989,0.333
adv-selected-delta,-0.122,0.038,0.198,0.205,0.412,-0.097,0.412
adv-selected-fair_resample-all,0.786,0.781,0.241,0.173,0.415,0.904,0.000
adv-selected-fair_resample-group-0,0.753,0.786,0.307,0.203,0.428,0.897,0.667
adv-selected-fair_resample-group-1,0.852,0.725,0.109,0.113,0.339,0.915,0.333
adv-selected-fair_resample-delta,-0.099,0.062,0.198,0.090,0.089,-0.018,0.089
adv-voting-all,0.805,0.828,0.241,0.130,0.366,0.944,0.253
adv-voting-group-0,0.764,0.816,0.307,0.180,0.409,0.921,0.667
adv-voting-group-1,0.887,0.774,0.109,0.030,0.119,0.981,0.333
adv-voting-delta,-0.123,0.041,0.198,0.151,0.291,-0.060,0.291
adv-voting-fair_resample-all,0.799,0.805,0.241,0.142,0.377,0.932,0.459
adv-voting-fair_resample-group-0,0.762,0.805,0.307,0.179,0.404,0.920,0.667
adv-voting-fair_resample-group-1,0.872,0.755,0.109,0.068,0.226,0.951,0.333
adv-voting-fair_resample-delta,-0.111,0.050,0.198,0.111,0.178,-0.031,0.178
