method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.663,0.705,0.481,0.377,0.542,0.775,0.000
original-group-0,0.666,0.706,0.503,0.414,0.580,0.753,0.785
original-group-1,0.653,0.686,0.400,0.242,0.368,0.843,0.215
original-delta,0.013,0.020,0.103,0.173,0.212,-0.090,0.212
original-fair_resample-all,0.653,0.686,0.481,0.371,0.525,0.772,0.000
original-fair_resample-group-0,0.652,0.696,0.503,0.379,0.531,0.774,0.785
original-fair_resample-group-1,0.660,0.645,0.400,0.340,0.500,0.767,0.215
original-fair_resample-delta,-0.009,0.051,0.103,0.040,0.031,0.007,0.031
adv-clean-all,0.680,0.725,0.481,0.375,0.557,0.794,0.000
adv-clean-group-0,0.681,0.727,0.503,0.422,0.602,0.761,0.785
adv-clean-group-1,0.675,0.704,0.400,0.204,0.349,0.893,0.215
adv-clean-delta,0.006,0.023,0.103,0.218,0.253,-0.132,0.253
adv-clean-fair_resample-all,0.652,0.676,0.481,0.385,0.539,0.757,0.000
adv-clean-fair_resample-group-0,0.649,0.681,0.503,0.379,0.529,0.772,0.785
adv-clean-fair_resample-group-1,0.660,0.673,0.400,0.408,0.585,0.711,0.215
adv-clean-fair_resample-delta,-0.011,0.008,0.103,-0.028,-0.056,0.061,0.061
adv-all-all,0.559,0.614,0.481,0.229,0.279,0.817,0.000
adv-all-group-0,0.553,0.679,0.503,0.124,0.178,0.932,0.785
adv-all-group-1,0.581,0.685,0.400,0.615,0.745,0.472,0.215
adv-all-delta,-0.029,-0.006,0.103,-0.491,-0.567,0.460,0.567
adv-all-fair_resample-all,0.598,0.634,0.481,0.228,0.318,0.856,0.000
adv-all-fair_resample-group-0,0.592,0.644,0.503,0.208,0.301,0.886,0.785
adv-all-fair_resample-group-1,0.619,0.622,0.400,0.298,0.396,0.767,0.215
adv-all-fair_resample-delta,-0.027,0.022,0.103,-0.090,-0.095,0.119,0.119
adv-konstantinov-all,0.559,0.614,0.481,0.229,0.279,0.817,0.400
adv-konstantinov-group-0,0.553,0.679,0.503,0.124,0.178,0.932,0.785
adv-konstantinov-group-1,0.581,0.685,0.400,0.615,0.745,0.472,0.215
adv-konstantinov-delta,-0.029,-0.006,0.103,-0.491,-0.567,0.460,0.567
adv-konstantinov-fair_resample-all,0.589,0.632,0.481,0.197,0.278,0.878,0.000
adv-konstantinov-fair_resample-group-0,0.574,0.637,0.503,0.180,0.256,0.896,0.785
adv-konstantinov-fair_resample-group-1,0.645,0.657,0.400,0.257,0.377,0.824,0.215
adv-konstantinov-fair_resample-delta,-0.071,-0.020,0.103,-0.076,-0.121,0.072,0.121
adv-selected-all,0.680,0.725,0.481,0.375,0.557,0.794,0.000
adv-selected-group-0,0.681,0.727,0.503,0.422,0.602,0.761,0.785
adv-selected-group-1,0.675,0.704,0.400,0.204,0.349,0.893,0.215
adv-selected-delta,0.006,0.023,0.103,0.218,0.253,-0.132,0.253
adv-selected-fair_resample-all,0.679,0.712,0.481,0.365,0.545,0.802,0.000
adv-selected-fair_resample-group-0,0.679,0.715,0.503,0.380,0.559,0.801,0.785
adv-selected-fair_resample-group-1,0.675,0.707,0.400,0.309,0.481,0.805,0.215
adv-selected-fair_resample-delta,0.004,0.008,0.103,0.071,0.078,-0.004,0.078
adv-voting-all,0.652,0.710,0.481,0.316,0.466,0.824,0.003
adv-voting-group-0,0.652,0.722,0.503,0.301,0.453,0.853,0.785
adv-voting-group-1,0.653,0.693,0.400,0.370,0.528,0.736,0.215
adv-voting-delta,-0.001,0.029,0.103,-0.069,-0.075,0.117,0.117
adv-voting-fair_resample-all,0.600,0.612,0.481,0.291,0.387,0.797,0.039
adv-voting-fair_resample-group-0,0.595,0.641,0.503,0.211,0.307,0.886,0.785
adv-voting-fair_resample-group-1,0.619,0.686,0.400,0.585,0.755,0.528,0.215
adv-voting-fair_resample-delta,-0.024,-0.045,0.103,-0.374,-0.447,0.358,0.447
