method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.701,0.450,0.374,0.522,0.747,0.000
original-group-0,0.646,0.708,0.463,0.410,0.561,0.720,0.817
original-group-1,0.642,0.664,0.394,0.212,0.315,0.854,0.183
original-delta,0.005,0.043,0.069,0.198,0.246,-0.134,0.246
original-fair_resample-all,0.635,0.675,0.450,0.336,0.468,0.772,0.000
original-fair_resample-group-0,0.635,0.683,0.463,0.348,0.482,0.768,0.817
original-fair_resample-group-1,0.633,0.644,0.394,0.283,0.393,0.788,0.183
original-fair_resample-delta,0.003,0.039,0.069,0.065,0.089,-0.021,0.089
adv-clean-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-clean-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-clean-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-clean-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-clean-fair_resample-all,0.632,0.678,0.450,0.385,0.520,0.725,0.000
adv-clean-fair_resample-group-0,0.631,0.682,0.463,0.384,0.516,0.731,0.817
adv-clean-fair_resample-group-1,0.637,0.664,0.394,0.394,0.539,0.701,0.183
adv-clean-fair_resample-delta,-0.006,0.018,0.069,-0.010,-0.023,0.030,0.030
adv-all-all,0.606,0.662,0.450,0.501,0.619,0.595,0.000
adv-all-group-0,0.649,0.705,0.463,0.489,0.649,0.649,0.817
adv-all-group-1,0.412,0.417,0.394,0.558,0.461,0.380,0.183
adv-all-delta,0.238,0.288,0.069,-0.069,0.188,0.270,0.270
adv-all-fair_resample-all,0.599,0.612,0.450,0.428,0.531,0.655,0.000
adv-all-fair_resample-group-0,0.630,0.639,0.463,0.406,0.540,0.708,0.817
adv-all-fair_resample-group-1,0.460,0.489,0.394,0.527,0.483,0.445,0.183
adv-all-fair_resample-delta,0.170,0.150,0.069,-0.120,0.056,0.263,0.263
adv-konstantinov-all,0.606,0.662,0.450,0.501,0.619,0.595,0.400
adv-konstantinov-group-0,0.649,0.705,0.463,0.489,0.649,0.649,0.817
adv-konstantinov-group-1,0.412,0.417,0.394,0.558,0.461,0.380,0.183
adv-konstantinov-delta,0.238,0.288,0.069,-0.069,0.188,0.270,0.270
adv-konstantinov-fair_resample-all,0.602,0.628,0.450,0.399,0.502,0.685,0.000
adv-konstantinov-fair_resample-group-0,0.634,0.663,0.463,0.367,0.501,0.749,0.817
adv-konstantinov-fair_resample-group-1,0.460,0.453,0.394,0.544,0.506,0.431,0.183
adv-konstantinov-fair_resample-delta,0.174,0.209,0.069,-0.178,-0.005,0.318,0.318
adv-selected-all,0.651,0.703,0.450,0.377,0.531,0.750,0.000
adv-selected-group-0,0.649,0.707,0.463,0.411,0.565,0.721,0.817
adv-selected-group-1,0.659,0.679,0.394,0.221,0.348,0.861,0.183
adv-selected-delta,-0.010,0.028,0.069,0.190,0.217,-0.140,0.217
adv-selected-fair_resample-all,0.626,0.645,0.450,0.369,0.495,0.733,0.000
adv-selected-fair_resample-group-0,0.626,0.653,0.463,0.359,0.484,0.749,0.817
adv-selected-fair_resample-group-1,0.624,0.614,0.394,0.416,0.551,0.672,0.183
adv-selected-fair_resample-delta,0.002,0.039,0.069,-0.057,-0.067,0.078,0.078
adv-voting-all,0.643,0.690,0.450,0.449,0.603,0.676,0.143
adv-voting-group-0,0.639,0.692,0.463,0.512,0.664,0.618,0.817
adv-voting-group-1,0.659,0.679,0.394,0.168,0.281,0.905,0.183
adv-voting-delta,-0.020,0.012,0.069,0.344,0.383,-0.287,0.383
adv-voting-fair_resample-all,0.600,0.616,0.450,0.466,0.574,0.622,0.305
adv-voting-fair_resample-group-0,0.604,0.618,0.463,0.449,0.557,0.644,0.817
adv-voting-fair_resample-group-1,0.584,0.615,0.394,0.544,0.663,0.533,0.183
adv-voting-fair_resample-delta,0.019,0.003,0.069,-0.095,-0.106,0.111,0.111
