method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.652,0.713,0.467,0.428,0.586,0.710,0.000
original-group-0,0.646,0.705,0.492,0.474,0.622,0.669,0.805
original-group-1,0.676,0.710,0.365,0.241,0.386,0.843,0.195
original-delta,-0.030,-0.005,0.127,0.233,0.235,-0.174,0.235
original-fair_resample-all,0.629,0.668,0.467,0.354,0.482,0.758,0.000
original-fair_resample-group-0,0.617,0.660,0.492,0.372,0.489,0.741,0.805
original-fair_resample-group-1,0.680,0.686,0.365,0.278,0.443,0.817,0.195
original-fair_resample-delta,-0.064,-0.026,0.127,0.094,0.046,-0.076,0.076
adv-clean-all,0.654,0.709,0.467,0.372,0.529,0.764,0.000
adv-clean-group-0,0.642,0.701,0.492,0.418,0.560,0.721,0.805
adv-clean-group-1,0.705,0.714,0.365,0.187,0.352,0.908,0.195
adv-clean-delta,-0.064,-0.013,0.127,0.231,0.208,-0.188,0.208
adv-clean-fair_resample-all,0.624,0.638,0.467,0.380,0.504,0.729,0.000
adv-clean-fair_resample-group-0,0.622,0.640,0.492,0.391,0.513,0.727,0.805
adv-clean-fair_resample-group-1,0.635,0.624,0.365,0.332,0.455,0.739,0.195
adv-clean-fair_resample-delta,-0.013,0.016,0.127,0.059,0.059,-0.012,0.059
adv-all-all,0.649,0.711,0.467,0.382,0.534,0.751,0.000
adv-all-group-0,0.638,0.703,0.492,0.415,0.554,0.719,0.805
adv-all-group-1,0.697,0.723,0.365,0.245,0.420,0.856,0.195
adv-all-delta,-0.059,-0.020,0.127,0.171,0.134,-0.137,0.137
adv-all-fair_resample-all,0.609,0.651,0.467,0.392,0.501,0.704,0.000
adv-all-fair_resample-group-0,0.600,0.641,0.492,0.415,0.515,0.681,0.805
adv-all-fair_resample-group-1,0.647,0.677,0.365,0.295,0.420,0.778,0.195
adv-all-fair_resample-delta,-0.048,-0.036,0.127,0.121,0.095,-0.097,0.097
adv-konstantinov-all,0.649,0.711,0.467,0.382,0.534,0.751,0.400
adv-konstantinov-group-0,0.638,0.703,0.492,0.415,0.554,0.719,0.805
adv-konstantinov-group-1,0.697,0.723,0.365,0.245,0.420,0.856,0.195
adv-konstantinov-delta,-0.059,-0.020,0.127,0.171,0.134,-0.137,0.137
adv-konstantinov-fair_resample-all,0.637,0.670,0.467,0.372,0.510,0.749,0.000
adv-konstantinov-fair_resample-group-0,0.630,0.657,0.492,0.381,0.511,0.745,0.805
adv-konstantinov-fair_resample-group-1,0.668,0.705,0.365,0.332,0.500,0.765,0.195
adv-konstantinov-fair_resample-delta,-0.038,-0.048,0.127,0.049,0.011,-0.020,0.020
adv-selected-all,0.654,0.709,0.467,0.372,0.529,0.764,0.000
adv-selected-group-0,0.642,0.701,0.492,0.418,0.560,0.721,0.805
adv-selected-group-1,0.705,0.714,0.365,0.187,0.352,0.908,0.195
adv-selected-delta,-0.064,-0.013,0.127,0.231,0.208,-0.188,0.208
adv-selected-fair_resample-all,0.637,0.679,0.467,0.372,0.510,0.749,0.000
adv-selected-fair_resample-group-0,0.642,0.682,0.492,0.379,0.521,0.758,0.805
adv-selected-fair_resample-group-1,0.618,0.654,0.365,0.340,0.443,0.719,0.195
adv-selected-fair_resample-delta,0.024,0.029,0.127,0.039,0.078,0.039,0.078
adv-voting-all,0.646,0.698,0.467,0.348,0.494,0.780,0.398
adv-voting-group-0,0.637,0.690,0.492,0.378,0.515,0.754,0.805
adv-voting-group-1,0.685,0.707,0.365,0.224,0.375,0.863,0.195
adv-voting-delta,-0.048,-0.017,0.127,0.154,0.140,-0.108,0.140
adv-voting-fair_resample-all,0.635,0.686,0.467,0.390,0.527,0.729,0.355
adv-voting-fair_resample-group-0,0.626,0.680,0.492,0.426,0.552,0.697,0.805
adv-voting-fair_resample-group-1,0.672,0.707,0.365,0.245,0.386,0.837,0.195
adv-voting-fair_resample-delta,-0.046,-0.026,0.127,0.181,0.166,-0.140,0.166
