method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.669,0.734,0.466,0.423,0.598,0.730,0.000
original-group-0,0.669,0.737,0.485,0.472,0.645,0.692,0.815
original-group-1,0.667,0.695,0.382,0.206,0.333,0.872,0.185
original-delta,0.003,0.042,0.103,0.266,0.312,-0.181,0.312
original-fair_resample-all,0.648,0.691,0.466,0.368,0.517,0.762,0.000
original-fair_resample-group-0,0.649,0.703,0.485,0.368,0.518,0.773,0.815
original-fair_resample-group-1,0.640,0.643,0.382,0.364,0.506,0.723,0.185
original-fair_resample-delta,0.009,0.060,0.103,0.004,0.013,0.049,0.049
adv-clean-all,0.676,0.722,0.466,0.386,0.567,0.771,0.000
adv-clean-group-0,0.673,0.727,0.485,0.420,0.596,0.746,0.815
adv-clean-group-1,0.689,0.667,0.382,0.237,0.402,0.865,0.185
adv-clean-delta,-0.015,0.060,0.103,0.183,0.194,-0.120,0.194
adv-clean-fair_resample-all,0.674,0.704,0.466,0.382,0.560,0.773,0.000
adv-clean-fair_resample-group-0,0.672,0.716,0.485,0.391,0.566,0.773,0.815
adv-clean-fair_resample-group-1,0.680,0.656,0.382,0.342,0.529,0.773,0.185
adv-clean-fair_resample-delta,-0.008,0.060,0.103,0.049,0.037,-0.000,0.037
adv-all-all,0.536,0.574,0.466,0.517,0.557,0.518,0.000
adv-all-group-0,0.525,0.562,0.485,0.520,0.547,0.505,0.815
adv-all-group-1,0.583,0.618,0.382,0.500,0.609,0.567,0.185
adv-all-delta,-0.058,-0.057,0.103,0.020,-0.062,-0.063,0.063
adv-all-fair_resample-all,0.579,0.587,0.466,0.483,0.567,0.589,0.000
adv-all-fair_resample-group-0,0.577,0.585,0.485,0.485,0.564,0.590,0.815
adv-all-fair_resample-group-1,0.588,0.606,0.382,0.478,0.586,0.589,0.185
adv-all-fair_resample-delta,-0.011,-0.021,0.103,0.007,-0.023,0.001,0.023
adv-konstantinov-all,0.536,0.574,0.466,0.517,0.557,0.518,0.400
adv-konstantinov-group-0,0.525,0.562,0.485,0.520,0.547,0.505,0.815
adv-konstantinov-group-1,0.583,0.618,0.382,0.500,0.609,0.567,0.185
adv-konstantinov-delta,-0.058,-0.057,0.103,0.020,-0.062,-0.063,0.063
adv-konstantinov-fair_resample-all,0.548,0.563,0.466,0.506,0.558,0.539,0.000
adv-konstantinov-fair_resample-group-0,0.539,0.551,0.485,0.516,0.557,0.522,0.815
adv-konstantinov-fair_resample-group-1,0.588,0.614,0.382,0.461,0.563,0.603,0.185
adv-konstantinov-fair_resample-delta,-0.048,-0.063,0.103,0.056,-0.006,-0.081,0.081
adv-selected-all,0.676,0.722,0.466,0.386,0.567,0.771,0.000
adv-selected-group-0,0.673,0.727,0.485,0.420,0.596,0.746,0.815
adv-selected-group-1,0.689,0.667,0.382,0.237,0.402,0.865,0.185
adv-selected-delta,-0.015,0.060,0.103,0.183,0.194,-0.120,0.194
adv-selected-fair_resample-all,0.645,0.694,0.466,0.378,0.525,0.750,0.000
adv-selected-fair_resample-group-0,0.644,0.701,0.485,0.379,0.525,0.757,0.815
adv-selected-fair_resample-group-1,0.649,0.667,0.382,0.373,0.529,0.723,0.185
adv-selected-fair_resample-delta,-0.005,0.034,0.103,0.007,-0.004,0.034,0.034
adv-voting-all,0.639,0.686,0.466,0.368,0.508,0.753,0.179
adv-voting-group-0,0.636,0.686,0.485,0.392,0.529,0.736,0.815
adv-voting-group-1,0.654,0.669,0.382,0.263,0.391,0.816,0.185
adv-voting-delta,-0.018,0.017,0.103,0.129,0.138,-0.080,0.138
adv-voting-fair_resample-all,0.597,0.620,0.466,0.399,0.496,0.685,0.342
adv-voting-fair_resample-group-0,0.599,0.629,0.485,0.371,0.469,0.721,0.815
adv-voting-fair_resample-group-1,0.588,0.594,0.382,0.522,0.644,0.553,0.185
adv-voting-fair_resample-delta,0.011,0.035,0.103,-0.151,-0.174,0.167,0.174
