method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.669,0.734,0.466,0.423,0.598,0.730,0.000
original-group-0,0.669,0.737,0.485,0.472,0.645,0.692,0.815
original-group-1,0.667,0.695,0.382,0.206,0.333,0.872,0.185
original-delta,0.003,0.042,0.103,0.266,0.312,-0.181,0.312
original-fair_resample-all,0.648,0.691,0.466,0.368,0.517,0.762,0.000
original-fair_resample-group-0,0.649,0.703,0.485,0.368,0.518,0.773,0.815
original-fair_resample-group-1,0.640,0.643,0.382,0.364,0.506,0.723,0.185
original-fair_resample-delta,0.009,0.060,0.103,0.004,0.013,0.049,0.049
adv-clean-all,0.676,0.722,0.466,0.386,0.567,0.771,0.000
adv-clean-group-0,0.673,0.727,0.485,0.420,0.596,0.746,0.815
adv-clean-group-1,0.689,0.667,0.382,0.237,0.402,0.865,0.185
adv-clean-delta,-0.015,0.060,0.103,0.183,0.194,-0.120,0.194
adv-clean-fair_resample-all,0.674,0.704,0.466,0.382,0.560,0.773,0.000
adv-clean-fair_resample-group-0,0.672,0.716,0.485,0.391,0.566,0.773,0.815
adv-clean-fair_resample-group-1,0.680,0.656,0.382,0.342,0.529,0.773,0.185
adv-clean-fair_resample-delta,-0.008,0.060,0.103,0.049,0.037,-0.000,0.037
adv-all-all,0.669,0.734,0.466,0.423,0.598,0.730,0.000
adv-all-group-0,0.669,0.737,0.485,0.472,0.645,0.692,0.815
adv-all-group-1,0.667,0.695,0.382,0.206,0.333,0.872,0.185
adv-all-delta,0.003,0.042,0.103,0.266,0.312,-0.181,0.312
adv-all-fair_resample-all,0.633,0.681,0.466,0.395,0.530,0.723,0.000
adv-all-fair_resample-group-0,0.636,0.690,0.485,0.390,0.527,0.738,0.815
adv-all-fair_resample-group-1,0.623,0.659,0.382,0.417,0.552,0.667,0.185
adv-all-fair_resample-delta,0.013,0.031,0.103,-0.026,-0.025,0.071,0.071
adv-konstantinov-all,0.669,0.734,0.466,0.423,0.598,0.730,0.400
adv-konstantinov-group-0,0.669,0.737,0.485,0.472,0.645,0.692,0.815
adv-konstantinov-group-1,0.667,0.695,0.382,0.206,0.333,0.872,0.185
adv-konstantinov-delta,0.003,0.042,0.103,0.266,0.312,-0.181,0.312
adv-konstantinov-fair_resample-all,0.669,0.715,0.466,0.402,0.576,0.750,0.000
adv-konstantinov-fair_resample-group-0,0.669,0.722,0.485,0.412,0.584,0.750,0.815
adv-konstantinov-fair_resample-group-1,0.667,0.687,0.382,0.355,0.529,0.752,0.185
adv-konstantinov-fair_resample-delta,0.003,0.035,0.103,0.057,0.055,-0.002,0.055
adv-selected-all,0.667,0.721,0.466,0.418,0.591,0.733,0.333
adv-selected-group-0,0.668,0.723,0.485,0.469,0.641,0.694,0.815
adv-selected-group-1,0.662,0.690,0.382,0.193,0.310,0.879,0.185
adv-selected-delta,0.006,0.033,0.103,0.276,0.331,-0.186,0.331
adv-selected-fair_resample-all,0.636,0.669,0.466,0.350,0.485,0.768,0.000
adv-selected-fair_resample-group-0,0.636,0.675,0.485,0.353,0.488,0.775,0.815
adv-selected-fair_resample-group-1,0.640,0.638,0.382,0.338,0.471,0.745,0.185
adv-selected-fair_resample-delta,-0.005,0.037,0.103,0.015,0.016,0.030,0.030
adv-voting-all,0.670,0.721,0.466,0.436,0.614,0.720,0.334
adv-voting-group-0,0.666,0.720,0.485,0.483,0.654,0.678,0.815
adv-voting-group-1,0.689,0.704,0.382,0.228,0.391,0.872,0.185
adv-voting-delta,-0.022,0.015,0.103,0.255,0.263,-0.194,0.263
adv-voting-fair_resample-all,0.672,0.714,0.466,0.413,0.591,0.742,0.326
adv-voting-fair_resample-group-0,0.671,0.721,0.485,0.430,0.605,0.734,0.815
adv-voting-fair_resample-group-1,0.675,0.681,0.382,0.338,0.517,0.773,0.185
adv-voting-fair_resample-delta,-0.004,0.040,0.103,0.092,0.087,-0.039,0.087
