method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.664,0.720,0.461,0.361,0.527,0.781,0.000
original-group-0,0.643,0.705,0.500,0.390,0.533,0.753,0.794
original-group-1,0.745,0.726,0.310,0.251,0.494,0.858,0.206
original-delta,-0.102,-0.021,0.190,0.139,0.039,-0.105,0.105
original-fair_resample-all,0.618,0.662,0.461,0.385,0.503,0.716,0.000
original-fair_resample-group-0,0.612,0.671,0.500,0.378,0.490,0.735,0.794
original-fair_resample-group-1,0.639,0.636,0.310,0.412,0.582,0.665,0.206
original-fair_resample-delta,-0.027,0.036,0.190,-0.034,-0.092,0.070,0.092
adv-clean-all,0.662,0.720,0.461,0.357,0.520,0.782,0.000
adv-clean-group-0,0.647,0.712,0.500,0.406,0.553,0.741,0.794
adv-clean-group-1,0.718,0.702,0.310,0.169,0.316,0.898,0.206
adv-clean-delta,-0.071,0.010,0.190,0.237,0.237,-0.157,0.237
adv-clean-fair_resample-all,0.646,0.692,0.461,0.372,0.520,0.754,0.000
adv-clean-fair_resample-group-0,0.646,0.704,0.500,0.368,0.514,0.778,0.794
adv-clean-fair_resample-group-1,0.647,0.671,0.310,0.388,0.557,0.688,0.206
adv-clean-fair_resample-delta,-0.001,0.033,0.190,-0.020,-0.043,0.090,0.090
adv-all-all,0.670,0.716,0.461,0.385,0.559,0.764,0.000
adv-all-group-0,0.651,0.710,0.500,0.408,0.559,0.743,0.794
adv-all-group-1,0.741,0.722,0.310,0.294,0.557,0.824,0.206
adv-all-delta,-0.090,-0.012,0.190,0.114,0.002,-0.081,0.081
adv-all-fair_resample-all,0.643,0.676,0.461,0.389,0.534,0.736,0.000
adv-all-fair_resample-group-0,0.635,0.674,0.500,0.404,0.539,0.731,0.794
adv-all-fair_resample-group-1,0.675,0.668,0.310,0.329,0.506,0.750,0.206
adv-all-fair_resample-delta,-0.040,0.006,0.190,0.075,0.032,-0.019,0.032
adv-konstantinov-all,0.670,0.716,0.461,0.385,0.559,0.764,0.400
adv-konstantinov-group-0,0.651,0.710,0.500,0.408,0.559,0.743,0.794
adv-konstantinov-group-1,0.741,0.722,0.310,0.294,0.557,0.824,0.206
adv-konstantinov-delta,-0.090,-0.012,0.190,0.114,0.002,-0.081,0.081
adv-konstantinov-fair_resample-all,0.659,0.702,0.461,0.356,0.517,0.781,0.000
adv-konstantinov-fair_resample-group-0,0.643,0.699,0.500,0.371,0.514,0.771,0.794
adv-konstantinov-fair_resample-group-1,0.722,0.693,0.310,0.298,0.532,0.807,0.206
adv-konstantinov-fair_resample-delta,-0.079,0.007,0.190,0.073,-0.017,-0.035,0.035
adv-selected-all,0.662,0.720,0.461,0.357,0.520,0.782,0.000
adv-selected-group-0,0.647,0.712,0.500,0.406,0.553,0.741,0.794
adv-selected-group-1,0.718,0.702,0.310,0.169,0.316,0.898,0.206
adv-selected-delta,-0.071,0.010,0.190,0.237,0.237,-0.157,0.237
adv-selected-fair_resample-all,0.631,0.686,0.461,0.427,0.562,0.689,0.000
adv-selected-fair_resample-group-0,0.636,0.694,0.500,0.419,0.555,0.716,0.794
adv-selected-fair_resample-group-1,0.612,0.662,0.310,0.455,0.608,0.614,0.206
adv-selected-fair_resample-delta,0.024,0.031,0.190,-0.036,-0.052,0.103,0.103
adv-voting-all,0.620,0.664,0.461,0.319,0.434,0.779,0.001
adv-voting-group-0,0.622,0.698,0.500,0.286,0.408,0.837,0.794
adv-voting-group-1,0.612,0.653,0.310,0.447,0.595,0.619,0.206
adv-voting-delta,0.011,0.044,0.190,-0.161,-0.187,0.217,0.217
adv-voting-fair_resample-all,0.569,0.586,0.461,0.292,0.350,0.757,0.088
adv-voting-fair_resample-group-0,0.582,0.646,0.500,0.194,0.276,0.888,0.794
adv-voting-fair_resample-group-1,0.522,0.681,0.310,0.671,0.810,0.392,0.206
adv-voting-fair_resample-delta,0.060,-0.035,0.190,-0.477,-0.535,0.496,0.535
