method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.663,0.705,0.481,0.377,0.542,0.775,0.000
original-group-0,0.666,0.706,0.503,0.414,0.580,0.753,0.785
original-group-1,0.653,0.686,0.400,0.242,0.368,0.843,0.215
original-delta,0.013,0.020,0.103,0.173,0.212,-0.090,0.212
original-fair_resample-all,0.653,0.686,0.481,0.371,0.525,0.772,0.000
original-fair_resample-group-0,0.652,0.696,0.503,0.379,0.531,0.774,0.785
original-fair_resample-group-1,0.660,0.645,0.400,0.340,0.500,0.767,0.215
original-fair_resample-delta,-0.009,0.051,0.103,0.040,0.031,0.007,0.031
adv-clean-all,0.680,0.725,0.481,0.375,0.557,0.794,0.000
adv-clean-group-0,0.681,0.727,0.503,0.422,0.602,0.761,0.785
adv-clean-group-1,0.675,0.704,0.400,0.204,0.349,0.893,0.215
adv-clean-delta,0.006,0.023,0.103,0.218,0.253,-0.132,0.253
adv-clean-fair_resample-all,0.652,0.676,0.481,0.385,0.539,0.757,0.000
adv-clean-fair_resample-group-0,0.649,0.681,0.503,0.379,0.529,0.772,0.785
adv-clean-fair_resample-group-1,0.660,0.673,0.400,0.408,0.585,0.711,0.215
adv-clean-fair_resample-delta,-0.011,0.008,0.103,-0.028,-0.056,0.061,0.061
adv-all-all,0.587,0.664,0.481,0.648,0.744,0.441,0.000
adv-all-group-0,0.567,0.667,0.503,0.790,0.855,0.276,0.785
adv-all-group-1,0.660,0.690,0.400,0.128,0.236,0.943,0.215
adv-all-delta,-0.093,-0.023,0.103,0.661,0.619,-0.667,0.667
adv-all-fair_resample-all,0.628,0.680,0.481,0.473,0.604,0.649,0.000
adv-all-fair_resample-group-0,0.618,0.674,0.503,0.494,0.611,0.624,0.785
adv-all-fair_resample-group-1,0.664,0.694,0.400,0.396,0.575,0.723,0.215
adv-all-fair_resample-delta,-0.047,-0.020,0.103,0.098,0.035,-0.099,0.099
adv-konstantinov-all,0.587,0.664,0.481,0.648,0.744,0.441,0.400
adv-konstantinov-group-0,0.567,0.667,0.503,0.790,0.855,0.276,0.785
adv-konstantinov-group-1,0.660,0.690,0.400,0.128,0.236,0.943,0.215
adv-konstantinov-delta,-0.093,-0.023,0.103,0.661,0.619,-0.667,0.667
adv-konstantinov-fair_resample-all,0.612,0.640,0.481,0.469,0.584,0.638,0.000
adv-konstantinov-fair_resample-group-0,0.599,0.619,0.503,0.486,0.584,0.614,0.785
adv-konstantinov-fair_resample-group-1,0.660,0.691,0.400,0.408,0.585,0.711,0.215
adv-konstantinov-fair_resample-delta,-0.061,-0.071,0.103,0.078,-0.001,-0.097,0.097
adv-selected-all,0.680,0.725,0.481,0.375,0.557,0.794,0.000
adv-selected-group-0,0.681,0.727,0.503,0.422,0.602,0.761,0.785
adv-selected-group-1,0.675,0.704,0.400,0.204,0.349,0.893,0.215
adv-selected-delta,0.006,0.023,0.103,0.218,0.253,-0.132,0.253
adv-selected-fair_resample-all,0.644,0.683,0.481,0.356,0.500,0.777,0.000
adv-selected-fair_resample-group-0,0.641,0.687,0.503,0.340,0.482,0.803,0.785
adv-selected-fair_resample-group-1,0.653,0.675,0.400,0.415,0.585,0.698,0.215
adv-selected-fair_resample-delta,-0.012,0.013,0.103,-0.075,-0.103,0.105,0.105
adv-voting-all,0.656,0.710,0.481,0.509,0.672,0.641,0.005
adv-voting-group-0,0.659,0.727,0.503,0.611,0.768,0.548,0.785
adv-voting-group-1,0.645,0.685,0.400,0.136,0.226,0.925,0.215
adv-voting-delta,0.013,0.042,0.103,0.475,0.542,-0.377,0.542
adv-voting-fair_resample-all,0.651,0.686,0.481,0.448,0.603,0.696,0.075
adv-voting-fair_resample-group-0,0.654,0.700,0.503,0.522,0.674,0.633,0.785
adv-voting-fair_resample-group-1,0.642,0.609,0.400,0.177,0.274,0.887,0.215
adv-voting-fair_resample-delta,0.012,0.091,0.103,0.344,0.401,-0.254,0.401
