method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.667,0.710,0.448,0.413,0.590,0.730,0.000
original-group-0,0.674,0.720,0.468,0.470,0.653,0.692,0.797
original-group-1,0.641,0.659,0.367,0.191,0.272,0.855,0.203
original-delta,0.032,0.061,0.102,0.278,0.381,-0.163,0.381
original-fair_resample-all,0.659,0.701,0.448,0.410,0.577,0.726,0.000
original-fair_resample-group-0,0.669,0.713,0.468,0.436,0.612,0.719,0.797
original-fair_resample-group-1,0.622,0.649,0.367,0.307,0.402,0.748,0.203
original-fair_resample-delta,0.047,0.064,0.102,0.129,0.210,-0.029,0.210
adv-clean-all,0.663,0.708,0.448,0.425,0.599,0.716,0.000
adv-clean-group-0,0.668,0.717,0.468,0.480,0.657,0.677,0.797
adv-clean-group-1,0.645,0.652,0.367,0.211,0.304,0.843,0.203
adv-clean-delta,0.022,0.065,0.102,0.269,0.353,-0.166,0.353
adv-clean-fair_resample-all,0.647,0.690,0.448,0.396,0.548,0.727,0.000
adv-clean-fair_resample-group-0,0.652,0.694,0.468,0.424,0.581,0.715,0.797
adv-clean-fair_resample-group-1,0.625,0.667,0.367,0.287,0.380,0.767,0.203
adv-clean-fair_resample-delta,0.027,0.027,0.102,0.137,0.201,-0.052,0.201
adv-all-all,0.610,0.655,0.448,0.257,0.351,0.820,0.000
adv-all-group-0,0.614,0.698,0.468,0.180,0.280,0.908,0.797
adv-all-group-1,0.594,0.640,0.367,0.558,0.707,0.528,0.203
adv-all-delta,0.020,0.059,0.102,-0.378,-0.427,0.380,0.427
adv-all-fair_resample-all,0.612,0.671,0.448,0.248,0.344,0.830,0.000
adv-all-fair_resample-group-0,0.612,0.689,0.468,0.249,0.351,0.841,0.797
adv-all-fair_resample-group-1,0.614,0.585,0.367,0.243,0.304,0.792,0.203
adv-all-fair_resample-delta,-0.002,0.104,0.102,0.006,0.047,0.049,0.049
adv-konstantinov-all,0.610,0.655,0.448,0.257,0.351,0.820,0.400
adv-konstantinov-group-0,0.614,0.698,0.468,0.180,0.280,0.908,0.797
adv-konstantinov-group-1,0.594,0.640,0.367,0.558,0.707,0.528,0.203
adv-konstantinov-delta,0.020,0.059,0.102,-0.378,-0.427,0.380,0.427
adv-konstantinov-fair_resample-all,0.640,0.707,0.448,0.223,0.347,0.878,0.000
adv-konstantinov-fair_resample-group-0,0.635,0.718,0.468,0.242,0.369,0.870,0.797
adv-konstantinov-fair_resample-group-1,0.661,0.639,0.367,0.147,0.239,0.906,0.203
adv-konstantinov-fair_resample-delta,-0.026,0.078,0.102,0.094,0.130,-0.036,0.130
adv-selected-all,0.663,0.708,0.448,0.425,0.599,0.716,0.000
adv-selected-group-0,0.668,0.717,0.468,0.480,0.657,0.677,0.797
adv-selected-group-1,0.645,0.652,0.367,0.211,0.304,0.843,0.203
adv-selected-delta,0.022,0.065,0.102,0.269,0.353,-0.166,0.353
adv-selected-fair_resample-all,0.672,0.710,0.448,0.376,0.553,0.768,0.000
adv-selected-fair_resample-group-0,0.672,0.719,0.468,0.396,0.573,0.759,0.797
adv-selected-fair_resample-group-1,0.673,0.658,0.367,0.295,0.457,0.799,0.203
adv-selected-fair_resample-delta,-0.002,0.061,0.102,0.102,0.116,-0.040,0.116
adv-voting-all,0.633,0.678,0.448,0.295,0.420,0.806,0.000
adv-voting-group-0,0.632,0.698,0.468,0.284,0.410,0.828,0.797
adv-voting-group-1,0.637,0.633,0.367,0.339,0.467,0.736,0.203
adv-voting-delta,-0.005,0.065,0.102,-0.055,-0.057,0.092,0.092
adv-voting-fair_resample-all,0.564,0.573,0.448,0.277,0.322,0.760,0.030
adv-voting-fair_resample-group-0,0.585,0.615,0.468,0.166,0.234,0.895,0.797
adv-voting-fair_resample-group-1,0.478,0.616,0.367,0.713,0.761,0.314,0.203
adv-voting-fair_resample-delta,0.107,-0.001,0.102,-0.547,-0.527,0.580,0.580
