method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.683,0.733,0.447,0.410,0.603,0.747,0.000
original-group-0,0.665,0.720,0.474,0.455,0.627,0.700,0.825
original-group-1,0.764,0.740,0.319,0.194,0.435,0.918,0.175
original-delta,-0.099,-0.019,0.155,0.261,0.193,-0.219,0.219
original-fair_resample-all,0.661,0.706,0.447,0.399,0.567,0.736,0.000
original-fair_resample-group-0,0.651,0.702,0.474,0.425,0.580,0.715,0.825
original-fair_resample-group-1,0.708,0.728,0.319,0.278,0.478,0.816,0.175
original-fair_resample-delta,-0.058,-0.026,0.155,0.147,0.101,-0.102,0.102
adv-clean-all,0.676,0.725,0.447,0.381,0.563,0.767,0.000
adv-clean-group-0,0.658,0.715,0.474,0.421,0.584,0.726,0.825
adv-clean-group-1,0.759,0.722,0.319,0.190,0.420,0.918,0.175
adv-clean-delta,-0.101,-0.006,0.155,0.231,0.164,-0.193,0.193
adv-clean-fair_resample-all,0.657,0.678,0.447,0.398,0.562,0.734,0.000
adv-clean-fair_resample-group-0,0.646,0.676,0.474,0.414,0.563,0.720,0.825
adv-clean-fair_resample-group-1,0.708,0.689,0.319,0.324,0.551,0.782,0.175
adv-clean-fair_resample-delta,-0.063,-0.012,0.155,0.090,0.012,-0.062,0.062
adv-all-all,0.674,0.728,0.447,0.394,0.576,0.754,0.000
adv-all-group-0,0.662,0.720,0.474,0.429,0.596,0.722,0.825
adv-all-group-1,0.731,0.722,0.319,0.227,0.435,0.871,0.175
adv-all-delta,-0.069,-0.002,0.155,0.202,0.161,-0.149,0.161
adv-all-fair_resample-all,0.654,0.687,0.447,0.357,0.513,0.769,0.000
adv-all-fair_resample-group-0,0.661,0.712,0.474,0.361,0.524,0.785,0.825
adv-all-fair_resample-group-1,0.620,0.560,0.319,0.338,0.435,0.707,0.175
adv-all-fair_resample-delta,0.041,0.152,0.155,0.023,0.089,0.078,0.089
adv-konstantinov-all,0.674,0.728,0.447,0.394,0.576,0.754,0.400
adv-konstantinov-group-0,0.662,0.720,0.474,0.429,0.596,0.722,0.825
adv-konstantinov-group-1,0.731,0.722,0.319,0.227,0.435,0.871,0.175
adv-konstantinov-delta,-0.069,-0.002,0.155,0.202,0.161,-0.149,0.161
adv-konstantinov-fair_resample-all,0.652,0.697,0.447,0.374,0.529,0.751,0.000
adv-konstantinov-fair_resample-group-0,0.648,0.699,0.474,0.389,0.538,0.746,0.825
adv-konstantinov-fair_resample-group-1,0.671,0.657,0.319,0.306,0.464,0.769,0.175
adv-konstantinov-fair_resample-delta,-0.024,0.042,0.155,0.083,0.075,-0.022,0.075
adv-selected-all,0.676,0.725,0.447,0.381,0.563,0.767,0.000
adv-selected-group-0,0.658,0.715,0.474,0.421,0.584,0.726,0.825
adv-selected-group-1,0.759,0.722,0.319,0.190,0.420,0.918,0.175
adv-selected-delta,-0.101,-0.006,0.155,0.231,0.164,-0.193,0.193
adv-selected-fair_resample-all,0.653,0.698,0.447,0.400,0.560,0.729,0.000
adv-selected-fair_resample-group-0,0.641,0.695,0.474,0.413,0.557,0.716,0.825
adv-selected-fair_resample-group-1,0.713,0.720,0.319,0.338,0.580,0.776,0.175
adv-selected-fair_resample-delta,-0.072,-0.025,0.155,0.075,-0.023,-0.059,0.059
adv-voting-all,0.687,0.729,0.447,0.402,0.600,0.758,0.436
adv-voting-group-0,0.672,0.722,0.474,0.448,0.627,0.713,0.825
adv-voting-group-1,0.759,0.716,0.319,0.181,0.406,0.925,0.175
adv-voting-delta,-0.087,0.006,0.155,0.268,0.222,-0.212,0.222
adv-voting-fair_resample-all,0.649,0.689,0.447,0.401,0.556,0.725,0.445
adv-voting-fair_resample-group-0,0.636,0.683,0.474,0.426,0.565,0.700,0.825
adv-voting-fair_resample-group-1,0.713,0.685,0.319,0.282,0.493,0.816,0.175
adv-voting-fair_resample-delta,-0.077,-0.002,0.155,0.144,0.072,-0.117,0.117
