method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.679,0.728,0.483,0.475,0.659,0.697,0.000
original-group-0,0.651,0.696,0.538,0.586,0.720,0.570,0.493
original-group-1,0.707,0.739,0.429,0.366,0.585,0.798,0.507
original-delta,-0.056,-0.043,0.108,0.220,0.135,-0.228,0.228
original-fair_resample-all,0.679,0.725,0.483,0.438,0.621,0.733,0.000
original-fair_resample-group-0,0.667,0.683,0.538,0.527,0.680,0.651,0.493
original-fair_resample-group-1,0.691,0.754,0.429,0.351,0.549,0.798,0.507
original-fair_resample-delta,-0.024,-0.072,0.108,0.176,0.131,-0.147,0.147
adv-clean-all,0.668,0.728,0.483,0.459,0.632,0.703,0.000
adv-clean-group-0,0.651,0.713,0.538,0.597,0.730,0.558,0.493
adv-clean-group-1,0.686,0.728,0.429,0.325,0.512,0.817,0.507
adv-clean-delta,-0.035,-0.015,0.108,0.272,0.218,-0.258,0.258
adv-clean-fair_resample-all,0.639,0.697,0.483,0.440,0.582,0.692,0.000
adv-clean-fair_resample-group-0,0.618,0.668,0.538,0.489,0.600,0.640,0.493
adv-clean-fair_resample-group-1,0.660,0.716,0.429,0.393,0.561,0.734,0.507
adv-clean-fair_resample-delta,-0.041,-0.048,0.108,0.097,0.039,-0.094,0.094
adv-all-all,0.629,0.681,0.483,0.477,0.610,0.646,0.000
adv-all-group-0,0.586,0.636,0.538,0.403,0.490,0.698,0.493
adv-all-group-1,0.670,0.755,0.429,0.550,0.756,0.606,0.507
adv-all-delta,-0.084,-0.118,0.108,-0.147,-0.266,0.092,0.266
adv-all-fair_resample-all,0.623,0.682,0.483,0.483,0.610,0.636,0.000
adv-all-fair_resample-group-0,0.602,0.641,0.538,0.484,0.580,0.628,0.493
adv-all-fair_resample-group-1,0.644,0.720,0.429,0.482,0.646,0.642,0.507
adv-all-fair_resample-delta,-0.042,-0.079,0.108,0.002,-0.066,-0.014,0.066
adv-konstantinov-all,0.629,0.681,0.483,0.477,0.610,0.646,0.400
adv-konstantinov-group-0,0.586,0.636,0.538,0.403,0.490,0.698,0.493
adv-konstantinov-group-1,0.670,0.755,0.429,0.550,0.756,0.606,0.507
adv-konstantinov-delta,-0.084,-0.118,0.108,-0.147,-0.266,0.092,0.266
adv-konstantinov-fair_resample-all,0.660,0.704,0.483,0.488,0.654,0.667,0.000
adv-konstantinov-fair_resample-group-0,0.618,0.642,0.538,0.532,0.640,0.593,0.493
adv-konstantinov-fair_resample-group-1,0.702,0.754,0.429,0.445,0.671,0.725,0.507
adv-konstantinov-fair_resample-delta,-0.083,-0.113,0.108,0.087,-0.031,-0.132,0.132
adv-selected-all,0.679,0.726,0.483,0.448,0.632,0.723,0.000
adv-selected-group-0,0.651,0.674,0.538,0.608,0.740,0.547,0.493
adv-selected-group-1,0.707,0.759,0.429,0.293,0.500,0.862,0.507
adv-selected-delta,-0.056,-0.085,0.108,0.314,0.240,-0.316,0.316
adv-selected-fair_resample-all,0.647,0.696,0.483,0.422,0.571,0.718,0.000
adv-selected-fair_resample-group-0,0.597,0.655,0.538,0.489,0.580,0.616,0.493
adv-selected-fair_resample-group-1,0.696,0.725,0.429,0.356,0.561,0.798,0.507
adv-selected-fair_resample-delta,-0.100,-0.071,0.108,0.133,0.019,-0.182,0.182
adv-voting-all,0.618,0.655,0.483,0.414,0.533,0.697,0.072
adv-voting-group-0,0.522,0.635,0.538,0.263,0.300,0.779,0.493
adv-voting-group-1,0.712,0.772,0.429,0.560,0.817,0.633,0.507
adv-voting-delta,-0.191,-0.137,0.108,-0.297,-0.517,0.146,0.517
adv-voting-fair_resample-all,0.586,0.619,0.483,0.382,0.467,0.697,0.170
adv-voting-fair_resample-group-0,0.532,0.643,0.538,0.177,0.230,0.884,0.493
adv-voting-fair_resample-group-1,0.639,0.726,0.429,0.581,0.756,0.550,0.507
adv-voting-fair_resample-delta,-0.106,-0.083,0.108,-0.404,-0.526,0.333,0.526
